"rownum","BaseItemTypesKey","i32","bool","i32","i32","i32","i32","i32","i32","bool","rid","rid","i16","bool"
0,53,606369470,1,1677721600,0,0,134217728,0,-201326592,1,219152384,1006632960,0,""
1,54,1860412592,1,1677721600,0,0,134217728,0,-201326592,1,219217920,1124073472,0,""
2,55,-680445052,1,1677721600,0,0,134217728,0,-201326592,1,219283456,1023410176,0,""
3,56,371926669,1,1677721600,0,0,134217728,0,-100663296,"",219348992,956301312,0,""
4,57,-1469932049,1,1677721600,0,0,134217728,0,738197504,1,218890240,889192448,0,""
5,58,558387611,1,1677721600,0,0,134217728,0,738197504,1,218955776,905969664,0,""
6,59,-77532113,1,1677721600,0,0,134217728,0,738197504,1,219021312,922746880,0,""
7,60,-1006259903,1,1677721600,0,0,134217728,0,-1778384896,"",219414528,939524096,0,""
8,61,-775141945,1,1677721600,0,0,134217728,0,-939524096,"",219480064,1056964608,0,""
9,62,-2086692883,1,1677721600,0,0,134217728,0,-939524096,"",219545600,570425344,0,""
10,63,1505875072,1,1677721600,0,0,134217728,0,1677721600,"",219086848,1140850688,0,""
11,64,-1856166571,1,1677721600,0,0,134217728,0,-1879048192,1,219611136,1157627904,0,""
12,65,-1221514573,1,1677721600,0,0,134217728,0,167772160,"",219938816,1006632960,0,""
13,66,394938549,1,1677721600,0,0,134217728,0,167772160,"",220004352,1124073472,0,""
14,67,2074231179,1,1677721600,0,0,134217728,0,167772160,"",220069888,1023410176,0,""
15,68,577438355,1,1677721600,0,0,134217728,0,83886080,"",220135424,956301312,0,""
16,69,-122058062,1,1677721600,0,0,134217728,0,100663296,"",219676672,889192448,0,""
17,70,-707892653,1,1677721600,0,0,134217728,0,100663296,"",219742208,905969664,0,""
18,71,1764598813,1,1677721600,0,0,134217728,0,100663296,"",219807744,922746880,0,""
19,72,-603919414,1,1677721600,0,0,134217728,0,50331648,"",220200960,939524096,0,""
20,73,122023020,1,1677721600,0,0,134217728,0,67108864,"",220266496,1056964608,0,""
21,74,-888716293,1,1677721600,0,0,134217728,0,67108864,"",220332032,570425344,0,""
22,75,890988114,1,1677721600,0,0,134217728,0,33554432,"",219873280,1140850688,0,""
23,76,1170564337,1,1677721600,0,0,134217728,0,134217728,"",220397568,1157627904,0,""
