"rownum","string","rid","i32","i32","i32","i16"
0,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",1658246,1310720,7340032,0,0
1,"Metadata/Items/Currency/CurrencyUpgradeToRare",479110,655360,16252928,0,0
2,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",1037536,1310720,25690112,0,0
3,"Metadata/Items/Currency/CurrencyRerollRare",246585,655360,33423360,0,0
4,"Metadata/Items/Currency/CurrencyCorrupt",2555289,655360,40763392,0,0
5,"Metadata/Items/Currency/CurrencyAddModToRare",980138,1310720,48627712,0,0
6,"Metadata/Items/Currency/CurrencyModValues",1765318,196608,56492032,0,0
7,"Metadata/Items/Currency/CurrencyRemoveMod",6704526,196608,64094208,0,0
8,"Metadata/Items/Currency/CurrencyUpgradeRandomly",569314,196608,73269248,0,0
9,"Metadata/Items/Currency/CurrencyArmourQuality",332577,1310720,81788928,0,0
10,"Metadata/Items/Currency/CurrencyWeaponQuality",32821,1310720,90832896,0,0
11,"Metadata/Items/Currency/CurrencyMagicQuality",103839,1310720,100532224,0,0
12,"Metadata/Items/Currency/CurrencyFlaskQuality",1179784,1310720,109576192,0,0
13,"Metadata/Items/Currency/CurrencyGemQuality",1299138,655360,118751232,0,0
