"rownum","Id","i32","i32","i16"
0,"KeybladeText",2388108,0,0
1,"UniqueTwoHandAxe1",10942433,0,0
2,"UniqueOneHandSword1",26663132,0,0
3,"UniqueAmulet1",33720185,0,0
4,"UniqueRing1",41746382,0,0
5,"UniqueRing2",47082918,0,0
6,"UniqueRing3",58245795,0,0
7,"UniqueBow1",63995748,0,0
8,"UniqueAmulet2",75683682,0,0
9,"UniqueBodyStrInt1",87883164,0,0
10,"UniqueDagger1",100839290,0,0
11,"UniqueBow2",110265503,0,0
12,"UniqueOneHandSword2",120490553,0,0
13,"UniqueHelmetDexInt1",131109403,0,0
14,"UniqueHelmetStr1",143846643,0,0
15,"UniqueBow3",153795280,0,0
16,"UniqueStaff1",174752097,0,0
17,"UniqueTwoHandMace1",185861627,0,0
18,"UniqueTwoHandMace2",200975080,0,0
19,"UniqueTwoHandSword1",216033686,0,0
20,"UniqueTwoHandSword2",229149751,0,0
21,"UniqueRing4",238205151,0,0
22,"UniqueRing4x",249722882,0,0
23,"UniqueRing5",269939859,0,0
24,"UniqueQuiver1",280423388,0,0
25,"UniqueQuiver2",290604433,0,0
26,"UniqueAmulet3",307629890,0,0
27,"UniqueAmulet5",314579697,0,0
28,"UniqueAmulet5x",323247115,0,0
29,"UniqueAmulet6",341626726,0,0
30,"UniqueBodyDex1",357367414,0,0
31,"UniqueBodyStr1",372043844,0,0
32,"UniqueBodyStr1x",378847358,0,0
33,"UniqueDexHelmet1",395491914,0,0
34,"UniqueDexHelmet2",412651440,0,0
35,"UniqueIntHelmet1",425464730,0,0
36,"UniqueIntHelmet2",437181578,0,0
37,"UniqueIntHelmet3",450120242,0,0
38,"UniqueStrHelmet2",465490546,0,0
39,"UniqueStrDexHelmet1",478323495,0,0
40,"UniqueHelmetStrInt1",487359805,0,0
41,"UniqueHelmetStrInt2",506486199,0,0
42,"UniqueAmulet4",518015647,0,0
43,"UniqueBootsInt1",533090881,0,0
44,"UniqueDagger2",539425778,0,0
