"rownum","bool","i32","i32","i32","rid","rid","i16","bool"
0,1,0,0,0,2432696320,536870912,0,""
1,1,0,0,0,2382364672,553648128,0,""
2,1,0,0,0,1660944384,570425344,0,""
3,1,0,0,0,1644167168,587202560,0,""
4,1,0,0,0,1493172224,1526726656,0,""
5,1,0,0,0,1124073472,603979776,0,""
6,1,0,0,0,1140850688,620756992,0,""
7,1,0,0,0,1577058304,838860800,0,""
8,1,0,0,0,2063597568,889192448,0,""
9,1,0,0,0,2231369728,905969664,0,""
10,1,0,0,0,2768240640,956301312,0,""
11,1,0,0,0,2969567232,100663296,0,""
12,1,0,0,0,3439329280,150994944,0,""
13,1,0,0,0,2650800128,1677721600,0,""
14,1,0,0,0,2365587456,1694498816,0,""
15,1,0,0,0,771751936,1728053248,0,""
16,1,0,0,0,603979776,1795162112,0,""
17,1,0,0,0,855638016,1744830464,0,""
18,1,0,0,0,704643072,2919235584,0,""
19,1,0,0,0,687865856,2936012800,0,""
