"rownum","QuestFlag","i32","i32","[rid]","[i32]","rid","i32","rid","i32","bool"
0,2690,0,0,[],[],"",2,"",0,""
1,2691,0,0,[],[],"",2,"",0,""
2,2692,0,0,[],[],"",2,"",0,""
3,2693,0,0,[],[],"",2,"",0,""
4,2992,0,0,[117],[10],8,0,"",0,""
5,4330,0,0,[138],[10],"",0,"",0,""
6,4333,0,2,[],[],23,0,"",2,""
7,3735,0,0,[117],[20],"",0,"",0,""
8,3733,0,0,[140],[10],"",0,"",0,""
9,3738,0,2,[],[],"",0,"",2,""
10,3741,0,2,[],[],6,0,"",2,""
11,3783,0,0,[3337],[25],"",0,"",0,""
12,4686,0,0,[9985],[30],"",0,"",0,""
13,4688,0,0,[124],[25],"",0,"",0,""
14,3785,0,0,[138],[10],"",0,"",0,""
15,4066,0,0,[142],[10],"",0,"",0,""
16,3803,0,0,[],[],"",0,"",0,""
17,3699,0,0,"[135,144]","[-30,-30]","",0,3010,0,""
18,3742,0,0,[423],[10],"",0,"",0,""
19,4753,0,0,[16440],[30],"",0,"",0,""
20,4755,0,0,[16440],[30],"",0,"",0,""
21,3744,0,0,[],[],"",0,"",0,""
22,3746,0,0,[],[],"",0,"",0,""
23,4347,0,2,[],[],"",0,"",2,""
24,4349,0,0,[],[],"",0,"",0,""
25,4351,0,0,[],[],"",0,"",0,""
26,4353,0,0,[561],[10],"",0,"",0,""
27,4682,0,2,[],[],"",0,"",2,""
28,3789,0,0,[],[],"",0,"",0,""
29,3791,0,0,[],[],"",0,"",0,""
30,3793,0,0,[],[],"",0,"",0,""
31,3795,0,0,[],[],"",0,"",0,""
32,4133,0,0,[],[],"",0,"",0,""
33,4135,0,0,[],[],"",0,"",0,""
34,4291,0,0,[],[],"",0,"",0,""
35,4293,0,0,[],[],"",0,"",0,""
36,4295,0,0,[],[],"",0,"",0,""
37,4297,0,0,[],[],"",0,"",0,""
38,4299,0,0,[],[],"",0,"",0,""
39,4301,0,0,[],[],"",0,"",0,""
40,4303,0,0,[],[],"",0,"",0,""
41,4528,0,0,[],[],"",0,"",30,""
42,4637,0,0,[20298],[30],"",0,"",0,""
43,4638,0,0,[390],[15],"",0,"",0,""
44,4665,0,0,[],[],"",0,"",6,""
45,4831,0,2,[],[],"",0,"",2,""
46,4898,0,0,[142],[10],"",0,"",0,""
47,2992,1,0,[117],[10],8,0,"",0,""
48,4330,1,0,[138],[10],"",0,"",0,""
49,4333,1,2,[],[],23,0,"",2,""
50,4851,1,0,[118],[8],"",0,"",0,""
51,3733,1,0,[140],[10],"",0,"",0,""
52,3738,1,2,[],[],"",0,"",2,""
53,3741,1,2,[],[],6,0,"",2,""
54,2808,1,0,[144],[10],"",0,"",0,""
55,2809,1,0,[590],[5],"",0,"",0,""
56,2810,1,0,[18707],[-15],"",0,"",0,""
57,3785,1,0,[138],[10],"",0,"",0,""
58,4066,1,0,[142],[10],"",0,"",0,""
59,3803,1,0,[],[],"",0,"",0,""
60,3742,1,0,[],[],"",0,"",0,""
61,4757,1,0,[16440],[40],"",0,"",0,""
62,3744,1,0,[],[],"",0,"",0,""
63,3746,1,0,[],[],"",0,"",0,""
64,4347,1,2,[],[],"",0,"",2,""
65,4349,1,0,[],[],"",0,"",0,""
66,4351,1,0,[],[],"",0,"",0,""
67,4353,1,0,[561],[10],"",0,"",0,""
68,4682,1,2,[],[],"",0,"",2,""
69,3789,1,0,[],[],"",0,"",0,""
70,3791,1,0,[],[],"",0,"",0,""
71,3793,1,0,[],[],"",0,"",0,""
72,3795,1,0,[],[],"",0,"",0,""
73,4133,1,0,[],[],"",0,"",0,""
74,4135,1,0,[],[],"",0,"",0,""
75,4291,1,0,[],[],"",0,"",0,""
76,4293,1,0,[],[],"",0,"",0,""
77,4295,1,0,[],[],"",0,"",0,""
78,4297,1,0,[],[],"",0,"",0,""
79,4299,1,0,[],[],"",0,"",0,""
80,4301,1,0,[],[],"",0,"",0,""
81,4303,1,0,[],[],"",0,"",0,""
82,4528,1,0,[],[],"",0,"",30,""
83,4637,1,0,[20298],[30],"",0,"",0,""
84,4638,1,0,[389],[15],"",0,"",0,""
85,4665,1,0,[],[],"",0,"",6,""
86,4831,1,2,[],[],"",0,"",2,""
87,4898,1,0,[142],[10],"",0,"",0,""
