"rownum","rid","i32","i32","i32"
0,2683,62,14,128
1,2683,62,15,1
2,2683,63,14,128
3,2683,63,15,2
4,2683,64,14,128
5,2683,64,15,4
6,2683,65,14,128
7,2683,65,15,8
8,2683,66,14,128
9,2683,66,15,16
10,2683,66,16,1
11,2683,67,14,64
12,2683,67,15,32
13,2683,67,16,2
14,2683,68,14,8
15,2683,68,15,64
16,2683,68,16,4
17,2683,69,14,4
18,2683,69,15,128
19,2683,69,16,8
20,2683,70,15,64
21,2683,70,16,16
22,2683,70,17,1
23,2683,71,15,32
24,2683,71,16,32
25,2683,71,17,2
26,2683,72,15,8
27,2683,72,16,64
28,2683,72,17,4
29,2683,73,15,4
30,2683,73,16,128
31,2683,73,17,8
32,2683,74,16,64
33,2683,74,17,16
34,2683,74,18,1
35,2683,75,16,32
36,2683,75,17,32
37,2683,75,18,2
38,2683,76,16,8
39,2683,76,17,64
40,2683,76,18,4
41,2683,77,16,4
42,2683,77,17,128
43,2683,77,18,8
44,2683,78,17,64
45,2683,78,18,16
46,2683,78,19,1
47,2683,79,17,32
48,2683,79,18,32
49,2683,79,19,2
50,2683,80,17,8
51,2683,80,18,64
52,2683,80,19,4
53,2683,81,17,4
54,2683,81,18,128
55,2683,81,19,8
56,2683,82,18,64
57,2683,82,19,16
58,2683,82,20,1
59,2683,83,18,32
60,2683,83,19,32
61,2683,83,20,2
62,2683,84,18,8
63,2683,84,19,64
64,2683,84,20,4
65,2683,85,18,4
66,2683,85,19,128
67,2683,85,20,8
68,2683,86,19,64
69,2683,86,20,16
70,2683,87,19,32
71,2683,87,20,32
72,2683,88,19,8
73,2683,88,20,64
74,2683,89,19,4
75,2683,89,20,128
76,3023,62,14,128
77,3023,62,15,1
78,3023,63,14,128
79,3023,63,15,2
80,3023,64,14,128
81,3023,64,15,4
82,3023,65,14,128
83,3023,65,15,8
84,3023,66,14,128
85,3023,66,15,16
86,3023,66,16,1
87,3023,67,14,64
88,3023,67,15,32
89,3023,67,16,2
90,3023,68,14,8
91,3023,68,15,64
92,3023,68,16,4
93,3023,69,14,4
94,3023,69,15,128
95,3023,69,16,8
96,3023,70,15,64
97,3023,70,16,16
98,3023,70,17,1
99,3023,71,15,32
100,3023,71,16,32
101,3023,71,17,2
102,3023,72,15,8
103,3023,72,16,64
104,3023,72,17,4
105,3023,73,15,4
106,3023,73,16,128
107,3023,73,17,8
108,3023,74,16,64
109,3023,74,17,16
110,3023,74,18,1
111,3023,75,16,32
112,3023,75,17,32
113,3023,75,18,2
114,3023,76,16,8
115,3023,76,17,64
116,3023,76,18,4
117,3023,77,16,4
118,3023,77,17,128
119,3023,77,18,8
120,3023,78,17,64
121,3023,78,18,16
122,3023,78,19,1
123,3023,79,17,32
124,3023,79,18,32
125,3023,79,19,2
126,3023,80,17,8
127,3023,80,18,64
128,3023,80,19,4
129,3023,81,17,4
130,3023,81,18,128
131,3023,81,19,8
132,3023,82,18,64
133,3023,82,19,16
134,3023,82,20,1
135,3023,83,18,32
136,3023,83,19,32
137,3023,83,20,2
138,3023,84,18,8
139,3023,84,19,64
140,3023,84,20,4
141,3023,85,18,4
142,3023,85,19,128
143,3023,85,20,8
144,3023,86,19,64
145,3023,86,20,16
146,3023,87,19,32
147,3023,87,20,32
148,3023,88,19,8
149,3023,88,20,64
150,3023,89,19,4
151,3023,89,20,128
