"rownum","BaseItemTypes","SkillsGranted","IsWeapon"
0,1810,[297],1
1,1811,[383],1
2,1812,[382],1
3,1813,[40],1
4,1814,[4],1
5,1815,[131],1
6,1816,[328],1
7,1817,[121],1
8,1818,[297],1
9,1819,[297],1
10,1820,[297],1
11,1821,[79],1
12,1822,[297],1
13,1823,[309],1
14,1824,[324],1
15,1825,[201],1
16,1826,[309],1
17,1827,[389],1
18,1828,[117],1
19,1829,[105],1
20,1830,[122],1
21,1831,[309],1
22,1832,[205],1
23,1833,[26],1
24,1834,[181],1
25,1835,[85],1
26,2117,[320],""
27,2118,[320],""
28,2119,[320],""
29,2120,[320],""
30,2121,[320],""
31,2122,[320],""
32,2123,[320],""
33,2124,[320],""
34,2125,[320],""
35,2126,[320],""
36,2127,[320],""
37,2128,[320],""
38,2129,[320],""
39,2130,[320],""
40,2131,[320],""
41,2132,[320],""
42,2133,[320],""
43,2134,[320],""
44,2135,[320],""
45,2136,[320],""
46,2137,[320],""
47,2138,[320],""
48,2139,[320],""
49,2140,[320],""
50,2141,[320],""
51,2142,[320],""
52,2143,[320],""
53,2144,[320],""
54,2145,[320],""
55,2146,[320],""
56,2147,[320],""
57,2148,[320],""
58,2149,[320],""
59,2150,[320],""
60,2151,[320],""
61,2446,[320],""
62,2447,[320],""
63,2448,[320],""
64,2449,[320],""
65,2450,[320],""
66,2451,[320],""
67,2452,[320],""
68,2453,[320],""
69,2454,[320],""
70,2455,[320],""
71,2456,[320],""
72,2457,[320],""
73,2458,[320],""
74,2459,[320],""
75,2460,[320],""
76,2461,[320],""
77,2462,[320],""
78,2463,[320],""
79,2550,[320],""
80,2551,[320],""
81,2552,[320],""
82,2553,[320],""
83,2554,[320],""
84,2555,[320],""
85,2556,[320],""
86,2557,[320],""
87,2558,[320],""
88,1862,[361],1
89,1863,[42],1
90,1864,[361],1
91,1865,[386],1
92,1866,[361],1
93,1867,[59],1
94,1868,[60],1
95,1869,[61],1
96,1870,[361],1
97,1871,[361],1
98,1872,[361],1
99,1873,[361],1
100,1874,[361],1
101,1875,[361],1
102,1876,[361],1
