"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6200],"",[],[],[]
1,"DropVaalItem",[6207],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4810,596]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1190],[100]
4,"Maimed",[],508,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4809,644]","[1,100]"
6,"TormentedExperimenterPossess","[6988,7079,7139,7141]","",[],[],[]
7,"TormentedBlasphemerPossess","[6991,7077,7139,7141]","",[],[],[]
8,"TormentedNecromancerPossess","[6994,7079,7139,7141]","",[],[],[]
9,"TormentedArsonistPossess","[6997,7079,7139,7141]","",[],[],[]
10,"TormentedThiefPossess","[7026,7080,7139,7141]","",[],[],[]
11,"TormentedMutilatorPossess","[7039,7079,7139,7141]","",[],[],[]
12,"TormentedCharlatanPossess","[7007,7079,7139,7141]","",[],[],[]
13,"TormentedCannibalPossess","[7032,7079,7139,7141]","",[],[],[]
14,"TormentedPoisonerPossess","[7000,7079,7139,7141]","",[],[],[]
15,"TormentedCorrupterPossess","[7003,7080,7139,7141]","",[],[],[]
16,"TormentedThugPossess","[7010,7077,7139,7141]","",[],[],[]
17,"TormentedRoguePossess","[7013,7077,7014,7139,7141]","",[],[],[]
18,"TormentedFishermanPossess","[7016,7080,7139,7141]","",[],[],[]
19,"TormentedLibrarianPossess","[7019,7080,7139,7141]","",[],[],[]
20,"TormentedCutthroatPossess","[7023,7077,7139,7141]","",[],[],[]
21,"TormentedSpyPossess","[7029,7077,7139,7141]","",[],[],[]
22,"TormentedMartyrPossess","[7036,7079,7139,7141]","",[],[],[]
23,"TormentedEmbezzlerPossess","[7042,7080,7139,7141]","",[],[],[]
24,"TormentedCounterfeiterPossess","[7048,7079,7139,7141]","",[],[],[]
25,"TormentedWarlordPossess","[7051,7077,7139,7141]","",[],[],[]
26,"TormentedFreezerPossess","[7055,7079,7139,7141]","",[],[],[]
27,"TormentedSmugglerPossess","[7059,7057,7080,7139,7141]","",[],[],[]
