"rownum","rid","[rid]","[rid]","[rid]","bool"
0,6464,"[2876,6464]",[],[],1
1,6463,"[134,6463]",[],[],1
2,17415,[17415],[],[],1
3,17416,[17416],[],[],1
4,153,[118],[],"[8,9,0,7]",""
5,554,[118],"[8,9]",[],""
6,287,[118],[0],[],""
7,288,[118],[7],[],""
8,160,[118],"[5,74]",[],1
9,3547,[3546],[],[],""
10,12127,[12128],[],[],""
11,5727,[5727],[],[],""
12,3394,[70],[],[],""
13,1109,[1108],[],[],""
14,3678,[1001],[],[],""
15,3395,[210],[],[],""
16,2049,[144],[],[],""
17,3396,[119],[],[],""
18,2686,[171],[],[],""
19,2037,[110],[],[],""
20,6668,[135],[],[],""
21,2374,[24],[],[],""
22,9426,[637],[],[],""
23,709,[710],[],[],""
24,2047,[439],[],[],""
25,634,[636],[],[],""
26,6157,[6158],[],[],""
27,9619,[9620],[],[],""
28,3100,[128],[],[],""
29,3099,[122],[],[],""
30,2927,[2928],[],[],""
31,2036,[1051],[],[],""
32,1060,[1061],[],[],""
33,2958,[2957],[],[],""
34,2771,[2770],[],[],""
35,2053,[2052],[],[],""
36,3591,[3590],[],[],""
37,3593,[3592],[],[],""
38,3588,[3586],[],[],""
39,3589,[3587],[],[],""
40,3683,[3682],[],[],""
41,3964,[30],[],[],""
42,3965,[31],[],[],""
43,3560,[3561],[],[],""
44,4347,[4348],[],[],""
45,4407,[940],[],[],""
46,4408,[2327],[],[],""
47,18545,[140],[],[],""
48,18544,[138],[],[],""
49,18546,[142],[],[],""
50,4477,[436],[],[],""
51,3963,[438],[],[],""
52,5026,[5025],[],[],""
53,5032,[3246],[],[],""
54,5123,[5124],[],[],""
55,5155,[560],[],[],""
56,5689,[5690],[],[],""
57,6378,[43],[],[],""
58,6379,[44],[],[],""
59,6380,[50],[],[],""
60,6381,[51],[],[],""
61,6382,[57],[],[],""
62,6383,[58],[],[],""
63,6384,[28],[],[],""
64,6385,[29],[],[],""
65,11878,[43],[],[],""
66,11879,[44],[],[],""
67,11876,[50],[],[],""
68,11877,[51],[],[],""
69,11880,[57],[],[],""
70,11881,[58],[],[],""
71,11874,[28],[],[],""
72,11875,[29],[],[],""
73,6386,[64],[],[],""
74,6387,[65],[],[],""
75,6393,[6392],[],[],""
76,6422,[6423],[],[],""
77,6428,[6425],[],[],""
78,6429,[6426],[],[],""
79,6430,[6427],[],[],""
80,6518,[6517],[],[],""
81,6978,[5609],[],[],""
82,3924,[7065],[],[],""
83,4311,[4311],[],[],""
84,7351,[7351],[],[],""
85,9205,[83],[],[],""
86,7730,[84],[],[],""
87,7874,[2779],[],[],""
88,7875,[39],[],[],""
89,7880,[2785],[],[],""
90,7876,[2891],[],[],""
91,7877,[2908],[],[],""
92,7878,[7881],[],[],""
93,7879,[7882],[],[],""
94,7855,[7745],[],[],""
95,237,[9312],[],[],""
96,9435,[423],[],[],""
97,9431,[3513],[],[],""
98,9438,[9437],[],[],""
99,9432,[3261],[],[],""
100,9433,[4441],[],[],""
101,9434,[7240],[],[],""
102,9422,[9421],[],[],""
103,9476,[9477],[],[],""
104,9478,[3285],[],[],""
105,9479,[9480],[],[],""
106,9493,[1831],[],[],""
107,9494,[471],[],[],""
108,9495,[472],[],[],""
109,9496,[473],[],[],""
110,9497,[474],[],[],""
111,9566,[9567],[],[],""
112,9570,[9568],[],[],""
113,9571,[9572],[],[],""
114,9592,[14114],[],[],""
115,9593,[466],[],[],""
116,9634,[914],[],[],""
117,9667,[2082],[],[],""
118,9674,[9674],[],[],""
119,9714,[1995],[],[],""
120,10324,[2229],[],[],""
121,10325,[1632],[],[],""
122,10326,[1631],[],[],""
123,10330,[4638],[],[],""
124,15219,[4638],[],[],""
125,10409,[10408],[],[],""
126,10407,[435],[],[],""
127,10410,[596],[],[],""
128,10411,[17678],[],[],""
129,10412,[7982],[],[],""
130,10850,[468],[],[],""
131,10851,[3764],[],[],""
132,10927,[8020],[],[],""
133,10984,[10985],[],[],""
134,11018,[5872],[],[],""
135,11325,[541],[],[],""
136,11328,[95],[],[],""
137,11363,[11362],[],[],""
138,11367,[11366],[],[],""
139,11364,[1164],[],[],""
140,11476,[133],[],[],""
141,11526,[11527],[],[],""
142,11806,[169],[],[],""
143,11847,[11850],[],[],""
144,11948,[5221],[],[],""
145,11882,[439],[],[],""
146,11883,[124],[],[],""
147,11976,[1322],[],[],""
148,11977,[102],[],[],""
149,12203,[571],[],[],""
150,12204,[3219],[],[],""
151,12198,[203],[],[],""
152,12820,[12821],[],[],""
153,13227,[9606],[],[],""
154,13897,[13898],[],[],""
155,13933,[13938],[],[],""
156,14307,[10173],[],[],""
157,14308,[14309],[],[],""
158,14474,[2723],[],[],""
159,14476,[14475],[],[],""
