"rownum","rid","i16"
0,425,22335
1,429,-11828
2,433,-26808
3,435,-22752
4,134,24751
5,135,6108
6,136,25895
7,137,-8137
8,10760,-21292
9,247,-10624
10,0,31066
11,233,-16955
12,11,549
13,463,-27513
14,56,19840
15,54,-2809
16,6,7224
17,58,-1350
18,49,-15567
19,63,-9038
20,57,-20716
21,55,-23528
22,8,13379
23,64,-21748
24,65,-12571
25,66,-23527
26,61,-31132
27,43,11451
28,9,-3423
29,519,-1303
30,517,-10296
31,521,3668
32,529,-20411
33,530,-10092
34,531,14712
35,532,-3214
36,533,32235
37,534,20928
38,77,18797
39,78,28205
40,79,20417
41,74,-22427
42,75,-18945
43,76,30472
44,84,19427
45,85,-23047
46,86,-25503
47,81,29129
48,82,9749
49,83,22210
50,91,-18132
51,92,-26138
52,93,1671
53,88,28685
54,89,-23843
55,90,4528
56,1243,30086
57,10787,492
58,155,13054
59,3869,2860
60,130,-5477
61,16,-29029
62,1,10329
63,4,-9011
64,5,32151
65,52,14570
66,53,-5009
67,185,15771
68,186,-21580
69,13,17684
70,14,1482
71,182,24710
72,183,-13191
73,10754,-4917
74,10751,-22728
75,10752,32400
76,10753,4633
77,235,-28627
78,12,-24443
79,10750,-29285
80,96,2038
81,99,-30949
82,163,-2123
83,169,16926
84,175,14650
85,179,27284
86,181,-5569
87,1488,-8234
88,1489,29560
89,381,-19260
90,382,7066
91,383,-21943
92,384,-28896
93,385,-23931
94,386,-5923
95,387,29808
96,388,15945
97,389,25845
98,392,16925
99,393,-27974
100,394,-15696
101,395,-32268
102,396,27172
103,397,-20477
104,398,27350
105,399,-26904
106,400,-3255
107,401,-5624
108,404,10795
109,127,13821
110,10761,12511
111,128,5667
112,21,13844
113,22,23507
114,26,-12612
115,27,-32299
116,355,9844
117,356,9475
118,266,22821
119,267,-19589
120,120,17494
121,238,-28578
122,10755,23396
123,117,32468
124,10756,-18106
125,1482,-1058
126,125,23116
127,421,-126
128,10757,-2055
129,242,-26972
130,10705,-27923
131,252,-10086
132,9301,18691
133,9302,21370
134,10758,-21464
135,250,-2319
136,329,8895
137,9328,30503
138,9329,-22748
139,9330,-3793
140,10759,2264
141,158,20842
142,159,-28514
143,1244,23935
144,1246,11486
145,1248,28349
146,35,-2035
147,36,-29415
148,38,13616
149,147,-16921
150,144,14336
151,145,15731
152,116,14557
153,115,-15542
154,112,14098
155,114,-30276
156,109,-11937
157,110,-20961
158,6145,21944
159,3945,-9523
160,1206,1990
161,591,11353
162,2353,-13623
163,2354,8675
164,6775,-28188
165,28,25250
166,29,992
167,540,-8504
168,544,-31143
169,541,-14689
170,535,553
171,536,2771
172,537,11126
173,538,-17479
174,10924,8898
175,10780,-4311
176,10784,25893
177,10781,29482
178,263,27965
179,7133,32406
180,1036,-4959
181,10788,22608
182,10786,27791
183,721,-474
184,161,9108
185,167,-28565
186,173,-26454
187,2037,-19230
188,268,-15672
189,10817,6397
190,10818,-20228
191,10819,30482
192,9273,-15781
193,10789,8637
194,10779,2815
195,482,11665
196,4041,-13348
197,4042,19246
