"rownum","Id","IsSupport","AllowedActiveSkillTypes","SupportGemLetter","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","HASH32","CannotBeSupported","i32","CastTime","ActiveSkill","IgnoreMinionTypes","bool","AddedMinionActiveSkillTypes","Animation","MultiPartAchievement","bool","SupportWeaponRestrictions","RegularVariant","bool","i32","i32","i32","bool","StatSet","AdditionalStatSets","string","CostTypes","bool","[i32]","i32"
0,"MeleePlayer","",[],"",[],[],"",-744697705,"",2,1000,648,"","",[],1,"","",[],"","",0,1,0,"",0,[],"",[],1,[],-1
1,"MeleeUnarmedPlayer","",[],"",[],[],"",-169415967,"",2,1000,736,"","",[],1,"","",[],"","",0,1,0,"",1,[],"",[],1,[],-1
2,"MeleeQuarterstaffPlayer","",[],"",[],[],"",587045433,"",2,1000,737,"","",[],1,"","",[],"","",0,1,0,"",2,[],"",[],1,[],-1
3,"MeleeFlailPlayer","",[],"",[],[],"",513383793,"",2,1000,738,"","",[],1,"","",[],"","",0,1,0,"",3,[],"",[],1,[],-1
4,"Melee1HSwordPlayer","",[],"",[],[],"",1199942645,"",2,1000,739,"","",[],1,"","",[],"","",0,1,0,"",4,[],"",[],1,[],-1
5,"MeleeSwordSwordPlayer","",[],"",[],[],"",1576730375,"",2,1000,740,"","",[],1,"","",[],"","",0,1,0,"",5,[],"",[],1,[],-1
6,"Melee2HSwordPlayer","",[],"",[],[],"",-1330555941,"",2,1000,741,"","",[],1,"","",[],"","",0,1,0,"",6,[],"",[],1,[],-1
7,"Melee1HAxePlayer","",[],"",[],[],"",34030638,"",2,1000,742,"","",[],1,"","",[],"","",0,1,0,"",7,[],"",[],1,[],-1
8,"MeleeAxeAxePlayer","",[],"",[],[],"",1135508172,"",2,1000,743,"","",[],1,"","",[],"","",0,1,0,"",8,[],"",[],1,[],-1
9,"Melee2HAxePlayer","",[],"",[],[],"",541522237,"",2,1000,744,"","",[],1,"","",[],"","",0,1,0,"",9,[],"",[],1,[],-1
10,"Melee1HMacePlayer","",[],"",[],[],"",-626677786,"",2,1000,745,"","",[],1,"","",[],"","",0,1,0,"",10,[],"",[],1,[],-1
