"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]"
0,"UniqueChestTest1",360,665,0,[],0,[],"Metadata/Chests/StrongBoxes/ArmoryStrongBox.ao","",[],"",98,[]
1,"PerandusBank",366,382,20,"[6370,6358,6405,6411,6628]",0,[],"Metadata/Chests/StrongBoxes/PerandusBox.ao","",[],"",93,[9179]
2,"KaomsCache",367,383,20,"[6361,6355,6383,6410,6628]",60,[],"Metadata/Chests/StrongBoxes/KaomBox.ao","",[],"",80,[9179]
3,"EmpyreanApparatus",368,384,60,"[6362,6356,6418,6628]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",83,[9179]
4,"ObaChest1",406,423,0,"[6409,6406]",0,[],"Metadata/Chests/StrongBoxes/JewellerStrongBox.ao","",[],"",93,[9179]
5,"ObaChest2",407,423,0,[6399],0,[],"Metadata/Chests/StrongBoxes/ArcanistStrongBox.ao","",[],"",77,[9179]
6,"ObaChest3",408,423,0,"[6398,6419]",0,[],"Metadata/Chests/StrongBoxes/GemcutterStrongBox.ao","",[],"",91,[9179]
7,"GrandmasterGemcutters",447,459,0,"[6420,6394,6402,6965]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",92,[]
8,"GrandmasterArcanists",448,459,0,"[6403,6965]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",79,[]
9,"GrandmasterCartographers",449,459,0,"[6401,6407,6413,6421,6965]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",88,[]
10,"GrandmasterOrnateStrongbox",450,459,0,"[6341,6333,6412,6965,6434]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",97,[]
11,"GrandmasterUniqueItem",451,459,0,"[6352,6335,6343,6965,6434]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
12,"GrandmasterSameBaseType",452,459,0,"[6335,6343,7192,6965,6434]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
13,"GrandmasterVaalVessel",453,459,0,"[6444,6335,6343,7188,6965,6434]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",99,[]
