"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","f32","[rid]","bool"
0,"MeleePlayer","",[603],[16269],[10],1,0.055,0,[],""
1,"MeleeUnarmedPlayer","",[603],[16269],[10],1,0.055,0,[],""
2,"MeleeQuarterstaffPlayer","",[603],[16269],[10],1,0.055,0,[],""
3,"MeleeFlailPlayer","",[603],[16269],[10],1,0.055,0,[],""
4,"Melee1HSwordPlayer","",[603],[16269],[10],1,0.055,0,[],""
5,"MeleeSwordSwordPlayer","",[603],"[16269,9704]","[10,-30]",1,0.055,0,[],""
6,"Melee2HSwordPlayer","",[603],[16269],[10],1,0.055,0,[],""
7,"Melee1HAxePlayer","",[603],[16269],[10],1,0.055,0,[],""
8,"MeleeAxeAxePlayer","",[603],"[16269,9704]","[10,-30]",1,0.055,0,[],""
9,"Melee2HAxePlayer","",[603],[16269],[10],1,0.055,0,[],""
10,"Melee1HMacePlayer","",[603],[16269],[10],1,0.055,0,[],""
11,"MeleeMaceMacePlayer","","[603,1082]","[16269,9704]","[10,-30]",1,0.055,0,[],""
12,"Melee2HMacePlayer","",[603],[16269],[10],1,0.055,0,[],""
13,"MeleeClawPlayer","",[603],[16269],[10],1,0.055,0,[],""
14,"MeleeClawClawPlayer","",[603],"[16269,9704]","[10,-30]",1,0.055,0,[],""
15,"MeleeDaggerPlayer","",[603],[16269],[10],1,0.055,0,[],""
16,"MeleeDaggerDaggerPlayer","",[603],"[16269,9704]","[10,-30]",1,0.055,0,[],""
17,"MeleeSpearPlayer","",[603],[16269],[10],1,0.055,0,[],""
18,"MeleeBowPlayer","","[488,4415,6480,10057,816,18622,18708]","[18615,18676,20404]","[-70,160,60]",1,0.055,0,[],""
19,"MeleeCrossbowPlayer","","[488,18384,18470,4415,6480,10057,18508,9012,8806,18622]","[18469,18516,18523,18524,18525,18542,18615,18676,20404]","[90,10,2,8,300,0,-70,160,60]",1,0.055,0,[],""
20,"PlaytestAttack",33,[603],[16269],[10],1,0,0,[],""
21,"PlaytestSlam","",[603],"[16269,17749]","[10,25]",1,0,0,[],""
22,"PlaytestSpell",3,"[488,4415,10057,18622,6480,18708]",[],[],1,0,0,[],""
23,"PlaytestSpellExplosion",5,[603],[17749],[7],1,0,0,[],""
24,"FireboltPlayer",3,"[488,4415,10057,18622,6480,18708]","[18615,18676,20404,11459]","[-70,160,60,100]",2.4,0.14,0.0065,[],""
25,"FireboltExplosionPlayer",5,"[603,20732]",[17749],[7],1,0.055,0,[],""
26,"CommandCompanionPlayer",85,"[18572,18622,18918]","[18615,18676,20404]","[-70,160,60]",1,0.055,0,[],""
27,"CommandUnloadAmmoPlayer","","[18572,18622,18918,2876]","[18615,18676,20404,18445]","[-70,160,60,7]",1,0.055,0,[],""
28,"IceNovaPlayer",12,"[603,104,18622]","[17984,17983,17985,17749,7968,16719,18615,18676,20404]","[50,-90,20,32,1,100,-70,160,60]",1.34,0.14,0.0065,[],""
29,"LeapSlamPlayer","","[603,9328,1953,19872]","[18512,16632,16269,17542,16636,16655,18463,17749,1862]","[1,650,5,15,500,30,500,25,-30]",0,0.0927,0,[],""
