"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","BuffStatValues","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type","Description","DaemonSpawningDataKey","bool","[rid]","i32","i32","i32"
0,"Blood1",4982,100,65,100,1660,[],[2],[],[],"[0,0,0,0]",8760,1562,4,[],"Contaminated","Waves of Blood pass through the Ritual Site",0,"","[635,636,637,638]",720,850,760
1,"Blood2",4982,0,65,100,1660,[],[1],[],[],"[0,0,0,0]",8760,1562,4,[],"Prowling","Crimson Wolves strike from the Darkness",5,"","[635,636,637,638]",920,1050,960
2,"Blood3",4982,0,65,100,1660,[],[0],[],[],"[0,0,0,0]",8760,1562,4,[],"Fractured","Exploding Corpses rise into the Ritual Site",7,"","[635,636,637,638]",620,750,660
3,"Locust1",4982,0,65,100,1660,[],[2],[],[],"[0,0,0,0]",8760,1562,4,[],"Plagued","Swarms of Locusts fill the Ritual Site",1,"","[639,640,641,642]",620,750,660
4,"Rats1",4982,100,65,100,1660,[],[3],[],[],"[0,0,0,0]",8760,1562,6,[],"Infested","Tornadoes of Rats traverse the Ritual Site",2,"","[635,636,637,638]",620,750,660
5,"Infection1",4982,100,65,100,1660,[],[3],[],[],"[0,0,0,0]",8760,1562,4,[],"Tainted","Chaotic Boils grow and explode when Touched",3,"","[635,636,637,638]",920,1050,960
6,"Miasma1",4982,100,65,100,1660,[],[0],[],[],"[0,0,0,0]",8760,1562,5,[],"Smothered","Chaotic Plants release explosive Pods",4,"","[630,631,632,633,634]",920,1050,760
7,"Miasma2",4982,100,65,100,1660,[],[1],[],[],"[0,0,0,0]",8760,1562,5,[],"Sapping","Clouds of Elemental Disturbance slow you, lower your Elemental Resistances\nand enhance Monster Resistances",8,"","[630,631,632,633,634]",720,850,760
8,"Frog1",4982,0,65,100,1660,[],[4],[],[],"[0,0,0,0]",8760,1562,0,[],"Croaking","Giant plaguebringing Toads emerge from the Darkness",6,"","[639,640,641,642]",750,850,760
9,"HuntingGroundsQuestArea",4982,0,0,100,1660,[],[2],[],[],"[0,0,0,0]",8760,1561,0,[],"","","","","[639,640,641,642]",1100,1300,760
10,"CanopyQuestArea",4982,0,0,100,1660,[],[2],[],[],"[0,0,0,0]",8760,1562,0,[],"","","","","[639,640,641,642]",1100,1300,760
