"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[9328]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[9328,9371]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[9366]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[9366,9371]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[9367]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[9367,9371]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[9368]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[9368,9371]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[9369]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[9369,9371]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[9370]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[9370,9371]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[9317]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[9317,9318]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[9317]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[9317]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[9317]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[9317]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[9319]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[9319,9318]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[9319]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[9319]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[9319]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[9319]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[9320]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[9320,9318]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[9320]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[9320]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[9320]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[9320]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[9321]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[9321,9318]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[9321]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[9321]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[9321]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[9321]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[9322]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[9322,9318]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[9322]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[9322]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[9322]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[9322]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[9325,9323]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[9325,9323,9318]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[9325,9323]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[9325,9323]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[9325,9323]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[9325,9323]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[9326,9324]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[9326,9324,9318]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[9326,9324]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[9326,9324]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[9326,9324]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[9326,9324]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[9327,9317]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[9327,9325]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[9317,9318,10357]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[9317,9318,10357]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[9317,9318,10357]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[9317,9318,10357]"
