"rownum","Id","[i32]","[i32]","VolumePercentage","i32","i32","i32","i32","rid","i32","i32"
0,"Tarkleigh1","[32,0,120,0,208,0,296,0,384,0,472]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
1,"Tarkleigh2","[1112,0,1196,0,1280,0]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
2,"Nessa1","[1680,0,1770,0,1860,0,1950,0,2040,0]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
3,"Nessa2","[2676,0,2762,0,2848,0,2934,0,3020,0,3106,0,3192,0,3278]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
4,"Bestel1","[4104,0,4176,0,4248,0,4320,0,4392,0,4464,0]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
5,"Act1Fairgraves2","[5098,0,5210]",[],100,-16843010,-16843010,-16843010,-16843010,63,1317,1317
6,"Eramir1","[5476,0,5570,0,5664,0,5758,0,5852,0,5946,0,6040,0,6134]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
7,"Eramir2","[6912,0,6990,0,7068,0,7146,0]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
8,"Yeena1","[7616,0,7698,0,7780,0,7862,0,7944,0,8026,0,8108,0,8190,0,8272,0,8354,0,8436,0]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
9,"Yeena2","[9612,0,9690,0,9768,0,9846,0,9924,0,10002,0,10080,0,10158,0,10236,0,10314]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
10,"Greust1","[11264,0,11358,0,11452,0,11546,0,11640,0,11734,0,11828,0,11922,0]",[],100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
11,"Greust2","[12914,0,13012,0,13110,0,13208,0,13306,0,13404,0,13502]","[2,2,2,4,4,4,3,3,3,3,4,4,4]",100,-16843010,-16843010,-16843010,-16843010,"",1317,1317
