"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout","CapturedMonsterDescription (English)","CapturedMonsterDescription (French)","CapturedMonsterDescription (German)","CapturedMonsterDescription (Japanese)","CapturedMonsterDescription (Korean)","CapturedMonsterDescription (Portuguese)","CapturedMonsterDescription (Russian)","CapturedMonsterDescription (Spanish)","CapturedMonsterDescription (Thai)","CapturedMonsterDescription (Traditional Chinese)"
0,1141,9353,1389,[1021],0,"","","","","","","","","",""
1,1208,9354,1390,[4169],0,"","","","","","","","","",""
2,1207,9355,1391,[4494],0,"","","","","","","","","",""
3,1215,9356,1392,[5798],1,"","","","","","","","","",""
4,1193,9357,1393,[2492],1,"","","","","","","","","",""
5,1243,9358,1394,[5398],1,"","","","","","","","","",""
6,1119,9359,1395,[4002],2,"A Redblade Warlord","Un Seigneur de guerre Rougelame","Ein Rotklingen-Kriegsfürst","レッドブレードの将軍","적검단 전쟁군주","Um Senhor da Guerra da Lâmina Vermelha","Предводитель Красных сабель","Un Jefe de guerra Cuchilla roja","ขุนศึกเรดเบลดผู้หนึ่ง","紅刃軍閥"
7,1148,9360,1396,[2301],2,"","","","","","","","","",""
8,1183,9361,1397,[5345],2,"","","","","","","","","",""
9,1267,9362,1398,[5307],3,"","","","","","","","","",""
10,1261,9363,1399,[8233],3,"","","","","","","","","",""
11,1127,9364,1400,[3781],3,"","","","","","","","","",""
12,1214,9365,1402,[5644],6,"","","","","","","","","",""
13,1143,9366,1405,[5678],8,"","","","","","","","","",""
14,1229,9367,1406,[5691],9,"","","","","","","","","",""
15,1165,9368,1407,[3972],10,"","","","","","","","","",""
16,1189,9369,1401,[5434],11,"","","","","","","","","",""
17,1163,9370,1404,[1449],13,"","","","","","","","","",""
18,1151,9371,1408,[2307],14,"","","","","","","","","",""
19,1161,9372,1403,[1524],15,"","","","","","","","","",""
