"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]","i32","i32","i32"
0,74,"","","","","","","","","","","","",1878,3156,"","",3156,"","","","","",-1010710615,1,47,"[12552,12568]",0,1,700,1866,"","","",1878,3156,"",3156,3156,3156,3156,1878,1866,1878,1878,1878,1878,1866,1866,1866,1866,1866,1866,1866,12405,35,3156,3668,3668,3668,3156,"","","[12560,12568]",1905,1,100
1,75,"","","","","","","","","","","","",1879,3157,"","",3157,"","","","","",1794042691,12,67,"[12553,12568]",0,2,770,1867,"","","",1879,3157,"",3157,3157,3157,3157,1879,1867,1879,1879,1879,1879,1867,1867,1867,1867,1867,1867,1867,12406,45,3157,3669,3669,3669,3157,"","","[12561,12568]",1905,12,100
2,76,"","","","","","","","","","","","",1881,3158,"","",3158,"","","","","",-1926556014,30,100,"[12554,12568]",0,3,847,1869,"","","",1881,3158,"",3158,3158,3158,3158,1881,1869,1881,1881,1881,1881,1869,1869,1869,1869,1869,1869,1869,12407,60,3158,3670,3670,3670,3158,"","","[12562,12568]",1905,30,100
3,77,"","","","","","","","","","","","",1883,3159,"","",3159,"","","","","",1130285480,48,100,"[12555,12568]",0,4,931,1871,"","","",1883,3159,"",3159,3159,3159,3159,1883,1871,1883,1883,1883,1883,1871,1871,1871,1871,1871,1871,1871,12408,75,3159,3671,3671,3671,3159,"","","[12563,12568]",841,48,100
4,78,"","","","","","","","","","","","",1885,3161,"","",3161,"","","","","",2062300730,68,100,"[12556,12568]",0,5,1024,1873,"","","",1885,3161,"",3161,3161,3161,3161,1885,1873,1885,1885,1885,1885,1873,1873,1873,1873,1873,1873,1873,12409,0,3161,3672,3672,3672,3161,"",1,"[12564,12568]",56,68,100
5,79,"","","","","","","","","","","","",1886,3162,"","",3162,"","","","","",-2071586625,0,0,"[12557,12568]",0,6,0,1874,"","","",1886,3162,"",3162,3162,3162,3162,1886,1874,1886,1886,1886,1886,1874,1874,1874,1874,1874,1874,1874,12410,0,3162,3673,3673,3673,3162,"","","[12565,12568]",0,0,0
6,80,"","","","","","","","","","","","",1898,3163,"","",3163,"","","","","",1769493148,0,0,"[12558,12568]",0,7,0,1876,"","","",1898,3163,"",3163,3163,3163,3163,1898,1876,1898,1898,1898,1898,1876,1876,1876,1876,1876,1876,1876,12411,0,3163,3674,3674,3674,3163,"","","[12566,12568]",0,0,0
7,81,"","","","","","","","","","","","","",13563,1987,642,642,"","","","","",-777397213,1,47,[12552],1,1,700,"","",2329,2341,"",725,"",725,725,725,725,2341,2329,2341,2341,2341,2341,2329,2329,2329,2329,2329,2329,2329,12497,35,642,1987,642,"",725,"","",[12560],1905,1,100
8,82,"","","","","","","","","","","","","",13564,1988,643,643,"","","","","",1672586153,12,67,[12553],1,2,770,"","",2330,2342,"",726,"",726,726,726,726,2342,2330,2342,2342,2342,2342,2330,2330,2330,2330,2330,2330,2330,12498,45,643,1988,643,"",726,"","",[12561],1905,12,100
9,83,"","","","","","","","","","","","","",13569,1989,646,646,"","","","","",1828846209,30,100,[12554],1,3,847,"","",2331,2343,"",728,"",728,728,728,728,2343,2331,2343,2343,2343,2343,2331,2331,2331,2331,2331,2331,2331,12499,60,646,1989,646,"",728,"","",[12562],1905,30,100
