"rownum","Mod","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool","bool"
0,7091,"Toxic","Toxique","Toxisch","トキシック","맹독성","Tóxico","Токсичный","Tóxico","เป็นพิษ","毒素",0,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]","",""
1,7092,"Chaosweaver","Tisseur de chaos","Chaosweber","カオスウィーバー","혼돈술사","Manipulador do Caos","Ткач хаоса","Tejedor de caos","ผู้สานเคออส","混沌編織",1,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]","",""
2,7093,"Frostweaver","Tisseur de givre","Frostweber","フロストウィーバー","서리술사","Manipulador do Gelo","Ткач мороза","Tejedor de escarcha","ผู้สานน้ำแข็ง","冰霜編織",2,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
3,7094,"Permafrost","Permagivre","Permafrost","パーマフロスト","만년설","Congelamento Permanente","Вечномёрзлый","Escarcha permanente","หนาวนิรันดร์","永凍土",3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
4,7096,"Hasted","Véloce","Beschleunigt","ヘイスト","가속된","Acelerado","Ускоренный","Acelerado","ว่องไว","急速",4,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
5,7097,"Deadeye","Infaillible","Scharfschütze","デッドアイ","명사수","Atirador","Снайпер","Tirador","นัยน์สังหาร","銳眼",5,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
6,7099,"Bombardier","Bombardement","Artillerist","ボンバーディア","포격수","Combardeiro","Бомбардир","Bombardero","มือระเบิด","投彈手",6,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
7,7100,"Flameweaver","Tisseur de flammes","Flammenweber","フレイムウィーバー","화염술사","Manipulador do Fogo","Ткач пламени","Tejedor de llamas","ผู้สานเพลิง","烈焰編織",7,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
8,7101,"Incendiary","Incendiaire","Entzündlich","インセンディアリ","방화","Incendiário","Воспламенитель","Incendiario","ก่อไฟ","縱火",8,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
9,7102,"Arcane Buffer","Barrière arcanique","Arkaner Schutz","アーケインバッファ","비전 강화","Reforço Arcano","Колдовской барьер","Potenciador arcano","อาคมหุ้มกาย","奧術緩衝",9,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
10,7105,"Echoist","Échoïque","Echoist","エコーイスト","메아리꾼","Ecoante","Эхоист","Ecoísta","ผู้ก้องสะท้อน","回聲者",10,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
11,7107,"Stormweaver","Tisseur d'orage","Sturmweber","ストームウィーバー","폭풍술사","Manipulador da Tempestade","Ткач бури","Tejedor de la tormenta","ผู้สานมรสุม","風暴編織",11,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
12,7108,"Electrocuting","Électrocutant","Elektrisierend","エレクトロキューティング","전기 처형의","Eletrocutante","Электрический","Electrocutador","ช็อตไฟฟ้า","電刑",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
13,7109,"Bonebreaker","Briseur d'os","Knochenbrecher","ボーンブレーカー","뼈 분쇄자","Quebra-ossos","Костолом","Rompehuesos","ผู้หักกระดูก","裂骨者",13,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
14,7110,"Bloodletter","Exsanguinateur","Blutlasser","ブラッドレター","사혈자","Carta Sangrenta","Кровопускатель","Demonio de sangría","ผู้กรีดเลือด","放血者",14,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
15,7112,"Steel-infused","Âme d'acier","Stahlverstärkt","スティールインフューズド","강철 주입","Infundido com Aço","Закалённый","Impregnado en acero","ผสานเหล็กกล้า","鑄鋼",16,"[""outlinecolour:archnemesismodphysicalgreyoutline"",""archnemesismodphysicalgrey""]","",""
16,7113,"Gargantuan","Gargantuesque","Gigant","ガルガンチュアン","가르강튀아","Enorme","Громадина","Gigantesco","ร่างยักษ์","龐然大物",17,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
17,7115,"Berserker","Berzerker","Berserker","バーサーカー","광전사","Berserker","Берсерк","Berserker","ผู้บ้าระห่ำ","暴徒",18,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
18,7106,"Sentinel","Sentinelle","Wache","センチネル","파수꾼","Sentinela","Страж","Centinela","ผู้เฝ้ายาม","哨兵",19,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
19,7111,"Juggernaut","Colosse","Koloss","ジャガーノート","거수","Destruidor","Покоритель","Coloso","ผู้บึกบึน","勇士",20,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
20,7103,"Vampiric","Vampirique","Vampirisch","ヴァンピリック","흡혈","Vampírico","Иссушитель","Vampírico","เขี้ยวแวมไพร์","吸血魔",21,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
21,7116,"Overcharged","Surchargé","Überladen","オーバーチャージド","과충전","Sobrecarregado","Перегруженный","Sobrecargado","ชาร์จสุดขีด","超負荷",22,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
22,7117,"Soul Conduit","Conduit d'âmes","Seelenbindung","魂の導管","영혼 도관","Condutor D'alma","Проводник душ","Conducto de almas","ศูนย์รวมวิญญาณ","魂靈牽引",23,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
23,7118,"Opulent","Richissime","Opulent","オピュレント","풍요","Opulento","Богатый","Opulento","มั่งคั่ง","豐饒",24,"[""outlinecolour:archnemesismodgoldenoutline"",""archnemesismodgolden""]","",""
24,7119,"Malediction","Affliction","Malediktion","マレディクション","악담","Maldito","Злословец","Tormento","มุ่งร้าย","憎惡",25,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
25,7120,"Consecrator","Consécrateur","Weihender","コンセクレイター","축성자","Profanador","Освятитель","Consagrador","ผู้ศักดิ์สิทธิ์","奉獻使徒",26,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","",""
26,7121,"Frenzied","Frénétique","Rasend","フレンジー","격분","Frenético","Бешеный","Frenético","บ้าคลั่ง","喪心病狂",27,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
27,7122,"Heralding Minions","Serviteurs héraldiques","Herold-Kreaturen","先触れのミニオン","인도하는 소환수","Lacaios Arautos","Взывающие приспешники","Esbirros invocadores","มิเนียนนำสาส์น","先鋒召喚物",28,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
28,7123,"Empowering Minions","Serviteurs dévoués","Verstärkende Kreaturen","ミニオンの強化","강화하는 소환수","Maximizador de Lacaios","Могучие приспешники","Esbirros potenciadores","มิเนียนให้พลัง","增幅召喚物",29,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
29,7095,"Assassin","Assassin","Assassine","アサシン","암살자","Assassino","Убийца","Asesino","มือสังหาร","刺客",30,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
30,7098,"Trickster","Roublard","Schwindler","トリックスター","협잡꾼","Trapaceiro","Ловкач","Embaucador","ผู้เจ้าเล่ห์","詐欺師",31,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
31,7104,"Necromancer","Nécromancien","Nekromant","ネクロマンサー","강령술사","Necromante","Некромант","Nigromante","หมอผี","死靈師",32,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
32,7114,"Rejuvenating","Revigoration","Verjüngend","リジュヴェネーション","회춘","Rejuvenescimento","Восполнитель","Rejuvenecedor","ฟื้นชีวิต","振興",33,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
