"rownum","Id","[rid]","[i32]","[i32]","[i32]","Variants","[rid]","[i32]","[rid]","rid","[i32]","[rid]","[i32]"
0,"global_auras",[],[],[],[],"[""Default"",""Archon"",""Imp"",""Carnage"",""Trinity"",""SoulNexus"",""ForceField"",""ArcticSkull"",""LightningSkull"",""InfernalSkull"",""Corsair"",""Betrayal"",""Mystic"",""Lava"",""Stygian"",""Celestial"",""Celestial_Tencent1"",""Celestial_Tencent2"",""Celestial_Tencent3"",""Huntsman"",""Madcap"",""Plated"",""Dragon"",""DragonBlue"",""Illusionist"",""Legion"",""Wrangler"",""Wild"",""Lich"",""Harlequin"",""CorruptedEmperor"",""Ringmaster"",""Black"",""White"",""Dragon_Hunter"",""Balefire"",""Dark_Magic"",""Scientist"",""Project"",""Angelic"",""Demonic"",""FrostViking"",""Sunrise"",""Nightfall"",""Darkwood"",""EthercraftSavage"",""EthercraftEnraged"",""EthercraftTranquil"",""EthercraftChaotic"",""DualDragon"",""Misery"",""Suffering"",""Sun"",""Lightbringer"",""Darkshard"",""Merchant"",""Scavenger"",""Overseer"",""Siren"",""Deepwater""]",[0],"[18079,842,14646,60842,33608,37998,19034,44108,43340,36671,51220,44880,45462,43749,39541,27572,46439,46436,46437,10526,59045,33232,25624,63772,54759,24373,13661,28806,56631,15800,7859,25284,25619,15971,13085,23387,50237,64816,55295,36925,61278,36735,53117,57192,12926,65156,54226,1322,49284,27394,32478,2790,34292,55723,35955,40677,46158,5427,42935,57983]",[],347,[],[],[]
1,"anger",[0],[],[],[],"[""Default"",""Alternate"",""Talisman"",""Ground""]",[76],"[18079,25075,50744,62389]",[],347,[],[165],[]
2,"hatred",[1],[],[],[],"[""Default"",""Alternate"",""Talisman"",""SmallTalisman"",""Ground""]",[80],"[18079,25075,50744,23449,62389]",[],347,[],"[166,167]",[]
3,"wrath",[3],[],[],[],"[""Default"",""Alternate"",""Talisman"",""Ground""]",[85],"[18079,25075,50744,62389]",[],347,[],"[168,1137]",[]
4,"haste",[4],[],[],[],"[""Default"",""Alternate"",""Wandering""]",[89],"[18079,25075,11702]",[],347,[],"[153,1136]",[]
5,"default_ranged",[],[],[],[],[],[],[],[0],4817,[],"[65,66,1418]",[]
6,"steelskin",[5],[],"[0,0]",[],"[""Default"",""Maven"",""Stygian""]",[92],"[18079,1353,39541]",[],347,[],"[1201,1334]",[]
7,"cremation","[8,17,26]",[],[],[],"[""Default"",""Elder"",""Abyss"",""Gore"",""Quicksilver"",""Darkwood"",""VaalOrb"",""VoidEmperor"",""AncestralMoltenHulk""]",[],"[18079,18332,37812,63064,7534,12926,3918,48015,30012]",[36],347,[],"[974,975]",[]
8,"consecrated_path","[35,40,45]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],347,[],[1101],[]
9,"consecrated_path_ancestral","[50,53,56]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],347,[],[1101],[]
10,"divine_cry",[59],[0],"[6,0]",[],"[""Default"",""UNUSED"",""Celestial"",""Wolf""]",[409],"[18079,64124,27572,45252]",[],347,[],[1352],[]
11,"absolution_blast","[62,64,66,68,70]",[],[],[],"[""Default"",""DefaultMinion""]",[],"[18079,43854]",[],347,"[0,0]",[1353],[]
12,"ignite",[],[],[],[],"[""Default"",""White"",""Ghostfire"",""Blue"",""Stygian"",""Corsair"",""Blackflame"",""Holy"",""Empyrean"",""PolarisWhite"",""PolarisBlack"",""Glimmerwood"",""Demonic"",""Nightfall"",""BlackflameUnique"",""StygianHoly"",""Celestial"",""CelestialConsecratedPath"",""VoidEmperor"",""Mystic"",""MeteorShower"",""Oblivion"",""LegacyOfFury"",""Demonic""]",[95],"[18079,15971,49596,52194,39541,51220,37683,27667,17735,41774,36530,61967,61278,57192,20329,739,27572,56350,48015,45462,64137,116,35014,61278]",[],13400,[],[],[]
13,"scorch",[],[],[],[],"[""Default"",""Demonic""]",[126],"[18079,61278]",[],17018,[],[],[]
14,"shock",[],[],[],[],"[""Default"",""Purple"",""Divine"",""Red"",""Empyrean"",""Green"",""Stygian"",""Celestial"",""CelestialTempest"",""Void"",""Divine"",""VoidAlternate"",""VoidEmperor"",""AutomatonLightningTendrils"",""VoidForge"",""StarForge""]",[128],"[18079,19343,29263,16806,17735,15240,39541,27572,247,9203,29263,22003,48015,27259,17279,65211]",[],16442,[],[],[]
15,"sap",[],[],[],[],"[""Default"",""Void""]",[150],"[18079,9203]",[],17020,[],[],[]
