"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15261]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15261,15449]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15444]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15444,15449]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15445]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15445,15449]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15446]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15446,15449]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15447]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15447,15449]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15448]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15448,15449]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15250]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15250,15251]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15250]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15250]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15250]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15250]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15252]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15252,15251]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15252]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15252]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15252]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15252]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15253]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15253,15251]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15253]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15253]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15253]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15253]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15254]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15254,15251]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15254]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15254]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15254]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15254]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15255]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15255,15251]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15255]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15255]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15255]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15255]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15258,15256]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15258,15256,15251]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15258,15256]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15258,15256]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15258,15256]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15258,15256]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15259,15257]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15259,15257,15251]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15259,15257]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15259,15257]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15259,15257]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15259,15257]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15260,15250]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15260,15258]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15250,15251,20011]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15250,15251,20011]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15250,15251,20011]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15250,15251,20011]"
