"rownum","KeyCode","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Id (English)","Id (French)","Id (German)","Id (Japanese)","Id (Korean)","Id (Portuguese)","Id (Russian)","Id (Spanish)","Id (Thai)","Id (Traditional Chinese)"
0,48,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
1,49,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
2,50,"2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
3,51,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
4,52,"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
5,53,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
6,54,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
7,55,"7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
8,56,"8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
9,57,"9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
10,65,"A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
11,66,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B"
12,67,"C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C"
13,68,"D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D"
14,69,"E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E"
15,70,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
16,71,"G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G"
17,72,"H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H"
18,73,"I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I"
19,74,"J","J","J","J","J","J","J","J","J","J","J","J","J","J","J","J","J","J","J","J"
20,75,"K","K","K","K","K","K","K","K","K","K","K","K","K","K","K","K","K","K","K","K"
21,76,"L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L"
22,77,"M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M"
23,78,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
24,79,"O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O"
25,80,"P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P"
