"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsDropDisabled"
0,7858,1164,120,79,"","g","Vaults of Atziri","La Salle des coffres d'Atziri","Atziris Gewölbe","アトジリの宝物庫","앗지리의 금고실","Relíquias de Atziri","Сокровищница Атзири","Cámaras de Atziri","Vaults of Atziri","阿茲里的秘寶庫",""
1,8899,1142,171,149,"","Ç","Maelstrom of Chaos","Le Maelstrom du Chaos","Mahlstrom des Chaos","混沌の渦","혼돈의 마엘스트롬","Turbilhão do Caos","Вихрь хаоса","Vorágine de Caos","Maelstrom of Chaos","混沌之淵",""
2,8918,1199,175,153,"","Å","The Coward's Trial","L'Épreuve du couard","Die Prüfung des Feiglings","臆病者の試練","겁쟁이의 시험","Julgamento do Covarde","Испытание труса","La Prueba del Cobarde","The Coward's Trial","懦者的試驗",""
3,8961,1216,177,159,"","Ô","Acton's Nightmare","Le Cauchemar d'Acton","Actons Albtraum","アクトンの悪夢","액턴의 악몽","Pesadelo de Acton","Кошмар Актоны","La Pesadilla de Acton","Acton's Nightmare","輪迴的夢魘",""
4,8994,1184,207,191,"","ß","Poorjoy's Asylum","L'Asile de Poorjoy","PoorJoys Zuflucht","プアジョイの収容所","푸어조이의 은신처","Hospício de Poorjoy","Богадельня Паршута","Asilo de Poorjoy","Poorjoy's Asylum","沉淪之間",""
5,9011,1171,230,209,"","À","Mao Kun","Mao Kun","Mao Kun","マオ・クン","마오 쿤","Mao Kun","Мао Кун","Mao Kun","Mao Kun","賊窩",""
6,9015,1221,234,213,"","#","Oba's Cursed Trove","Le Trésor maudit d'Oba","Obas verfluchter Schatz","オバの呪われた埋蔵品","오바의 저주받은 전리품","Tesouro Maldito de Oba","Проклятый клад Обы","Tesoro Maldito de Oba","Oba's Cursed Trove","歐霸的咒怨寶庫",""
7,9075,1154,237,216,"","$","Olmec's Sanctum","Le Sanctuaire d'Olmec","Olmecs Heiligtum","オルメカの聖所","올멕의 지성소","Santuário Omeca","Святилище Ольмека","Santuario de Olmec","Olmec's Sanctum","遠古之印",""
8,9076,1173,238,217,1,"","Untainted Paradise","Paradis immaculé","Unberührtes Paradies","汚れなき楽園","때묻지 않은 낙원","Paraíso Intocado","Нетронутый рай","Paraiso Prístino","Untainted Paradise","純淨樂園",""
9,9229,1223,324,303,"","¿","Death and Taxes","La Mort et les Impôts","Der sichere Tod","死と税金","죽음과 의무","Morte e Impostos","Смерть и налоги","Muerte e Impuestos","Death and Taxes","亡者之財",""
10,9396,1114,386,394,"","È","Whakawairua Tuahu","Whakawairua Tuahu","Whakawairua Tuahu","ファカワイルア・トゥアーフ","와카와 투아후","Whakawairua Tuahu","Вакавайруа Туаху","Whakawairua Tuahu","Whakawairua Tuahu","禁閉祭壇",""
11,10137,1202,409,417,1,"Ù","Hall of Grandmasters","L'Assemblée des Grands maîtres","Die Halle der Großmeister","グランドマスターの殿堂","명인의 전당","Salão dos Grão-Mestres","Зал великих мастеров","Salón de los Grandes Maestros","Hall of Grandmasters","元帥殿堂",""
12,10138,1168,610,577,1,"²","The Vinktar Square","La Place de Vinktar","Der Vinktar-Platz","ヴィンクターの広場","빙타 광장","A Praça Vinktar","Площадь Винктара","La Plaza de Vinktar","The Vinktar Square","維克塔廣場",""
13,11455,1156,666,806,"","æ","Caer Blaidd, Wolfpack's Den","Caer Blaidd, la Tanière de la meute","Caer Blaidd – Wolfsrudelhöhle","カーイルブライズ・群狼の巣","캐어블레이드 늑대의 소굴","Caer Blaidd, Covil dos Lobos","Caer Blaidd, логово стаи","Caer Blaidd, Madriguera de Lobos","Caer Blaidd, Wolfpack's Den","塞爾．佈雷德狼穴",""
14,11524,1116,723,893,1,"™","The Perandus Manor","Le Manoir des Pérandus","Das Perandus-Anwesen","ペランダスの邸宅","페란두스 저택","Mansão Perandus","Особняк Перандусов","La Mansion Perandus","The Perandus Manor","普蘭德斯莊園",1
15,11841,1187,807,1049,"","Õ","The Putrid Cloister","Le Cloître putride","Das faulige Kloster","邪悪な学園","악취 나는 수도원","O Claustro Pútrido","Тлетворная обитель","El Claustro Pútrido","The Putrid Cloister","腐臭迴廊",""
16,11842,1144,809,1051,"","Ð","Hallowed Ground","La Nuit des masques","Nacht des Grauens","聖地","거룩한 대지","Solo Sagrado","Священные земли","Una Noche de Terror","Hallowed Ground","萬聖之地",""
17,12077,1253,959,1506,1,"","The Beachhead","La Tête de pont","Der Brückenkopf","侵攻拠点","교두보","A Cabeça de Ponte","Плацдарм","La Cabecera de la Playa","The Beachhead","神諭之殿．歸徒",""
18,12078,1254,959,1506,1,"","The Beachhead","La Tête de pont","Der Brückenkopf","侵攻拠点","교두보","A Cabeça de Ponte","Плацдарм","La Cabecera de la Playa","The Beachhead","神諭之殿．降師",""
19,12079,1255,959,1506,1,"","The Beachhead","La Tête de pont","Der Brückenkopf","侵攻拠点","교두보","A Cabeça de Ponte","Плацдарм","La Cabecera de la Playa","The Beachhead","神諭之殿．神臨",""
20,12081,1176,961,1527,"","^","The Twilight Temple","Le Temple du Crépuscule","Der Zwielichttempel","黄昏の寺院","황혼의 사원","O Templo do Crepúsculo","Сумеречный храм","El Templo del Crepúsculo","The Twilight Temple","暮色神廟",""
21,12082,1126,965,1528,1,"‹","Doryani's Machinarium","Le Machinarium de Doryani","Doryanis Machinarium","ドリヤニのマシナリウム","도리아니의 기계실","Maquinário de Doryani","Машинариум Дориани","Taller de Maquinas de Doryani","Doryani's Machinarium","多里亞尼的機械迷城",""
22,12083,1152,969,1529,"","›","Pillars of Arun","Les Piliers d'Arun","Säulen von Arun","アルンの柱","아룬의 기둥","Pilares de Arun","Столпы Арун","Pilares de Arun","Pillars of Arun","艾倫之柱",""
23,12638,454,1189,2110,1,"","Altered Distant Memory","Souvenir lointain altéré","Veränderte entfernte Erinnerung","改変された遠い記憶","뒤바뀐 희미한 기억","Memória Distânte Alterada","Изменённое отдалённое воспоминание","Memoria lejana alterada","ความทรงจำที่ห่างไกลที่ถูกแก้ไข","遙遠記憶：編造",""
24,12639,455,1190,2111,1,"","Augmented Distant Memory","Souvenir lointain exacerbé","Verstärkte entfernte Erinnerung","増幅された遠い記憶","강화된 희미한 기억","Memória Distânte Aumentada","Дополненное отдалённое воспоминание","Memoria lejana aumentada","ความทรงจำที่ห่างไกลที่ถูกแต่งเติม","遙遠記憶：增幅",""
25,12640,456,1191,2112,1,"","Twisted Distant Memory","Souvenir lointain déformé","Verdorbene entfernte Erinnerung","歪められた遠い記憶","뒤틀린 희미한 기억","Memória Distânte Distorcida","Искажённое отдалённое воспоминание","Memoria lejana retorcida","ความทรงจำที่ห่างไกลที่ถูกบิดเบือน","遙遠記憶：扭曲",""
26,12641,457,1192,2113,1,"","Rewritten Distant Memory","Souvenir lointain réécrit","Umgeschriebene entfernte Erinnerung","書き換えられた遠い記憶","다시 쓰인 희미한 기억","Memória Distânte Reescrita","Переписанное отдалённое воспоминание","Memoria lejana reescrita","ความทรงจำที่ห่างไกลที่ถูกเขียนใหม่","遙遠記憶：改寫",""
27,12642,453,1193,2114,1,"","Cortex","Le Cortex","Cortex","コーテクス","코텍스","Córtex","Кора","Córtex","Cortex","深沉記憶",""
28,12080,1256,1280,1506,1,"","Infused Beachhead","La Tête de pont infusée","Verstärkter Brückenkopf","強化された侵攻拠点","주입된 교두보","A Cabeça de Ponte Infundida","Усиленный Плацдарм","La cabecera de la playa infundida","Infused Beachhead","神域之殿．煉獄",""
29,12643,453,1194,2114,1,"","Cortex","Le Cortex","Cortex","コーテクス","코텍스","Córtex","Кора","Córtex","Cortex","深沉記憶",""
30,12084,1152,970,1529,1,"","Pillars of Arun","Les Pilliers d'Arun","Säulen von Arun","アルンの柱","아룬의 기둥","Pilares de Arun","Столпы Арун","Pilares de Arun","Pillars of Arun","艾倫之柱",""
31,8995,1184,208,191,1,"","Poorjoy's Asylum","L'Asile de Poorjoy","PoorJoys Zuflucht","プアジョイの収容所","푸어조이의 은신처","Hospício de Poorjoy","Богадельня Паршута","Asilo de Poorjoy","Poorjoy's Asylum","沉淪之間",""
32,13312,1748,1408,1784,1,"","The Tower of Ordeals","La Tour des Épreuves","Der Turm der Prüfungen","試練の塔","시련의 탑","A Torre das Provações","Башня испытаний","La torre de los calvarios","The Tower of Ordeals","磨難之塔",""
