"rownum","Buff","[rid]","i32"
0,"global_auras",[474],-1
1,"global_auras",[468],-2
2,"global_auras",[470],-3
3,"global_auras",[472],-4
4,"global_auras",[167],-5
5,"global_auras",[148],-6
6,"global_auras",[154],-7
7,"global_auras",[158],-8
8,"global_auras",[150],-9
9,"global_auras",[958],-10
10,"global_auras",[964],-11
11,"global_auras",[969],-12
12,"global_auras",[986],-13
13,"global_auras",[992],-14
14,"global_auras",[997],-15
15,"global_auras",[1009],-16
16,"global_auras",[1010],-17
17,"global_auras",[1011],-18
18,"global_auras",[1019],-19
19,"global_auras",[1018],-20
20,"global_auras",[1056],-21
21,"global_auras",[1057],-22
22,"global_auras",[1058],-23
23,"global_auras",[1076],-24
24,"global_auras",[1078],-25
25,"global_auras",[1079],-26
26,"global_auras",[1080],-27
27,"global_auras",[1146],-28
28,"global_auras",[1151],-29
29,"global_auras",[1149],-30
30,"global_auras",[1152],-31
31,"global_auras",[1156],-32
32,"global_auras",[1157],-33
33,"global_auras",[1204],-34
34,"global_auras",[1207],-35
35,"global_auras",[1210],-36
36,"global_auras",[1234],-37
37,"global_auras",[1235],-38
38,"global_auras",[1302],-39
39,"global_auras",[1303],-40
40,"global_auras",[1327],-41
41,"global_auras",[1346],-42
42,"global_auras",[1347],-43
43,"global_auras",[1367],-44
44,"global_auras",[1372],-45
45,"global_auras",[1373],-46
46,"global_auras",[1374],-47
47,"global_auras",[1375],-48
48,"global_auras",[1416],-49
49,"global_auras",[1422],-50
50,"global_auras",[1423],-51
51,"global_auras",[1510],-52
52,"global_auras",[1511],-53
53,"global_auras",[1512],-54
54,"global_auras",[1513],-55
55,"global_auras",[1514],-56
56,"global_auras",[1515],-57
57,"global_auras",[1621],-58
58,"global_auras",[1622],-59
59,"global_auras",[1674],-60
60,"global_auras",[1675],-61
61,"global_auras",[1730],-62
62,"global_auras",[1742],-63
63,"global_auras",[1743],-64
64,"global_auras",[1744],-65
65,"global_auras",[1798],-66
66,"global_auras",[1799],-67
67,"global_auras",[1800],-68
68,"global_auras",[1801],-69
69,"global_auras",[1802],-70
70,"global_auras",[1922],-71
71,"global_auras",[1923],-72
72,"global_auras",[1924],-73
73,"global_auras",[1986],-74
74,"global_auras",[1987],-75
75,"global_auras",[1988],-76
76,"anger",[149],0
77,"anger",[150],1
78,"anger",[151],2
79,"anger",[152],3
80,"hatred",[153],0
81,"hatred",[154],1
82,"hatred",[155],2
83,"hatred",[719],3
84,"hatred",[156],4
85,"wrath",[157],0
86,"wrath",[158],1
87,"wrath",[159],2
88,"wrath",[160],3
89,"haste",[162],0
90,"haste",[468],1
91,"haste",[163],2
92,"steelskin",[1036],0
93,"steelskin",[1485],1
94,"steelskin",[1037],2
95,"ignite",[2],0
96,"ignite",[373],1
97,"ignite",[467],2
98,"ignite",[374],3
99,"ignite",[375],4
100,"ignite",[376],5
101,"ignite",[377],6
102,"ignite",[1016],7
103,"ignite",[1096],8
104,"ignite",[1164],9
105,"ignite",[1354],10
106,"ignite",[1313],11
107,"ignite",[1355],12
108,"ignite",[1352],13
109,"ignite",[1456],14
110,"ignite",[1572],15
111,"ignite",[1580],16
112,"ignite",[1588],17
113,"ignite",[1589],18
