"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,10431,0,0,0,""
1,10432,1,0,0,""
2,10433,2,0,0,""
3,10434,3,0,0,""
4,10435,4,0,0,""
5,10436,5,0,0,""
6,10437,6,0,0,""
7,10438,7,0,1,""
8,10439,8,0,1,""
9,10440,9,0,1,""
10,10441,10,2,1,""
11,10442,11,0,1,""
12,10443,12,0,1,""
13,10444,13,0,1,""
14,10445,14,0,2,""
15,10446,15,0,2,""
16,10447,16,0,2,""
17,10448,17,0,2,""
18,10449,18,0,2,""
19,10450,19,0,2,""
20,10451,20,0,2,""
21,10452,21,0,3,""
22,10453,22,0,3,""
23,10454,23,0,3,""
24,10455,24,2,3,""
25,10456,25,0,3,""
26,10457,26,0,3,""
27,10458,27,0,3,""
28,10459,28,0,4,""
29,10460,29,1,4,""
30,10461,30,2,4,""
31,10462,31,1,4,""
32,10463,32,1,4,""
33,10464,33,1,4,""
34,10465,34,2,4,""
35,10466,35,1,5,""
36,10467,36,1,5,""
37,10468,37,1,5,""
38,10469,38,2,5,""
39,10470,39,2,5,""
40,10471,40,1,5,""
41,10472,41,1,5,""
42,10473,42,1,6,""
43,10474,43,1,6,""
44,10475,44,1,6,""
45,10476,45,1,6,""
46,10477,46,1,6,""
47,10478,47,1,6,""
48,10479,48,1,6,""
49,10480,49,2,7,""
50,10481,50,2,7,""
51,10482,51,2,7,""
52,10483,52,2,7,""
53,10484,53,2,7,""
54,10485,54,2,7,""
55,10486,55,2,7,""
56,10487,56,1,8,""
57,10488,57,1,8,""
58,10489,58,2,8,""
59,10490,59,1,8,""
60,10491,60,2,8,""
61,10492,61,2,8,""
62,10493,62,1,8,""
63,10494,63,2,9,""
64,10495,64,2,9,""
65,10496,65,2,9,""
66,10497,66,0,9,""
67,10498,67,2,9,""
68,10499,68,2,9,""
69,10500,69,2,9,""
70,10501,70,3,10,""
71,10502,71,3,10,""
72,10503,72,3,10,""
73,10504,73,3,10,""
74,10505,74,3,10,""
75,10506,75,3,10,""
76,10507,76,3,10,""
77,10508,77,3,10,""
78,10509,78,4,10,""
79,10510,79,4,10,""
80,10511,80,4,10,""
81,10512,81,5,10,""
82,10513,82,5,10,""
83,10514,83,5,10,""
84,10515,84,6,10,""
85,10516,85,6,10,""
86,10517,86,6,10,""
87,10518,87,3,10,""
88,10519,88,3,10,""
89,10520,89,4,10,""
90,10521,90,5,10,""
91,10522,91,6,10,""
92,10523,92,7,10,15
