"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)"
0,"BetterSellPrice","Item is overvalued by vendors","Les Marchands surestiment la valeur de l'objet","Gegenstand erzielt bei Händlern einen höheren Preis","アイテムをベンダーに高く売ることができる","상인에게 판매할 때 얻는 화폐 증가","O item tem um valor melhor nos vendedores","Торговцы покупают предмет дороже","Este objeto está sobrevalorado por los vendedores PNJ.","ไอเทมขายกับผู้ค้าขายได้เกินราคา","物品會被商人覺得超值"
1,"LuckyMods","Numeric modifier values are lucky\r\nHigh Level modifiers are more common","Les Valeurs numériques des mods sont en votre Faveur\r\nLes modificateurs de Haut Niveau sont plus fréquents","Numerische Modifikatorenwerte fallen günstig aus\r\nHochstufige Modifikatoren treten häufiger auf","数値モッドの値が幸運になる\r\n高レベルのモッドが出現しやすい","속성 부여 결정 시 관련 수치 개선\r\n고레벨 속성 부여 등장 빈도 증가","Valores dos modificadores numéricos são sortudos\r\nModificadores de nível maior são mais comuns","Числовые значения свойств удачливы\r\nВысокоуровневые свойства более вероятны","Los valores numéricos del modificador son afortunados\r\nLos modificadores de nivel alto son más comunes","โชคดีในการสุ่มค่าตัวเลขของม็อด\r\nออกม็อดระดับสูงบ่อยขึ้น","數字的值非常幸運\r\n高階詞綴更常見"
2,"RandomModifier","Random effects revealed when resonator is fully socketed","Effets au hasard, révélés lorsque le Résonateur est rempli","Zufällige Effekte werden enthüllt, sobald der Resonator vollständig bestückt ist","レゾネーターのソケットが全て埋まった時にランダムな効果が現れる","공명기의 모든 홈에 화석을 장착하면 무작위 효과 드러남","Efeitos aleatórios revelados quando o ressonador for completamente encaixado","Случайные эффекты проявляются при заполненнии резонатора","Los efectos aleatorios se revelan una vez que el resonador esté totalmente engarzado","เผยผลแบบสุ่มเมื่อใส่ฟอสซิลให้กับ ตัวสั่นพ้อง ครบถ้วน","鑄新儀裝滿時揭露隨機效果"
3,"CorruptEssence","Has a Corrupt Essence modifier","Possède un modificateur d'Essence corrompue","Hat einen verderbten Essenz-Modifikator","コラプトエッセンスモッドを持つ","타락 에센스 속성 부여 보유","Possui um mod Corrúpto de Essência","Имеет свойство осквернённой Сущности","Tiene un modificador de Esencia Corrupta","มีม็อด เอสเซนส์ที่มีมลทิน 1 อย่าง","有一個汙染精髓詞綴"
4,"Duplicate","Creates a split copy","Crée une Copie scindée","Erstellt eine geteilte Kopie","スプリットコピーを生成する","분할된 복제본 생성","Cria uma cópia dividida","Создает разделённую копию","Crea una copia dividida","สร้างสำเนาไอเทมที่ผ่านการแยก 1 ชิ้น","製造一個分化的複製體"
5,"AbyssSocket","Has an Abyssal socket","Possède une Châsse abyssale","Hat eine Abgrund-Fassung","アビスソケットを持つ","심연 홈 보유","Possui um encaixe Abissal","Имеет гнездо Бездны","Tiene un engarce abisal","มี รูอะบิส 1 รู","有一個深淵插槽"
6,"VaalMod","Has a Vaal modifier","Possède un modificateur Vaal","Hat einen Vaal-Modifikator","ヴァールモッドを持つ","바알 속성 부여 보유","Possui um modificador Vaal","Имеет свойство ваал","Tiene un modificador vaal","มีม็อด วาล์ 1 อย่าง","有一個瓦爾詞綴"
7,"Sockets","More sockets\r\nCan have white sockets","Davantage de Châsses\r\nPeut avoir des Châsses blanches","Mehr Fassungen\r\nKann weiße Fassungen haben","ソケット追加\r\n白ソケットが付くことがある","홈 증가\r\n하얀 홈 보유 가능","Possui mais Encaixes\r\nPode ter encaixes brancos","Больше гнёзд\r\nМожет иметь белые гнёзда","Más engarces","มีรูเพิ่มขึ้น\r\nสามารถมีรูสีขาวได้","有更多插槽\r\n有機會有白色插槽"
8,"LabryinthEnchant","Has a Labyrinth Enchantment","Possède un Enchantement du Labyrinthe","Hat eine Labyrinth-Verzauberung","ラビリンスエンチャントを持つ","미궁 인챈트 보유","Possui um Encantamento do Labirinto","Имеет зачарование Лабиринта","Tiene un Encantamiento de Laberinto","มี เอนแชนท์เขาวงกต 1 อย่าง","有一個迷宮附魔"
9,"Quality","Improved Quality","Possède une Qualité améliorée","Verbesserte Qualität","品質向上","퀄리티 향상","Melhorar Qualidade","Улучшенное качество","Calidad mejorada","เพิ่มค่าคุณภาพ","改良品質"
