"rownum","ModsKey","i32","i32","i32"
0,22658,2,9,100
1,22659,10,14,100
2,22660,15,20,100
3,22668,21,30,50
4,22661,2,9,100
5,22662,10,14,100
6,22663,15,30,100
7,22574,15,30,10
8,22575,15,30,10
9,22576,15,30,10
10,22577,10,14,0
11,22578,15,30,0
12,22579,10,14,0
13,22580,15,30,0
14,22581,10,14,0
15,22582,15,30,0
16,22583,10,14,20
17,22584,15,30,20
18,22585,5,14,35
19,22586,15,30,35
20,22587,5,9,50
21,22588,10,15,50
22,22589,15,30,50
23,22590,2,9,25
24,22591,10,14,25
25,22592,15,20,25
26,22673,21,30,25
27,22593,5,9,25
28,22594,10,14,25
29,22595,15,30,25
30,22596,5,9,25
31,22597,10,14,25
32,22598,15,30,25
33,22599,2,9,25
34,22600,10,14,25
35,22601,15,20,25
36,22674,21,30,25
37,22602,5,9,25
38,22603,10,14,25
39,22604,15,30,25
40,22605,5,9,25
41,22606,10,14,25
42,22607,15,30,25
43,22608,2,9,25
44,22609,10,14,25
45,22610,15,20,25
46,22671,21,30,25
47,22611,5,9,25
48,22612,10,14,25
49,22613,15,30,25
50,22614,5,9,25
51,22615,10,14,25
52,22616,15,30,25
53,22617,2,9,25
54,22618,10,14,25
55,22619,15,20,25
56,22672,21,30,25
57,22620,10,14,25
58,22621,15,17,25
59,22622,15,30,25
60,22623,5,9,25
61,22624,10,14,25
62,22625,15,30,25
63,22626,2,9,25
64,22627,10,14,25
65,22628,15,20,25
66,22675,21,30,25
67,22629,10,14,25
68,22630,15,17,25
69,22631,18,30,25
70,22632,10,14,20
71,22633,15,30,20
72,22634,2,9,20
73,22635,10,14,20
74,22636,15,30,20
75,22637,10,14,10
76,22638,15,17,10
77,22639,15,30,10
78,22640,2,9,100
79,22641,10,14,100
80,22642,15,30,100
81,22643,10,14,25
82,22644,15,30,25
83,22645,10,14,25
84,22646,15,30,25
85,22647,10,14,25
86,22648,15,30,25
87,22649,10,14,0
88,22650,15,30,0
89,22651,10,14,10
90,22652,15,20,10
91,22670,21,30,10
92,22653,10,14,10
93,22654,15,30,10
94,22655,2,9,30
95,22656,10,14,30
96,22657,15,30,30
97,22664,2,9,40
98,22665,10,14,40
99,22666,15,20,40
100,22669,21,30,40
