"rownum","Item","Pack","Description"
0,11323,14,"Pack monsters are Harmless Frogs"
1,11324,16,"Pack monsters are Rats"
2,11325,485,"Pack monsters can drop Splinters of Xoph"
3,11326,486,"Pack monsters can drop Splinters of Tul"
4,11327,487,"Pack monsters can drop Splinters of Esh"
5,11328,488,"Pack monsters can drop Splinters of Uul'Netol"
6,11329,489,"Pack monsters can drop Splinters of Chayula"
7,11330,490,"Pack monsters reward Sulphite on death"
8,11331,491,"Pack Monsters can drop Karui Tattoos"
9,11332,492,"Pack Monsters can drop Karui Tattoos"
10,11333,493,"Pack Monsters can drop Karui Tattoos"
11,11334,494,"Pack Monsters can drop Karui Tattoos"
12,11335,495,"Pack Monsters can drop Karui Tattoos"
13,11336,496,"Pack Monsters can drop Karui Tattoos"
14,11337,497,"Pack Monsters can drop Karui Tattoos"
15,11338,498,"Pack Monsters can drop Karui Tattoos"
16,11339,499,"Pack Monsters can drop Karui Tattoos"
17,11340,500,"Pack Monsters can drop Karui Tattoos"
18,11341,501,"Pack monsters can drop Abyssal Jewels"
19,11342,502,"Pack monsters can drop Tainted Currency"
20,11343,503,"Pack monsters can drop Tainted Currency"
21,11344,504,"Pack monsters can drop Tainted Currency"
22,11345,505,"Gemling Pack Leader drops an additional Quality Gem"
23,11346,506,"Gemling Pack Leader drops an additional Quality Gem"
24,11347,507,"Gemling Pack Leader drops an additional Quality Gem"
25,11348,508,"Gemling Pack Leader drops an additional Quality Gem"
26,11349,509,"Gemling Pack Leader drops an additional Quality Gem"
27,11350,510,"Pack monsters can drop Broken Circle Artifacts"
28,11351,511,"Pack monsters can drop Order of the Chalice Artifacts"
29,11352,512,"Pack monsters can drop Black Scythe Artifacts"
30,11353,513,"Pack monsters can drop Knights of the Sun Artifacts"
31,11354,514,"Monster has greatly increased Life"
32,11355,515,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
33,11356,516,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
34,11357,517,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
35,11358,518,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
36,11359,519,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
37,11360,520,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
38,11361,521,"Pack monsters reward greatly increased Experience\r\nPack monsters drop no Items"
39,11362,522,"Pack monsters can drop Omens"
40,11363,523,"Pack monsters can drop Omens"
41,11364,524,"Pack monsters can drop Omens"
42,11365,525,"Pack monsters can drop Timeless Karui Splinters "
43,11366,526,"Pack monsters can drop Timeless Eternal Empire Splinters "
44,11367,527,"Pack monsters can drop Timeless Maraketh Splinters "
45,11368,528,"Pack monsters can drop Timeless Templar Splinters "
46,11369,529,"Pack monsters can drop Timeless Vaal Splinters "
47,11390,530,"Pack monsters can drop Contracts and Rogue Markers\r\nPack monsters have a chance to leave corpses with a Special Craft"
48,11391,531,"Pack monsters can drop Shaper Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
49,11392,532,"Pack monsters can drop Elder Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
50,11393,536,"Pack monsters can drop Warlord Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
51,11394,534,"Pack monsters can drop Redeemer Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
52,11395,533,"Pack monsters can drop Crusader Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
53,11396,535,"Pack monsters can drop Hunter Influenced items\r\nPack monsters have a chance to leave corpses with a Special Craft"
54,11397,933,"Pack monsters can drop Omens\r\nPack monsters have a chance to leave corpses with a Special Craft"
55,11398,934,"Pack monsters can drop Expedition Artifacts\r\nPack monsters have a chance to leave corpses with a Special Craft"
56,11399,935,"Pack monsters can drop Abyssal Jewels\r\nPack monsters have a chance to leave corpses with a Special Craft"
57,11400,936,"Pack monsters have a chance to leave corpses with a Special Craft"
58,11401,945,"Pack monsters can drop Catalysts"
59,11402,946,"Pack monsters can drop Catalysts"
60,11403,937,"Pack monsters drop Currency Items"
61,11404,938,"Extra Monster drops items with +1 to number of Sockets\r\nExtra Monster drops fully Linked items"
62,11405,939,"Pack is composed of a Rogue Exile"
63,11406,940,"Pack monsters can drop Scarabs"
64,11407,941,"Pack monsters can drop Scarabs"
65,11408,942,"Pack monsters can drop Scarabs"
66,11409,943,"Pack monsters can drop Scarabs"
67,11410,944,"Pack monsters can drop Fractured Items"
68,11411,948,"Pack monsters have a chance to leave corpses with a Special Craft"
69,11412,947,"Pack monsters can drop Breach Splinters\r\nPack monsters have a chance to leave corpses with a Special Craft"
