"rownum","BaseItemTypesKey","Block"
0,5766,24
1,5767,23
2,5768,26
3,5769,25
4,5770,24
5,5771,23
6,5772,25
7,5773,26
8,5774,25
9,5775,24
10,5776,23
11,5777,25
12,5778,26
13,5779,25
14,5780,24
15,5781,23
16,5782,25
17,5783,25
18,5784,27
19,5785,29
20,5786,25
21,5787,26
22,5788,24
23,5789,27
24,5790,26
25,5791,25
26,5792,26
27,5793,24
28,5794,27
29,5795,26
30,5796,25
31,5797,26
32,5798,24
33,5799,27
34,5800,26
35,5801,25
36,5802,24
37,5803,26
38,5804,28
39,5805,22
40,5806,24
41,5807,22
42,5808,24
43,5809,23
44,5810,25
45,5811,24
46,5812,22
47,5813,24
48,5814,23
49,5815,25
50,5816,24
51,5817,22
52,5818,24
53,5819,23
54,5820,25
55,5821,22
56,5822,24
57,5823,26
58,5824,24
59,5825,24
60,5826,27
61,5827,26
62,5828,25
63,5829,24
64,5830,27
65,5831,26
66,5832,25
67,5833,24
68,5834,27
69,5835,26
70,5836,25
71,5837,22
72,5838,24
73,5839,26
74,5840,24
75,5841,22
76,5842,24
77,5843,26
78,5844,24
79,5845,22
80,5846,24
81,5847,26
82,5848,24
83,5849,22
84,5850,24
85,5851,24
86,5852,25
87,5853,26
88,5854,24
89,5855,24
90,5856,25
91,5857,26
92,5858,24
93,5859,24
94,5860,25
95,5861,26
96,5862,24
97,5863,20
