"rownum","BattlePass","RewardTier","i32","i32","bool","Id","RewardedMTX","i32","RewardDescription","string","i32","i32","bool","RewardTitle","rid","bool","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
0,0,0,0,0,"","BattlePassOneArchnemesisWatchersEye",[3802],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
1,0,2,0,17,"","BattlePassOneArchnemesisDyingSun",[3804],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
2,0,4,0,33,"","BattlePassOneArchnemesisAegisAurora",[3801],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
3,0,6,0,50,"","BattlePassOneArchnemesisHandsoftheHighTemplar",[3800],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
4,0,8,0,67,"","BattlePassOneArchnemesisParadoxica",[3803],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
5,0,10,0,84,"","BattlePassOneArchnemesisMjolner",[3799],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
6,0,12,0,100,"","BattlePassOneArchnemesisBottledFaith",[3806],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
7,0,14,0,117,"","BattlePassOneArchnemesisHeadhunter",[3805],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
8,1,0,0,0,"","BattlePassTwoRumisConcoction",[3907],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
9,1,2,0,17,"","BattlePassTwoDeadReckoning",[3903],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
10,1,4,0,33,"","BattlePassTwoHyrrisIre",[3906],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
11,1,6,0,50,"","BattlePassTwoDevouringDiadem",[3904],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
12,1,9,0,67,"","BattlePassTwoVoidBattery",[3908],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
13,1,10,0,84,"","BattlePassTwoAshesoftheStars",[3902],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
14,1,12,0,100,"","BattlePassTwoArakaalisFang",[3901],0,"","",381,405,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
15,1,14,0,115,"","BattlePassTwoMageblood",[3905],0,"","",382,406,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
16,2,0,0,0,"","BattlePassThreeDarknessEnthroned",[3971],0,"","",375,399,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
17,2,2,0,10,"","BattlePassThreeColdIronPoint",[3975],0,"","",376,400,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
18,2,4,0,20,"","BattlePassThreeKaruiTimelessJewel",[3978],0,"","",377,401,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
19,2,6,0,30,"","BattlePassThreeMagnaEclipsis",[3983],0,"","",378,402,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
20,2,8,0,40,"","BattlePassThreeEternalTimelessJewel",[3980],0,"","",379,403,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
21,2,10,0,50,"","BattlePassThreeGravebind",[3982],0,"","",380,404,"","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
