"rownum","UniqueBase","i32"
0,5296,1
1,5297,2
2,5298,3
3,5300,4
4,5301,5
5,5304,6
6,5307,7
7,5310,8
8,5313,9
9,5323,10
10,5325,11
11,5326,12
12,5331,13
13,5334,14
14,5336,15
15,5337,16
16,5340,17
17,5341,18
18,5342,19
19,5343,20
20,5344,21
21,5345,22
22,5353,23
23,5355,24
24,5358,25
25,5360,26
26,5362,27
27,5365,28
28,5371,29
29,5372,30
30,5374,31
31,5375,32
32,5376,33
33,5382,34
34,5384,35
35,5387,36
36,5391,37
37,5399,38
38,5402,39
39,5403,40
40,5404,41
41,5411,42
42,5413,43
43,5415,44
44,5417,45
45,5418,46
46,5424,47
47,5426,48
48,5429,49
49,5430,50
50,5431,51
51,5432,52
52,5433,53
53,5434,54
54,5440,55
55,5442,56
56,5443,57
57,5444,58
58,5450,59
59,5461,60
60,5466,61
61,5468,62
62,5471,63
63,5475,64
64,5478,65
65,5483,66
66,5486,67
67,5494,68
68,5498,69
69,5499,70
70,5501,71
71,5503,72
72,5506,73
73,5509,74
74,5510,75
75,5511,76
76,5512,77
77,5513,78
78,5514,79
79,5515,80
80,5520,81
81,5521,82
82,5522,83
83,5524,84
84,5526,85
85,5527,86
86,5535,87
87,5539,88
88,5540,89
89,5541,90
90,5542,91
91,5543,92
92,5549,93
93,5552,94
94,5554,95
95,5555,96
96,5559,97
97,5560,98
98,5561,99
99,5564,100
100,5565,101
101,5566,102
102,5567,103
103,5568,104
104,5569,105
105,5579,106
106,5580,107
107,5583,108
108,5585,109
109,5587,110
110,5590,111
111,5592,112
112,5594,113
113,5595,114
114,5596,115
115,5597,116
116,5604,117
117,5606,118
118,5607,119
119,5612,120
120,5614,121
121,5618,122
122,5619,123
123,5621,124
124,5622,125
125,5630,126
126,5631,127
127,5632,128
128,5636,129
129,5637,130
130,5640,131
131,5642,132
132,5645,133
133,5646,134
134,5647,135
135,5652,136
136,5768,137
137,5769,138
138,5771,139
139,5779,140
140,5781,141
141,5782,142
142,5787,143
143,5788,144
144,5790,145
145,5794,146
146,5798,147
147,5799,148
148,5808,149
149,5809,150
150,5810,151
151,5813,152
152,5814,153
153,5816,154
154,5819,155
155,5820,156
156,5824,157
157,5826,158
158,5832,159
159,5833,160
160,5836,161
161,5837,162
162,5843,163
163,5844,164
164,5846,165
165,5847,166
166,5848,167
167,5849,168
168,5856,169
169,5857,170
170,5861,171
171,5862,172
