"rownum","rid","i32","f32","[rid]","i32","i32","i32","f32","f32"
0,0,0,12,[5124],30,30,1,0,0
1,1,0,12,[6224],30,30,1,0,0
2,2,0,8,[7976],30,30,1,0,0
3,3,0,8,[8028],30,30,1,0,0
4,4,0,8,[8057],30,30,1,0,0
5,5,0,8,[8005],10,10,1,0,0
6,6,0,8,[8121],30,30,1,0,0
7,7,0,8,[5125],30,30,1,0,0
8,8,0,8,[6226],20,20,1,0,0
9,9,0,8,[8728],30,30,1,0,0
10,10,0,4,"[7976,8005,8028,8057,5125,6226,8728,8121]",30,30,2,0,2
11,11,0,5,[6225],10,50,15,1,5
12,12,0,4,[8384],1,1,1,1.5,3
13,13,0,3,"[4713,4714,4715,4716]",10,40,3,0,0
14,14,0,5,"[8822,8823]",40,40,1,0,0
15,15,0,10,[3014],50,70,1,0,0
16,16,0,12,[8922],10,10,1,0,0
17,17,0,10,[9291],20,20,1,0,0
18,18,0,10,[9965],15,80,2,1,3
