"rownum","BaseItemTypesKey","AOFile","bool"
0,573,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,574,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,575,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,576,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,577,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,578,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,579,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,580,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,581,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,582,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3772,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
