"rownum","HeistAreasKey","Id","ARMFile","HeistJobsKey1","HeistJobsKey2","i32","i32","i32","string","f32","bool","bool"
0,0,0,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/1x1/1x1_end1_01.arm","","",2,1,1,"",1,"",""
1,0,1,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/1x1/1x1_var1_01.arm","","",2,1,1,"",1,"",""
2,0,2,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/1x1/1x1_st1_01.arm","","",2,1,1,"",1,"",""
3,0,3,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/1x1/1x1_st1_02.arm","","",2,1,1,"",1,"",""
4,0,4,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/1x1/1x1_cnr1_01.arm","","",2,1,1,"",1,"",""
5,0,5,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/1x1/1x1_cnr1_02.arm","","",2,1,1,"",1,"",""
6,0,6,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/1x1/1x1_tri1_01.arm","","",2,1,1,"",1,"",""
7,0,7,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/2x2/2x2_var1.arm","","",2,2,2,"",2,"",""
8,0,8,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/2x2/2x2_var2.arm","","",2,2,2,"",2,"",""
9,0,9,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/2x2/2x2_var3.arm","","",2,2,2,"",2,"",""
10,0,10,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/2x2/2x2_var4.arm","","",2,2,2,"",2,"",""
11,0,11,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/2x2/2x2_var5.arm","","",2,2,2,"",2,"",""
12,0,12,"Metadata/Terrain/Leagues/Heist/ControlBlocks/Rooms/Entrances/Entrance1.arm","","",0,2,2,"",2,"",""
