"rownum","Type","Items"
0,0,"[9944,9946,9945,9947]"
1,1,"[9914,9915,9916,9917,9918,9919]"
2,2,"[9924,9925,9928,9927,9926]"
3,3,"[9933,9934,9935]"
4,4,"[9971,9973,9972]"
5,5,"[9978,9979,9980,9981]"
6,6,"[9986,9987,9988,9989,9990]"
7,7,"[9995,9996,9998,9997]"
8,8,"[10012,10013,10014,10015,10016]"
9,9,"[9964,9965,9966]"
10,10,"[10075,10076,10077,10078,10079]"
11,11,"[10029,10030,10031,10032,10033]"
12,12,"[9956,9957,9959,9958]"
13,14,"[10034,10035,10036]"
14,15,"[10080,10081,10082,10083,10084,10085,10086,10087,10088,10089,10090]"
15,16,"[10070,10071,10072,10073,10074]"
16,23,"[10060,10061,10062,10064,10063]"
17,17,"[10046,10047,10048]"
18,18,"[10049,10051,10050]"
19,19,"[10043,10044,10042,10045]"
20,20,"[10056,10057,10059,10058]"
21,13,"[10065,10066,10067,10068,10069]"
22,21,"[10037,10038,10040,10039,10041]"
23,24,"[10003,10004,10005,10007,10006]"
24,22,"[10052,10053,10054,10055]"
25,25,"[10091,10092,10093,10094,10095,10096,10097]"
