"rownum","rid","rid","[i32]","string","bool","[rid]"
0,0,0,[5928],"","",[]
1,1,0,[5929],"","",[]
2,2,0,[5927],"","",[]
3,7,0,[5954],"","",[]
4,3,0,[5930],"","",[]
5,8,0,[5931],"","",[]
6,9,0,[5932],"","",[]
7,10,0,[5951],"","",[]
8,12,0,[5950],"","",[]
9,13,0,[5952],"","",[]
10,14,0,[5933],"","",[]
11,15,0,[5934],"","",[]
12,16,0,[5935],"","",[]
13,17,0,[5936],"","",[]
14,18,0,[5937],"","",[]
15,19,0,[5938],"","",[]
16,20,0,[5939],"","",[]
17,21,0,[5940],"","",[]
18,22,0,[5941],"","",[]
19,23,0,[5942],"","",[]
20,24,0,[5943],"","",[]
21,25,0,[5944],"","",[]
22,26,0,[5945],"","",[]
23,27,0,[5946],"","",[]
24,28,0,[5947],"","",[]
25,29,0,[5948],"","",[]
26,30,0,[5949],"","",[]
27,31,0,[5953],"","",[]
28,7,1,[7011],"","",[]
29,23,1,[7017],"","",[]
30,1,1,[7018],"","",[]
31,28,1,[7019],"","",[]
32,3,1,[7020],"","",[]
33,31,1,[7021],"","",[]
34,2,1,[7022],"","",[]
35,0,1,[7023],"","",[]
36,9,1,[7024],"","",[]
37,7,2,[11728],"","",[]
38,28,2,[11737],"","",[]
39,31,2,[11741],"","",[]
40,0,2,[11744],"","",[]
41,1,2,[11736],"","",[]
42,3,2,[11738],"","",[]
43,2,2,[11742],"","",[]
44,9,2,[11740],"","",[]
45,7,3,[12601],"","",[]
46,1,3,[12607],"","",[]
47,28,3,[12608],"","",[]
48,3,3,[12609],"","",[]
49,31,3,[12611],"","",[]
50,2,3,[12612],"","",[]
51,0,3,[12613],"","",[]
52,9,3,[12610],"","",[]
53,7,4,[13142],"","",[]
54,0,4,[13154],"","",[]
55,1,4,[13148],"","",[]
56,3,4,[13150],"","",[]
57,2,4,[13153],"","",[]
58,10,4,[13151],"","",[]
59,28,4,[13149],"","",[]
60,31,4,[13152],"","",[]
61,7,5,[13848],"","",[]
62,1,5,[13851],"","",[]
63,3,5,[13853],"","",[]
64,8,5,[13854],"","",[]
65,9,5,[13859],"","",[]
66,31,5,[13855],"","",[]
67,27,5,[13852],"","",[]
68,2,5,[13857],"","",[]
69,0,5,[13858],"","",[]
70,32,5,[13856],"","",[]
71,33,5,[13856],"","",[]
