"rownum","Id","StatsKey","FormatText","i32"
0,"Mana",11706,"{0} Mana",1
1,"Life",13963,"{0} Life",1
2,"ES",14811,"{0} Energy Shield",1
3,"Rage",14000,"{0} Rage",1
4,"ManaPercent",13962,"{0}% Mana",1
5,"LifePercent",13964,"{0}% Life",1
6,"UnreservedManaPercent",14231,"[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14652,"{0} Mana per second",60
8,"LifePerMinute",14653,"{0} Life per second",60
9,"ManaPercentPerMinute",14656,"{0}% Mana per second",60
10,"LifePercentPerMinute",14657,"{0}% Life per second",60
11,"ESPerMinute",14724,"{0) Energy Shield per second",60
12,"ESPercentPerMinute",14725,"{0}% Energy Shield per second",60
