"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool","bool","rid","i32","f32","f32","f32","bool","rid","string"
0,0,119,20,458,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
1,1,129,20,517,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
2,2,130,20,522,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",""
3,3,138,20,558,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
4,4,145,20,581,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
5,5,129,20,517,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
6,6,185,20,779,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
7,7,218,20,1023,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
8,8,286,20,1244,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
9,9,305,20,1376,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
10,10,311,31,1401,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
11,11,131,31,522,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
12,12,345,20,1534,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
13,13,352,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
14,14,353,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
15,15,371,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
16,16,371,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
17,17,375,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
18,18,387,24,1731,0,"","","",1,0,15,0,"",4,"","","",0,1,1,1,1,"",""
19,19,395,31,1739,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
20,20,372,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
21,21,373,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
22,22,397,20,1758,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
23,23,404,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
24,24,404,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
25,25,410,20,1804,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
26,26,411,20,1805,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
27,27,401,20,1782,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
28,28,376,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
29,29,398,20,1758,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
30,30,430,31,1879,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
31,31,432,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
