"rownum","rid","i32","i32","rid","bool","i32","i32","rid","rid","i32","i32"
0,2,0,1017370378,13268,1,7,3,"","",500,1500
1,3,0,1050253722,13307,1,7,3,"","",500,1500
2,6,0,1045220557,13317,1,7,3,"","",500,1500
3,4,0,1056964608,13284,1,7,3,"","",500,1500
4,5,0,1028443341,13293,1,7,3,"","",500,1500
5,1,0,1017370378,13247,1,7,3,"","",500,1500
6,7,0,1028443341,13337,1,7,3,"","",500,1500
7,8,0,1045220557,13325,1,7,3,"","",500,1500
8,9,0,1045220557,13335,1,7,3,"","",500,1500
9,2,0,1017370378,13373,1,7,3,"","",500,1500
10,3,0,1050253722,13412,1,7,3,"","",500,1500
11,6,0,1045220557,13422,1,7,3,"","",500,1500
12,4,0,1056964608,13389,1,7,3,"","",500,1500
13,5,0,1028443341,13398,1,7,3,"","",500,1500
14,1,0,1017370378,13345,1,7,3,"","",500,1500
15,7,0,1028443341,13449,1,7,3,"","",500,1500
16,8,0,1045220557,13430,1,7,3,"","",500,1500
17,9,0,1045220557,13440,1,7,3,"","",500,1500
18,2,0,1017370378,13480,1,7,3,"","",500,1500
19,3,0,1050253722,13517,1,7,3,"","",500,1500
20,6,0,1045220557,13526,1,7,3,"","",500,1500
21,4,0,1056964608,13496,1,7,3,"","",500,1500
22,5,0,1028443341,13505,1,7,3,"","",500,1500
23,1,0,1017370378,13458,1,7,3,"","",500,1500
24,7,0,1028443341,13546,1,7,3,"","",500,1500
25,8,0,1045220557,13534,1,7,3,"","",500,1500
26,9,0,1045220557,13543,1,7,3,"","",500,1500
27,2,0,1017370378,13575,1,7,3,"","",500,1500
28,3,0,1050253722,13614,1,7,3,"","",500,1500
29,6,0,1045220557,13623,1,7,3,"","",500,1500
30,4,0,1056964608,13591,1,7,3,"","",500,1500
31,5,0,1028443341,13601,1,7,3,"","",500,1500
32,1,0,1017370378,13554,1,7,3,"","",500,1500
33,7,0,1028443341,13643,1,7,3,"","",500,1500
34,8,0,1045220557,13631,1,7,3,"","",500,1500
35,9,0,1045220557,13640,1,7,3,"","",500,1500
36,11,0,1065353216,"","",5,3,"","",0,0
37,12,0,1065353216,"","",2,3,"","",0,0
38,13,0,1065353216,"","",2,3,"","",0,0
39,14,0,1065353216,"","",2,3,"","",0,0
40,15,0,1065353216,"","",7,3,"","",0,0
41,17,0,1065353216,"","",7,3,"","",0,0
42,16,0,1065353216,"","",7,3,"","",0,0
