"rownum","i32","i32"
0,1,0
1,2,3
2,3,6
3,4,9
4,5,12
5,6,15
6,7,18
7,8,21
8,9,24
9,10,27
10,11,30
11,12,33
12,13,36
13,14,39
14,15,42
15,16,45
16,17,48
17,18,51
18,19,54
19,20,57
20,21,62
21,22,67
22,23,72
23,24,77
24,25,82
25,26,87
26,27,92
27,28,97
28,29,102
29,30,107
30,31,112
31,32,117
32,33,122
33,34,127
34,35,132
35,36,137
36,37,142
37,38,147
38,39,152
39,40,157
40,41,163
41,42,169
42,43,175
43,44,181
44,45,187
45,46,193
46,47,199
47,48,205
48,49,211
49,50,217
50,51,223
51,52,229
52,53,235
53,54,241
54,55,247
55,56,253
56,57,259
57,58,265
58,59,271
59,60,277
60,61,283
61,62,289
62,63,295
63,64,301
64,65,307
65,66,313
66,67,319
67,68,325
68,69,331
69,70,337
70,71,343
71,72,349
72,73,355
73,74,361
74,75,367
75,76,373
76,77,379
77,78,385
78,79,391
79,80,397
80,81,403
81,82,409
82,83,415
83,84,421
84,85,421
85,86,421
86,87,421
87,88,421
88,89,421
89,90,421
90,91,421
91,92,421
92,93,421
93,94,421
94,95,421
95,96,421
96,97,421
97,98,421
98,99,421
99,100,421
