"rownum","InfluenceMod","UpgradedMod","bool"
0,14712,24603,1
1,14713,24604,1
2,14714,14715,""
3,14715,24605,1
4,14716,14717,""
5,14717,24606,1
6,14718,14719,""
7,14719,24607,1
8,14720,24608,1
9,14722,24609,1
10,14724,14725,""
11,14725,24610,1
12,14726,14727,""
13,14727,24611,1
14,14728,24612,1
15,14729,14730,""
16,14730,24613,1
17,14731,14732,""
18,14732,24614,1
19,14733,14734,""
20,14734,24615,1
21,14735,14736,""
22,14736,24616,1
23,14737,14738,""
24,14738,24617,1
25,14739,14740,""
26,14740,24618,1
27,14741,14742,""
28,14742,24619,1
29,14743,14744,""
30,14744,24620,1
31,14745,14746,""
32,14746,24621,1
33,14747,14748,""
34,14748,24622,1
35,20733,20734,""
36,20734,24623,1
37,20809,20810,""
38,20810,24624,1
39,20811,24625,1
40,20815,20816,""
41,20816,24628,1
42,20817,24629,1
43,20818,20819,""
44,20819,24630,1
45,20820,20821,""
46,20821,24631,1
47,20822,20823,""
48,20823,24632,1
49,20824,24633,1
50,20825,24634,1
51,20826,20827,""
52,20827,20828,""
53,20828,24635,1
54,20829,20830,""
55,20830,24636,1
56,20831,24637,1
57,20832,20833,""
58,20833,24638,1
59,20834,20835,""
60,20835,24639,1
61,20836,24640,1
62,20837,20838,""
63,20838,24641,1
64,20839,24642,1
65,20840,24643,1
66,20841,24644,1
67,20842,20843,""
68,20843,24645,1
69,20844,24646,1
70,20845,20846,""
71,20846,24647,1
72,20847,20848,""
73,20848,24648,1
74,20849,20850,""
75,20850,24649,1
76,20851,20852,""
77,20852,24650,1
78,20853,20854,""
79,20854,24651,1
80,20855,24653,1
81,20856,24654,1
82,20857,20858,""
83,20858,24655,1
84,20859,20860,""
85,20860,24656,1
86,20861,20862,""
87,20862,24657,1
88,20863,20864,""
89,20864,24658,1
90,14645,14646,""
91,14646,14647,""
92,14647,24659,1
93,14648,14649,""
94,14649,14650,""
95,14650,24660,1
96,14651,14652,""
97,14652,24661,1
98,14653,14654,""
99,14654,14655,""
100,14655,24662,1
101,14656,14657,""
102,14657,14658,""
103,14658,24663,1
104,14662,14663,""
105,14663,14664,""
106,14664,24665,1
107,14665,14666,""
108,14666,14667,""
109,14667,24666,1
110,14668,14669,""
111,14669,14670,""
112,14670,24667,1
113,14671,14672,""
114,14672,14673,""
115,14673,24668,1
116,14674,14675,""
117,14675,14676,""
118,14676,24669,1
119,14677,14678,""
120,14678,14679,""
121,14679,24670,1
122,14680,14681,""
123,14681,24671,1
124,14682,24672,1
125,14683,14684,""
126,14684,14685,""
127,14685,24673,1
128,14686,14687,""
129,14687,14688,""
130,14688,24674,1
131,14689,14690,""
132,14690,14691,""
133,14691,24675,1
134,14692,14693,""
135,14693,14694,""
136,14694,24676,1
137,14695,14696,""
138,14696,14697,""
139,14697,24677,1
140,14698,14699,""
141,14699,24678,1
142,14700,14701,""
143,14701,24679,1
144,14702,14703,""
145,14703,24680,1
146,14704,14705,""
147,14705,14706,""
148,14706,24681,1
149,14707,14708,""
150,14708,14709,""
151,14709,24682,1
152,14710,24683,1
153,14711,24684,1
154,20622,20623,""
155,20623,24685,1
156,20729,20730,""
157,20730,24686,1
158,20735,20736,""
159,20736,24688,1
160,20737,24689,1
161,20738,20739,""
162,20739,24690,1
163,20740,20741,""
164,20741,24691,1
165,20742,24692,1
166,20743,20744,""
167,20744,20745,""
168,20745,24693,1
169,20746,20747,""
170,20747,20748,""
171,20748,24694,1
172,20749,20750,""
173,20750,20751,""
174,20751,24695,1
175,20752,24696,1
176,20753,20754,""
177,20754,24697,1
178,20755,20756,""
179,20756,20757,""
180,20757,24698,1
181,20758,20759,""
182,20759,24699,1
183,20760,24700,1
184,20761,20762,""
185,20762,20763,""
186,20763,24701,1
187,20764,20765,""
188,20765,24702,1
189,20766,24703,1
190,20767,20768,""
191,20768,20769,""
192,20769,24704,1
193,20770,20771,""
194,20771,24705,1
195,20772,20773,""
196,20773,24706,1
197,20774,24707,1
198,20775,24708,1
