"rownum","Id","MonsterVarietiesKey","i32","rid","bool","bool","i32","i32","bool","rid","rid","i32","bool","i32","string","bool","bool","i32"
0,0,3610,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
1,1,424,140,337,1,1,0,0,"","","",0,"",0,"","",1,0
2,2,3568,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
3,3,1909,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
4,4,1910,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
5,5,282,140,337,1,1,0,0,"","","",0,"",0,"","",1,0
6,6,45,140,337,1,1,0,0,"","","",0,"",0,"","",1,0
7,7,"",11,416,1,1,0,0,"","","",0,"",0,"","",1,0
8,8,"",10,416,1,1,0,0,"","","",0,"",0,"","",1,0
9,9,"",9,337,1,1,0,0,"","","",0,"",0,"","",1,0
10,10,978,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
11,11,"",12,"",1,1,0,0,"","","",0,"",0,"","",1,0
12,12,"",13,"",1,1,0,0,"","","",0,"",0,"","",1,0
13,13,985,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
14,14,4454,140,252,1,1,0,0,"","","",0,"",0,"","",1,0
15,15,4514,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
16,16,4515,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
17,17,4516,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
18,18,1194,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
19,19,4249,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
20,20,3566,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
21,21,3854,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
22,22,1911,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
23,23,130,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
24,24,446,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
25,25,4281,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
26,26,4445,140,337,1,1,0,0,"","","",0,"",0,"","",1,0
27,27,4446,140,337,1,1,0,0,"","","",0,"",0,"","",1,0
28,28,"",15,337,1,1,0,0,"","","",0,"",0,"","",1,0
29,29,"",16,337,1,1,0,0,"","","",0,"",0,"","",1,0
30,30,4000,140,533,1,1,0,0,"","","",0,"",0,"","",1,0
31,31,"",14,413,1,1,0,0,"","","",0,"",0,"","",1,0
32,32,4250,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
33,33,4084,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
34,34,4252,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
35,35,4085,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
36,36,4086,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
37,37,4087,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
38,38,3065,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
39,39,3066,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
40,40,3067,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
41,41,1901,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
42,42,935,140,20,1,1,0,0,"","","",0,"",0,"","",1,0
43,43,119,140,20,1,1,0,0,"","","",0,"",0,"","",1,0
44,44,310,140,20,1,1,0,0,"","","",0,"",0,"","",1,0
45,45,438,140,20,1,1,0,0,"","","",0,"",0,"","",1,0
46,46,129,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
47,47,445,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
48,48,4081,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
49,49,4310,140,482,1,1,0,0,"","","",0,"",0,"","",1,0
50,50,3925,140,20,1,1,0,0,"","","",0,"",0,"","",1,0
51,51,3926,140,20,1,1,0,0,"","","",0,"",0,"","",1,0
52,52,3927,140,20,1,1,0,0,"","","",0,"",0,"","",1,0
53,53,4631,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
54,54,3570,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
55,55,4739,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
56,56,4283,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
57,57,2707,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
58,58,2708,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
59,59,1585,140,773,1,1,0,0,"","","",0,"",0,"","",1,0
60,60,4856,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
61,61,4858,140,457,1,1,0,0,"","","",0,"",0,"","",1,0
62,62,3112,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
63,63,4740,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
64,64,4741,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
65,65,4742,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
66,66,4884,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
67,67,1563,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
68,68,1563,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
69,69,1563,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
70,70,1563,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
71,71,3371,140,289,1,1,0,0,"","","",0,"",0,"","",1,0
72,72,3372,140,289,1,1,0,0,"","","",0,"",0,"","",1,0
73,73,4746,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
74,74,4794,140,775,1,1,0,0,"","","",0,"",0,"","",1,0
75,75,298,140,808,1,1,0,0,"","","",0,"",0,"","",1,0
76,76,4743,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
77,77,4623,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
78,78,4650,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
79,79,4179,140,781,1,1,0,0,"","","",0,"",0,"","",1,0
80,80,4795,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
81,81,4710,140,120,1,1,0,0,"","","",0,"",0,"","",1,0
82,82,2881,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
83,84,4712,140,252,1,1,0,0,"","","",0,"",0,"","",1,0
84,85,4713,140,252,1,1,0,0,"","","",0,"",0,"","",1,0
85,86,4796,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
86,87,4573,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
87,88,4052,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
88,89,1577,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
89,90,1578,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
90,91,1579,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
91,92,1574,140,252,1,1,0,0,"","","",0,"",0,"","",1,0
92,93,1575,140,252,1,1,0,0,"","","",0,"",0,"","",1,0
93,94,1576,140,252,1,1,0,0,"","","",0,"",0,"","",1,0
94,95,2884,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
95,96,4693,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
96,97,4653,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
97,98,4668,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
98,99,4629,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
99,100,4669,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
100,101,4671,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
101,102,4672,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
102,103,4656,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
103,104,2885,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
104,105,2888,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
105,106,"",17,337,1,1,0,0,"","","",0,"",0,"","",1,0
106,107,"",18,337,1,1,0,0,"","","",0,"",0,"","",1,0
107,108,"",19,337,1,1,0,0,"","","",0,"",0,"","",1,0
108,109,"",20,337,1,1,0,0,"","","",0,"",0,"","",1,0
109,110,"",21,337,1,1,0,0,"","","",0,"",0,"","",1,0
110,123,4881,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
111,124,4632,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
112,125,4955,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
113,126,3185,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
114,127,1190,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
115,128,4540,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
116,129,3094,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
117,130,627,140,482,1,1,0,0,"","","",0,"",0,"","",1,0
118,131,4909,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
119,132,2924,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
120,133,"",32,337,1,1,0,0,"","","",0,"",0,"","",1,0
121,134,2927,140,935,1,1,0,0,"","","",0,"",0,"","",1,0
122,135,4926,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
123,136,4625,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
124,137,"",34,337,1,1,0,0,"","","",0,"",0,"","",1,0
125,138,"",34,337,1,1,0,0,"","","",0,"",0,"","",1,0
126,139,"",34,337,1,1,0,0,"","","",0,"",0,"","",1,0
127,140,"",33,607,1,1,0,0,"","","",0,"",0,"","",1,0
128,141,4948,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
129,142,3842,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
130,143,4851,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
131,144,1127,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
132,145,4944,140,998,1,1,0,0,"","","",0,"",0,"","",1,0
133,146,1973,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
134,147,1975,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
135,148,1977,140,607,1,1,0,0,"","","",0,"",0,"","",1,0
136,149,2932,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
137,150,188,140,1045,1,1,0,0,"","","",0,"",0,"","",1,0
138,151,4627,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
139,152,4001,140,533,1,1,0,0,"","","",0,"",0,"","",1,0
140,153,4670,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
141,154,3714,140,337,1,1,0,0,"","","",0,"",0,"","",1,0
142,155,3715,140,337,1,1,0,0,"","","",0,"",0,"","",1,0
143,156,791,140,337,1,1,0,0,"","","",0,"",0,"","",1,0
144,157,4666,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
145,158,1475,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
146,159,3095,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
147,160,2302,140,1045,1,1,0,0,"","","",0,"",0,"","",1,0
148,161,2303,140,1045,1,1,0,0,"","","",0,"",0,"","",1,0
149,162,4816,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
150,163,992,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
151,164,397,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
152,165,4055,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
153,166,4633,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
154,167,4852,140,1046,1,1,0,0,"","","",0,"",0,"","",1,0
155,168,5063,140,1045,1,1,0,0,"","","",0,"",0,"","",1,0
156,169,2925,140,935,1,1,0,0,"","","",0,"",0,"","",1,0
157,170,4284,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
158,171,4854,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
159,172,3928,140,1045,1,1,0,0,"","","",0,"",0,"","",1,0
160,173,4258,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
161,174,1559,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
162,175,2983,140,875,1,1,0,0,"","","",0,"",0,"","",1,0
163,176,3005,140,416,1,1,0,0,"","","",0,"",0,"","",1,0
164,177,4850,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
165,178,164,140,252,1,1,0,0,"","","",0,"",0,"","",1,0
166,179,4651,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
167,180,4654,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
168,181,4657,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
169,182,4634,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
170,183,4817,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
171,184,993,140,"",1,1,0,0,"","","",0,"",0,"","",1,0
