"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]","i32","i32","i32"
0,74,"","","","","","","","","","","","",1892,3175,"","",3175,"","","","","",-1010710615,1,47,"[12591,12607]",0,1,700,1880,"","","",1892,3175,"",3175,3175,3175,3175,1892,1880,1892,1892,1892,1892,1880,1880,1880,1880,1880,1880,1880,12444,35,3175,3691,3691,3691,3175,"","","[12599,12607]",1905,1,100
1,75,"","","","","","","","","","","","",1893,3176,"","",3176,"","","","","",1794042691,12,67,"[12592,12607]",0,2,770,1881,"","","",1893,3176,"",3176,3176,3176,3176,1893,1881,1893,1893,1893,1893,1881,1881,1881,1881,1881,1881,1881,12445,45,3176,3692,3692,3692,3176,"","","[12600,12607]",1905,12,100
2,76,"","","","","","","","","","","","",1895,3177,"","",3177,"","","","","",-1926556014,30,100,"[12593,12607]",0,3,847,1883,"","","",1895,3177,"",3177,3177,3177,3177,1895,1883,1895,1895,1895,1895,1883,1883,1883,1883,1883,1883,1883,12446,60,3177,3693,3693,3693,3177,"","","[12601,12607]",1905,30,100
3,77,"","","","","","","","","","","","",1897,3178,"","",3178,"","","","","",1130285480,48,100,"[12594,12607]",0,4,931,1885,"","","",1897,3178,"",3178,3178,3178,3178,1897,1885,1897,1897,1897,1897,1885,1885,1885,1885,1885,1885,1885,12447,75,3178,3694,3694,3694,3178,"","","[12602,12607]",841,48,100
4,78,"","","","","","","","","","","","",1899,3180,"","",3180,"","","","","",2062300730,68,100,"[12595,12607]",0,5,1024,1887,"","","",1899,3180,"",3180,3180,3180,3180,1899,1887,1899,1899,1899,1899,1887,1887,1887,1887,1887,1887,1887,12448,0,3180,3695,3695,3695,3180,"",1,"[12603,12607]",56,68,100
5,79,"","","","","","","","","","","","",1900,3181,"","",3181,"","","","","",-2071586625,0,0,"[12596,12607]",0,6,0,1888,"","","",1900,3181,"",3181,3181,3181,3181,1900,1888,1900,1900,1900,1900,1888,1888,1888,1888,1888,1888,1888,12449,0,3181,3696,3696,3696,3181,"","","[12604,12607]",0,0,0
6,80,"","","","","","","","","","","","",1912,3182,"","",3182,"","","","","",1769493148,0,0,"[12597,12607]",0,7,0,1890,"","","",1912,3182,"",3182,3182,3182,3182,1912,1890,1912,1912,1912,1912,1890,1890,1890,1890,1890,1890,1890,12450,0,3182,3697,3697,3697,3182,"","","[12605,12607]",0,0,0
7,81,"","","","","","","","","","","","","",13603,2001,648,648,"","","","","",-777397213,1,47,[12591],1,1,700,"","",2346,2358,"",732,"",732,732,732,732,2358,2346,2358,2358,2358,2358,2346,2346,2346,2346,2346,2346,2346,12536,35,648,2001,648,"",732,"","",[12599],1905,1,100
8,82,"","","","","","","","","","","","","",13604,2002,649,649,"","","","","",1672586153,12,67,[12592],1,2,770,"","",2347,2359,"",733,"",733,733,733,733,2359,2347,2359,2359,2359,2359,2347,2347,2347,2347,2347,2347,2347,12537,45,649,2002,649,"",733,"","",[12600],1905,12,100
9,83,"","","","","","","","","","","","","",13609,2003,652,652,"","","","","",1828846209,30,100,[12593],1,3,847,"","",2348,2360,"",735,"",735,735,735,735,2360,2348,2360,2360,2360,2360,2348,2348,2348,2348,2348,2348,2348,12538,60,652,2003,652,"",735,"","",[12601],1905,30,100
10,84,"","","","","","","","","","","","","",13610,2004,654,654,749,749,"","",738,-1245983058,48,100,[12594],1,4,931,"","",2349,2361,"",737,"",737,737,749,749,2361,2349,2361,2361,2361,2361,2349,2349,2349,2349,2349,2349,2349,12539,75,654,2004,654,"",738,"","",[12602],841,48,100
11,85,"","","","","","","","","","","","","",13606,2005,655,655,"","",739,753,746,-182539987,68,100,[12595],1,5,1024,"","",2354,2366,"",750,"",753,739,750,750,2366,2354,2366,2366,2366,2366,2354,2354,2354,2354,2354,2354,2354,12540,0,655,2005,655,"",746,"",1,[12603],56,68,100
12,86,"","","","","","","","","","","","","",13607,2011,657,656,"","",741,754,747,910335598,0,0,[12596],1,6,0,"","",2355,2367,"",751,"",754,741,751,751,2367,2355,2367,2367,2367,2367,2355,2355,2355,2355,2355,2355,2355,12541,0,656,2011,657,"",747,"","",[12604],0,0,0
13,87,"","","","","","","","","","","","","",13608,2012,658,657,"","",745,755,748,1591416724,0,0,[12597],1,7,0,"","",2356,2368,"",752,"",755,745,752,752,2368,2356,2368,2368,2368,2368,2356,2356,2356,2356,2356,2356,2356,12542,0,657,2012,658,"",748,"","",[12605],0,0,0
14,88,"","","","","","","","","","","","","",1044,"","",4704,"","","","","",1724552963,1,47,[12591],2,1,700,9508,"","","","",317,"",317,317,317,317,9508,9508,9508,9508,9508,9508,9508,9508,9508,9508,9508,9508,9508,12529,35,4704,2907,2907,2907,317,"","",[12599],1905,1,100
15,89,"","","","","","","","","","","","","",1045,"","",4705,"","","","","",-1337235593,12,67,[12592],2,2,770,9509,"","","","",318,"",318,318,318,318,9509,9509,9509,9509,9509,9509,9509,9509,9509,9509,9509,9509,9509,12530,45,4705,2908,2908,2908,318,"","",[12600],1905,12,100
16,90,"","","","","","","","","","","","","",1046,"","",4706,"","","","","",1334812465,30,100,[12593],2,3,847,9510,"","","","",319,"",319,319,319,319,9510,9510,9510,9510,9510,9510,9510,9510,9510,9510,9510,9510,9510,12531,60,4706,2909,2909,2909,319,"","",[12601],1905,30,100
17,91,"","","","","","","","","","","","","",1047,"","",4707,310,310,"","","",-669856137,48,100,[12594],2,4,931,9511,"","","","",311,"",311,311,310,310,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,9511,12532,75,4707,2910,2910,2910,311,"","",[12602],841,48,100
18,92,"","","","","","","","","","","","","",1048,"","",4708,"","",313,312,313,181619222,68,100,[12595],2,5,1024,9512,"","","","",311,"",312,313,311,311,9512,9512,9512,9512,9512,9512,9512,9512,9512,9512,9512,9512,9512,12533,0,4708,2911,2911,2911,313,"",1,[12603],56,68,100
19,93,"","","","","","","","","","","","","",1049,"","",4709,"","",315,313,314,2059925248,0,0,[12596],2,6,0,9513,"","","","",312,"",313,315,312,312,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,9513,12534,0,4709,2912,2912,2912,314,"","",[12604],0,0,0
20,94,"","","","","","","","","","","","","",1050,"","",4710,"","",320,322,321,-1356244188,0,0,[12597],2,7,0,9514,"","","","",323,"",322,320,323,323,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,12535,0,4710,2913,2913,2913,321,"","",[12605],0,0,0
21,95,"","","","","","","","","","","","","",756,"","",4785,756,4785,4785,4785,4785,1018082169,1,47,[12591],3,1,700,"","",1346,1357,"",4785,"",4785,4785,4785,756,1357,1346,1357,1357,1357,1357,1346,1346,1346,1346,1346,1346,1346,12504,35,4785,756,756,756,4785,"","",[12599],1905,1,100
22,96,"","","","","","","","","","","","","",757,"","",4786,757,4786,4786,4786,4786,829889309,12,67,[12592],3,2,770,"","",1347,1358,"",4786,"",4786,4786,4786,757,1358,1347,1358,1358,1358,1358,1347,1347,1347,1347,1347,1347,1347,12505,45,4786,757,757,757,4786,"","",[12600],1905,12,100
23,97,"","","","","","","","","","","","","",759,"","",4787,758,4787,4787,4787,4787,2051179612,30,100,[12593],3,3,847,"","",1348,1359,"",4787,"",4787,4787,4787,758,1359,1348,1359,1359,1359,1359,1348,1348,1348,1348,1348,1348,1348,12506,60,4787,759,759,759,4787,"","",[12601],1905,30,100
24,98,"","","","","","","","","","","","","",761,761,760,4788,778,4788,4788,4788,4788,-743698363,48,100,[12594],3,4,931,"","",1349,1360,"",4788,"",4788,4788,4788,778,1360,1349,1360,1360,1360,1360,1349,1349,1349,1349,1349,1349,1349,12507,75,4788,761,760,"",4788,"","",[12602],841,48,100
25,99,"","","","","","","","","","","","","",763,763,775,4789,779,4789,4789,4789,4789,-205989316,68,100,"[12595,12511]",3,5,1024,"","",1351,1362,"",4789,"",4789,4789,4789,779,1362,1351,1362,1362,1362,1362,1351,1351,1351,1351,1351,1351,1351,12508,0,4789,763,775,"",4789,"",1,"[12603,12511]",56,68,100
26,100,"","","","","","","","","","","","","",764,764,776,4790,780,4790,4790,4790,4790,-1738015661,0,0,"[12596,12511]",3,6,0,"","",1352,1363,"",4790,"",4790,4790,4790,780,1363,1352,1363,1363,1363,1363,1352,1352,1352,1352,1352,1352,1352,12509,0,4790,764,776,"",4790,"","","[12604,12511]",0,0,0
27,101,"","","","","","","","","","","","","",774,774,777,4791,781,4791,4791,4791,4791,1330507188,0,0,"[12597,12511]",3,7,0,"","",1356,1367,"",4791,"",4791,4791,4791,781,1367,1356,1367,1367,1367,1367,1356,1356,1356,1356,1356,1356,1356,12510,0,4791,774,777,"",4791,"","","[12605,12511]",0,0,0
28,102,"","","","","","","","","","","","","",83,"","","","","","","","",535092733,12,67,"[12592,12607]",4,2,669,"","",8810,8816,"",83,"",83,83,83,83,8816,8810,8816,8816,8816,8816,8810,8810,8810,8810,8810,8810,8810,12498,45,83,83,83,83,83,83,"","[12600,12607]",1657,12,100
29,103,"","","","","","","","","","","","","",84,"","","","","","","","",-267836319,30,100,"[12593,12607]",4,3,736,"","",8811,8817,"",84,"",84,84,84,84,8817,8811,8817,8817,8817,8817,8811,8811,8811,8811,8811,8811,8811,12499,60,84,84,84,84,84,84,"","[12601,12607]",1657,30,100
30,104,"","","","","","","","","","","","","",86,"","","","","","","","",-880120152,48,100,"[12594,12607]",4,4,810,"","",8812,8818,"",86,"",86,86,86,86,8818,8812,8818,8818,8818,8818,8812,8812,8812,8812,8812,8812,8812,12500,75,86,86,86,86,86,86,"","[12602,12607]",731,48,100
31,105,"","","","","","","","","","","","","",87,"","","","","","","","",1066624914,68,100,"[12595,12607]",4,5,891,"","",8813,8819,"",87,"",87,87,87,87,8819,8813,8819,8819,8819,8819,8813,8813,8813,8813,8813,8813,8813,12501,0,87,87,87,87,87,87,1,"[12603,12607]",49,68,100
32,106,"","","","","","","","","","","","","",89,"","","","","","","","",993214565,0,0,"[12596,12607]",4,6,0,"","",8814,8820,"",89,"",89,89,89,89,8820,8814,8820,8820,8820,8820,8814,8814,8814,8814,8814,8814,8814,12502,0,89,89,89,89,89,89,"","[12604,12607]",0,0,0
33,107,"","","","","","","","","","","","","",92,"","","","","","","","",-558420537,0,0,"[12597,12607]",4,7,0,"","",8815,8821,"",92,"",92,92,92,92,8821,8815,8821,8821,8821,8821,8815,8815,8815,8815,8815,8815,8815,12503,0,92,92,92,92,92,92,"","[12605,12607]",0,0,0
34,108,"","","","","","","","","","","","",1839,3104,"","",3104,"","","","","",-36091224,12,67,"[12592,12609]",5,2,669,1827,"","","",1839,3104,"",3104,3104,3104,3104,1839,1827,1839,1839,1839,1839,1827,1827,1827,1827,1827,1827,1827,12438,45,3104,3654,3654,3654,3104,"","","[12600,12609]",1657,12,100
35,109,"","","","","","","","","","","","",1841,3105,"","",3105,"","","","","",-1327428615,30,100,"[12593,12609]",5,3,736,1829,"","","",1841,3105,"",3105,3105,3105,3105,1841,1829,1841,1841,1841,1841,1829,1829,1829,1829,1829,1829,1829,12439,60,3105,3655,3655,3655,3105,"","","[12601,12609]",1657,30,100
36,110,"","","","","","","","","","","","",1843,3106,"","",3106,"","","","","",891153638,48,100,"[12594,12609]",5,4,810,1831,"","","",1843,3106,"",3106,3106,3106,3106,1843,1831,1843,1843,1843,1843,1831,1831,1831,1831,1831,1831,1831,12440,75,3106,3656,3656,3656,3106,"","","[12602,12609]",731,48,100
37,111,"","","","","","","","","","","","",1845,3108,"","",3108,"","","","","",128783824,68,100,"[12595,12609]",5,5,891,1833,"","","",1845,3108,"",3108,3108,3108,3108,1845,1833,1845,1845,1845,1845,1833,1833,1833,1833,1833,1833,1833,12441,0,3108,3657,3657,3657,3108,"",1,"[12603,12609]",49,68,100
38,112,"","","","","","","","","","","","",1846,3109,"","",3109,"","","","","",-452117587,0,0,"[12596,12609]",5,6,0,1834,"","","",1846,3109,"",3109,3109,3109,3109,1846,1834,1846,1846,1846,1846,1834,1834,1834,1834,1834,1834,1834,12442,0,3109,3658,3658,3658,3109,"","","[12604,12609]",0,0,0
39,113,"","","","","","","","","","","","",1858,3110,"","",3110,"","","","","",1536872438,0,0,"[12597,12609]",5,7,0,1836,"","","",1858,3110,"",3110,3110,3110,3110,1858,1836,1858,1858,1858,1858,1836,1836,1836,1836,1836,1836,1836,12443,0,3110,3659,3659,3659,3110,"","","[12605,12609]",0,0,0
40,114,"","","","","","","","","","","","","",985,"","",4779,975,4779,12064,4779,12064,-475311494,12,67,"[12592,12608]",6,2,669,"","",9777,9815,"",4779,"",4779,12064,4779,975,9815,9777,9815,9815,9815,9815,9777,9777,9777,9777,9777,9777,9777,12462,45,4779,976,976,976,12064,"","","[12600,12608]",1657,12,100
41,115,"","","","","","","","","","","","","",987,"","",4780,976,4780,12065,4780,12065,1008794806,30,100,"[12593,12608]",6,3,736,"","",9779,9817,"",4780,"",4780,12065,4780,976,9817,9779,9817,9817,9817,9817,9779,9779,9779,9779,9779,9779,9779,12463,60,4780,978,978,978,12065,"","","[12601,12608]",1657,30,100
42,116,"","","","","","","","","","","","","",989,"","",4781,977,4781,12066,4781,12066,-1179354155,48,100,"[12594,12608]",6,4,810,"","",9781,9819,"",4781,"",4781,12066,4781,977,9819,9781,9819,9819,9819,9819,9781,9781,9781,9781,9781,9781,9781,12464,75,4781,980,980,980,12066,"","","[12602,12608]",731,48,100
43,117,"","","","","","","","","","","","","",991,"","",4782,978,4782,12067,4782,12067,747230036,68,100,"[12595,12608]",6,5,891,"","",9782,9820,"",4782,"",4782,12067,4782,978,9820,9782,9820,9820,9820,9820,9782,9782,9782,9782,9782,9782,9782,12465,0,4782,982,982,982,12067,"",1,"[12603,12608]",49,68,100
44,118,"","","","","","","","","","","","","",992,"","",4783,979,4783,12068,4783,12068,-826006652,0,0,"[12596,12608]",6,6,0,"","",9783,9821,"",4783,"",4783,12068,4783,979,9821,9783,9821,9821,9821,9821,9783,9783,9783,9783,9783,9783,9783,12466,0,4783,983,983,983,12068,"","","[12604,12608]",0,0,0
45,119,"","","","","","","","","","","","","",993,"","",4784,980,4784,12069,4784,12069,-1551618851,0,0,"[12597,12608]",6,7,0,"","",9784,9822,"",4784,"",4784,12069,4784,980,9822,9784,9822,9822,9822,9822,9784,9784,9784,9784,9784,9784,9784,12467,0,4784,994,994,994,12069,"","","[12605,12608]",0,0,0
46,120,"","","","","","","","","","","","","",4588,"","",4605,4637,"","",4631,"",697488794,12,67,[12592],7,2,669,"","",20205,20216,"",4605,"",4631,4605,4605,4637,20216,20205,20216,20216,20216,20216,20205,20205,20205,20205,20205,20205,20205,12470,45,4605,4588,4588,4588,4605,"","",[12600],1657,12,100
47,121,"","","","","","","","","","","","","",4589,"","",4606,4638,"","",4632,"",-185991819,30,100,[12593],7,3,736,"","",20206,20217,"",4606,"",4632,4606,4606,4638,20217,20206,20217,20217,20217,20217,20206,20206,20206,20206,20206,20206,20206,12471,60,4606,4589,4589,4589,4606,"","",[12601],1657,30,100
