"rownum","BaseItemTypesKey","Block"
0,5742,24
1,5743,23
2,5744,26
3,5745,25
4,5746,24
5,5747,23
6,5748,25
7,5749,26
8,5750,25
9,5751,24
10,5752,23
11,5753,25
12,5754,26
13,5755,25
14,5756,24
15,5757,23
16,5758,25
17,5759,25
18,5760,27
19,5761,29
20,5762,25
21,5763,26
22,5764,24
23,5765,27
24,5766,26
25,5767,25
26,5768,26
27,5769,24
28,5770,27
29,5771,26
30,5772,25
31,5773,26
32,5774,24
33,5775,27
34,5776,26
35,5777,25
36,5778,24
37,5779,26
38,5780,28
39,5781,22
40,5782,24
41,5783,22
42,5784,24
43,5785,23
44,5786,25
45,5787,24
46,5788,22
47,5789,24
48,5790,23
49,5791,25
50,5792,24
51,5793,22
52,5794,24
53,5795,23
54,5796,25
55,5797,22
56,5798,24
57,5799,26
58,5800,24
59,5801,24
60,5802,27
61,5803,26
62,5804,25
63,5805,24
64,5806,27
65,5807,26
66,5808,25
67,5809,24
68,5810,27
69,5811,26
70,5812,25
71,5813,22
72,5814,24
73,5815,26
74,5816,24
75,5817,22
76,5818,24
77,5819,26
78,5820,24
79,5821,22
80,5822,24
81,5823,26
82,5824,24
83,5825,22
84,5826,24
85,5827,24
86,5828,25
87,5829,26
88,5830,24
89,5831,24
90,5832,25
91,5833,26
92,5834,24
93,5835,24
94,5836,25
95,5837,26
96,5838,24
97,5839,20
