"rownum","Id","MonsterPack","Faction","IsDonutPack","IsElite","MinLevel","MaxLevel"
0,"0",2557,0,"","",1,100
1,"1",2558,0,"","",1,100
2,"2",2559,0,"","",1,100
3,"3",2560,0,"",1,6,100
4,"4",2561,0,"",1,12,100
5,"5",2564,1,"","",1,100
6,"6",2565,1,"","",1,100
7,"7",2566,1,"","",1,100
8,"8",2567,1,"",1,28,100
9,"9",2568,1,"",1,34,100
10,"10",2571,2,"","",1,100
11,"11",2572,2,"","",1,100
12,"12",2573,2,"","",1,100
13,"13",2574,2,"",1,16,100
14,"14",2575,2,"",1,22,100
15,"15",2579,0,1,"",16,100
16,"16",2582,0,1,"",16,100
17,"17",2585,1,1,"",16,100
18,"18",2588,1,1,"",16,100
19,"19",2591,2,1,"",16,100
20,"20",2594,2,1,"",16,100
21,"21",2580,0,1,"",40,100
22,"22",2583,0,1,"",40,100
23,"23",2586,1,1,"",40,100
24,"24",2589,1,1,"",40,100
25,"25",2592,2,1,"",40,100
26,"26",2595,2,1,"",40,100
27,"27",2562,0,"",1,1,5
28,"28",2563,0,"",1,1,11
29,"29",2569,1,"",1,1,27
30,"30",2570,1,"",1,1,33
31,"31",2576,2,"",1,1,15
32,"32",2577,2,"",1,1,21
33,"33",2578,0,1,"",1,15
34,"34",2581,0,1,"",1,15
35,"35",2584,1,1,"",1,15
36,"36",2587,1,1,"",1,15
37,"37",2590,2,1,"",1,15
38,"38",2593,2,1,"",1,15
