"rownum","rid","i32","bool"
0,35861,45,""
1,35862,48,""
2,35863,51,""
3,35864,54,""
4,35865,57,""
5,35866,60,""
6,35867,63,""
7,35868,45,""
8,35869,48,""
9,35870,51,""
10,35871,54,""
11,35872,57,""
12,35873,60,""
13,35874,63,""
14,35875,45,""
15,35876,48,""
16,35877,51,""
17,35878,54,""
18,35879,57,""
19,35880,60,""
20,35881,63,""
21,35882,45,""
22,35883,48,""
23,35884,51,""
24,35885,54,""
25,35886,57,""
26,35887,60,""
27,35888,63,""
28,35889,48,""
29,35890,51,""
30,35891,54,""
31,35892,57,""
32,35893,60,""
33,35894,48,""
34,35895,51,""
35,35896,54,""
36,35897,57,""
37,35898,48,""
38,35899,51,""
39,35900,54,""
40,35901,57,""
41,35902,48,""
42,35903,51,""
43,35904,54,""
44,35905,57,""
45,35906,48,""
46,35907,51,""
47,35908,54,""
48,35909,57,""
49,35914,45,""
50,35915,48,""
51,35916,51,""
52,35910,48,""
53,35911,51,""
54,35912,54,""
55,35913,57,""
56,35917,48,""
57,35918,51,""
58,35919,54,""
59,35920,57,""
60,35921,48,""
61,35922,51,""
62,35923,54,""
63,35924,57,""
64,35925,60,""
65,35926,63,""
66,35927,48,""
67,35928,51,""
68,35929,54,""
69,35930,48,""
70,35931,51,""
71,35932,54,""
72,35933,48,""
73,35934,51,""
74,35935,54,""
75,35936,48,""
76,35937,51,""
77,35938,54,""
78,35939,48,""
79,35940,51,""
80,35941,54,""
81,35942,48,""
82,35943,51,""
83,35944,54,""
84,35945,48,""
85,35946,51,""
86,35947,54,""
87,35948,48,""
88,35949,51,""
89,35950,54,""
90,35951,57,""
91,35952,51,""
92,35953,54,""
93,35954,57,""
94,35955,48,""
95,35956,51,""
96,35957,54,""
97,35958,57,""
98,35959,48,""
99,35960,51,""
100,35961,54,""
101,35962,57,""
102,35963,54,""
103,35964,54,""
104,35965,48,""
105,35966,51,""
106,35967,54,""
107,35968,51,""
108,35969,54,""
109,35970,57,""
110,35971,45,""
111,35972,48,""
112,35973,51,""
113,35974,51,""
114,35975,51,""
115,35976,51,""
116,35977,45,""
117,35978,48,""
118,35979,51,""
119,35980,45,""
120,35981,48,""
121,35982,51,""
122,35983,51,""
123,35984,54,""
124,35985,57,""
125,35986,60,""
126,35987,51,""
127,35988,54,""
128,35989,57,""
129,35990,100,""
130,35991,100,""
131,35992,100,""
132,35993,100,""
133,35994,100,""
134,35995,100,""
135,35996,100,""
136,35997,100,""
137,35998,100,""
138,35999,54,""
139,36000,57,""
140,36001,60,""
141,36002,54,""
142,36003,57,""
143,36004,60,""
144,36005,54,""
145,36006,57,""
146,36007,60,""
147,36008,54,""
148,36009,57,""
149,36010,60,""
150,36011,100,1
151,36012,100,1
152,36013,100,1
153,36014,100,1
154,36015,100,1
155,36016,100,1
156,36017,100,1
157,36018,100,1
158,36019,100,1
159,36020,100,1
160,36021,100,1
161,36022,100,1
162,36023,100,1
163,36024,100,1
164,36025,100,1
165,36026,100,1
166,36027,100,1
167,36028,100,1
168,36029,100,1
169,36030,100,1
170,36031,100,1
171,36032,100,1
172,36033,100,1
173,36034,100,""
174,36035,100,""
175,36036,100,""
176,36037,100,""
177,36038,100,""
178,36039,100,""
179,36040,100,""
180,36041,100,""
181,36042,100,""
182,36043,100,""
183,36044,100,""
184,36045,100,""
185,36046,100,""
186,36047,100,""
187,36048,100,""
188,36049,100,""
189,36050,100,""
190,36051,100,""
191,36052,100,""
192,36053,100,""
193,36054,100,""
194,36055,100,""
195,36056,100,""
196,36057,100,""
197,36058,100,""
198,36059,100,""
199,36060,100,""
200,36061,100,""
201,36062,100,""
202,36063,100,""
203,36064,100,""
204,36065,100,""
205,36066,100,""
206,36067,100,""
207,36068,100,""
208,36069,100,""
209,36070,100,""
