"rownum","Type","Items"
0,0,"[9897,9899,9898,9900]"
1,1,"[9868,9869,9870,9871,9872]"
2,2,"[9877,9878,9881,9880,9879]"
3,3,"[9886,9887,9888]"
4,4,"[9924,9926,9925]"
5,5,"[9931,9932,9933,9934]"
6,6,"[9939,9940,9941,9942,9943]"
7,7,"[9948,9949,9951,9950]"
8,8,"[9965,9966,9967,9968,9969]"
9,9,"[9917,9918,9919]"
10,10,"[10026,10027,10028,10029]"
11,11,"[9982,9983,9984,9985]"
12,12,"[9909,9910,9912,9911]"
13,14,"[9986,9987,9988]"
14,15,"[10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040]"
15,16,"[10021,10022,10023,10024,10025]"
16,23,"[10011,10012,10013,10015,10014]"
17,17,"[9997,9998,9999]"
18,18,"[10000,10002,10001]"
19,19,"[9994,9995,9993,9996]"
20,20,"[10007,10008,10010,10009]"
21,13,"[10016,10017,10018,10019,10020]"
22,21,"[9989,9990,9992,9991]"
23,24,"[9956,9957,9958,9960,9959]"
24,22,"[10003,10004,10005,10006]"
25,25,"[10041,10042,10043,10044,10045,10046,10047,10048]"
