"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","HASH32","DropLevel","Monster_ModsKeys","EssenceTypeKey","Level","[i32]","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","MemoryLines","[i32]","Level2"
0,76,"","","","","","","","","","","","",1906,3193,"","",3193,"","","","","",-1010710615,[1],"[12809,12825]",0,1,[700],1894,"","","",1906,3193,"",3193,3193,3193,3193,1906,1894,1906,1906,1906,1906,1894,1894,1894,1894,1894,1894,1894,12662,35,3193,3713,3713,3713,3193,"","","[12817,12825]",[1905],[1]
1,77,"","","","","","","","","","","","",1907,3194,"","",3194,"","","","","",1794042691,[12],"[12810,12825]",0,2,[770],1895,"","","",1907,3194,"",3194,3194,3194,3194,1907,1895,1907,1907,1907,1907,1895,1895,1895,1895,1895,1895,1895,12663,45,3194,3714,3714,3714,3194,"","","[12818,12825]",[1905],[12]
2,78,"","","","","","","","","","","","",1909,3195,"","",3195,"","","","","",-1926556014,[30],"[12811,12825]",0,3,[847],1897,"","","",1909,3195,"",3195,3195,3195,3195,1909,1897,1909,1909,1909,1909,1897,1897,1897,1897,1897,1897,1897,12664,60,3195,3715,3715,3715,3195,"","","[12819,12825]",[1905],[30]
3,79,"","","","","","","","","","","","",1911,3196,"","",3196,"","","","","",1130285480,[48],"[12812,12825]",0,4,[931],1899,"","","",1911,3196,"",3196,3196,3196,3196,1911,1899,1911,1911,1911,1911,1899,1899,1899,1899,1899,1899,1899,12665,75,3196,3716,3716,3716,3196,"","","[12820,12825]",[841],[48]
4,80,"","","","","","","","","","","","",1913,3198,"","",3198,"","","","","",2062300730,[68],"[12813,12825]",0,5,[1024],1901,"","","",1913,3198,"",3198,3198,3198,3198,1913,1901,1913,1913,1913,1913,1901,1901,1901,1901,1901,1901,1901,12666,0,3198,3717,3717,3717,3198,"",1,"[12821,12825]",[56],[68]
5,81,"","","","","","","","","","","","",1914,3199,"","",3199,"","","","","",-2071586625,"[73,77]","[12814,12825]",0,6,"[205,410]",1902,"","","",1914,3199,"",3199,3199,3199,3199,1914,1902,1914,1914,1914,1914,1902,1902,1902,1902,1902,1902,1902,12667,0,3199,3718,3718,3718,3199,"","","[12822,12825]",[0],[]
6,82,"","","","","","","","","","","","",1926,3200,"","",3200,"","","","","",1769493148,[],"[12815,12825]",0,7,[0],1904,"","","",1926,3200,"",3200,3200,3200,3200,1926,1904,1926,1926,1926,1926,1904,1904,1904,1904,1904,1904,1904,12668,0,3200,3719,3719,3719,3200,"","","[12823,12825]",[0],[]
7,83,"","","","","","","","","","","","","",13822,2015,654,654,"","","","","",-777397213,[1],[12809],1,1,[700],"","",2362,2374,"",739,"",739,739,739,739,2374,2362,2374,2374,2374,2374,2362,2362,2362,2362,2362,2362,2362,12754,35,654,2015,654,"",739,"","",[12817],[1905],[1]
8,84,"","","","","","","","","","","","","",13823,2016,655,655,"","","","","",1672586153,[12],[12810],1,2,[770],"","",2363,2375,"",740,"",740,740,740,740,2375,2363,2375,2375,2375,2375,2363,2363,2363,2363,2363,2363,2363,12755,45,655,2016,655,"",740,"","",[12818],[1905],[12]
9,85,"","","","","","","","","","","","","",13828,2017,658,658,"","","","","",1828846209,[30],[12811],1,3,[847],"","",2364,2376,"",742,"",742,742,742,742,2376,2364,2376,2376,2376,2376,2364,2364,2364,2364,2364,2364,2364,12756,60,658,2017,658,"",742,"","",[12819],[1905],[30]
