"rownum","UniqueBase","i32"
0,5272,1
1,5273,2
2,5274,3
3,5276,4
4,5277,5
5,5280,6
6,5283,7
7,5286,8
8,5289,9
9,5299,10
10,5301,11
11,5302,12
12,5307,13
13,5310,14
14,5312,15
15,5313,16
16,5316,17
17,5317,18
18,5318,19
19,5319,20
20,5320,21
21,5321,22
22,5329,23
23,5331,24
24,5334,25
25,5336,26
26,5338,27
27,5341,28
28,5347,29
29,5348,30
30,5350,31
31,5351,32
32,5352,33
33,5358,34
34,5360,35
35,5363,36
36,5367,37
37,5375,38
38,5378,39
39,5379,40
40,5380,41
41,5387,42
42,5389,43
43,5391,44
44,5393,45
45,5394,46
46,5400,47
47,5402,48
48,5405,49
49,5406,50
50,5407,51
51,5408,52
52,5409,53
53,5410,54
54,5416,55
55,5418,56
56,5419,57
57,5420,58
58,5426,59
59,5437,60
60,5442,61
61,5444,62
62,5447,63
63,5451,64
64,5454,65
65,5459,66
66,5462,67
67,5470,68
68,5474,69
69,5475,70
70,5477,71
71,5479,72
72,5482,73
73,5485,74
74,5486,75
75,5487,76
76,5488,77
77,5489,78
78,5490,79
79,5491,80
80,5496,81
81,5497,82
82,5498,83
83,5500,84
84,5502,85
85,5503,86
86,5511,87
87,5515,88
88,5516,89
89,5517,90
90,5518,91
91,5519,92
92,5525,93
93,5528,94
94,5530,95
95,5531,96
96,5535,97
97,5536,98
98,5537,99
99,5540,100
100,5541,101
101,5542,102
102,5543,103
103,5544,104
104,5545,105
105,5555,106
106,5556,107
107,5559,108
108,5561,109
109,5563,110
110,5566,111
111,5568,112
112,5570,113
113,5571,114
114,5572,115
115,5573,116
116,5580,117
117,5582,118
118,5583,119
119,5588,120
120,5590,121
121,5594,122
122,5595,123
123,5597,124
124,5598,125
125,5606,126
126,5607,127
127,5608,128
128,5612,129
129,5613,130
130,5616,131
131,5618,132
132,5621,133
133,5622,134
134,5623,135
135,5628,136
136,5744,137
137,5745,138
138,5747,139
139,5755,140
140,5757,141
141,5758,142
142,5763,143
143,5764,144
144,5766,145
145,5770,146
146,5774,147
147,5775,148
148,5784,149
149,5785,150
150,5786,151
151,5789,152
152,5790,153
153,5792,154
154,5795,155
155,5796,156
156,5800,157
157,5802,158
158,5808,159
159,5809,160
160,5812,161
161,5813,162
162,5819,163
163,5820,164
164,5822,165
165,5823,166
166,5824,167
167,5825,168
168,5832,169
169,5833,170
170,5837,171
171,5838,172
