"rownum","Id","bool"
0,"DISABLED",""
1,"AtlasMission",1
2,"DIVIDER1",1
3,"Gossip",""
4,"Topic",""
5,"DIVIDER2",""
6,"Quests",1
7,"QuestReward",1
8,"NextPresetQuest",1
9,"BanditRespec",1
10,"DIVIDER3",1
11,"SynthesisOptions",1
12,"MetamorphosisOptions",1
13,"BuyAzuriteItems",1
14,"ViewAncestralTrialShop",1
15,"ViewIncursionTemple",1
16,"OpenIncursionPortal",1
17,"OpenIncursionTemple",1
18,"ItemiseIncursionTemple",""
19,"OpenHeistNPCInventory",1
20,"OpenHeistNPCBlueprint",1
21,"OpenExpeditionMap",1
22,"OpenExpeditionStorage",1
23,"RightMenu",1
24,"RespecHellscapePassives",1
25,"BuyItems",1
26,"SellItems",1
27,"UnveilItems",1
28,"Crafting",1
29,"DIVIDER4",1
30,"PVP",1
31,"ArenaPVP",1
32,"DIVIDER5",1
33,"TradeDivinationCards",1
34,"CadiroOffer",1
35,"ViewPantheon",1
36,"EndlessHeistContracts",1
37,"DIVIDER6",1
38,"SelectHideout",1
39,"SelectGuildHideout",1
40,"InviteToHideout",1
41,"BuyExpeditionItems",1
42,"BuySanctumRelics",1
43,"BuyAzmeriItems",1
44,"ChooseAzmeriAscendancy",1
45,"AzmeriChooseOneUnique",1
46,"ChooseOneUnique",1
47,"ViewNecropolisCorpses",1
48,"VisitNecropolis",1
