"rownum","ModsKey","Weight","MinLevel","MaxLevel"
0,20257,80,13,100
1,20258,80,0,100
2,20259,80,0,100
3,20260,80,13,100
4,20261,80,0,100
5,20262,80,0,100
6,20263,120,13,100
7,20264,120,0,100
8,20265,120,0,100
9,20266,80,20,100
10,20267,80,20,100
11,20268,80,20,100
12,20269,50,68,100
13,20270,50,68,100
14,20271,50,68,100
15,20272,50,40,100
16,20273,50,40,100
17,20274,50,40,100
18,20275,80,13,100
19,20276,80,0,100
20,20277,80,0,100
21,20278,120,13,100
22,20279,120,0,100
23,20280,120,0,100
24,20281,120,13,100
25,20282,120,0,100
26,20283,120,0,100
27,20284,120,13,100
28,20285,120,68,100
29,20286,120,68,100
30,20287,80,13,100
31,20288,80,0,100
32,20289,80,0,100
33,20290,50,68,100
34,20291,50,68,100
35,20292,0,68,100
36,20293,50,68,100
37,20294,50,68,100
38,20295,0,68,100
39,20296,50,68,100
40,20297,50,68,100
41,20298,50,68,100
42,20299,50,40,100
43,20300,50,40,100
44,20301,0,40,100
45,20302,80,20,100
46,20303,50,50,100
47,20304,37,68,100
48,20305,50,30,100
49,20306,80,13,100
50,20307,120,13,100
51,20308,37,13,100
52,20309,50,68,100
53,20310,80,63,100
54,20311,120,13,100
55,20312,80,13,100
56,20313,50,13,100
57,20314,120,0,100
58,20315,120,0,100
59,20316,120,13,100
60,20317,120,0,100
61,20318,50,40,100
62,20325,120,0,100
63,20326,80,20,100
64,20327,50,40,100
