"rownum","Mod","Name","Visual","TextStyles","bool","bool"
0,7305,"Toxic",0,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]","",""
1,7306,"Chaosweaver",1,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]","",""
2,7307,"Frostweaver",2,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
3,7308,"Permafrost",3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
4,7310,"Hasted",4,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
5,7311,"Deadeye",5,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
6,7313,"Bombardier",6,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
7,7314,"Flameweaver",7,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
8,7315,"Incendiary",8,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
9,7316,"Arcane Buffer",9,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
10,7319,"Echoist",10,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
11,7321,"Stormweaver",11,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
12,7322,"Electrocuting",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
13,7323,"Bonebreaker",13,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
14,7324,"Bloodletter",14,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
15,7326,"Steel-infused",16,"[""outlinecolour:archnemesismodphysicalgreyoutline"",""archnemesismodphysicalgrey""]","",""
16,7327,"Gargantuan",17,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
17,7329,"Berserker",18,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
18,7320,"Sentinel",19,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
19,7325,"Juggernaut",20,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
20,7317,"Vampiric",21,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
21,7330,"Overcharged",22,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
22,7331,"Soul Conduit",23,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
23,7332,"Opulent",24,"[""outlinecolour:archnemesismodgoldenoutline"",""archnemesismodgolden""]","",""
24,7333,"Malediction",25,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
25,7334,"Consecrator",26,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","",""
26,7335,"Frenzied",27,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
27,7336,"Heralding Minions",28,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
28,7337,"Empowering Minions",29,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
29,7309,"Assassin",30,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
30,7312,"Trickster",31,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
31,7318,"Necromancer",32,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
32,7328,"Rejuvenating",33,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
33,7338,"Executioner",34,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
34,7339,"Hexer",35,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]","",""
35,7340,"Drought Bringer",36,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
36,7341,"Entangler",37,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
37,7342,"Temporal Bubble",38,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
38,7344,"Treant Horde",39,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
39,7345,"Frost Strider",40,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
40,7346,"Ice Prison",41,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
41,7347,"Soul Eater",42,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
42,7348,"Flame Strider",43,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
43,7349,"Corpse Detonator",44,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
44,7350,"Prismatic",45,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
45,7351,"Magma Barrier",46,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
46,7352,"Mirror Image",47,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
47,7353,"Storm Strider",48,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
48,7354,"Mana Siphoner",49,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
49,7355,"Corrupter",50,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
50,7356,"Benevolent Guardian",51,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","",""
51,7357,"Crystal-skinned",52,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
52,7358,"Empowered Elements",53,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
53,7359,"Effigy",54,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
54,7361,"Lunaris-touched",55,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
55,7362,"Solaris-touched",56,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
56,7363,"Arakaali-touched",57,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
57,7364,"Brine King-touched",58,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
58,7365,"Tukohama-touched",59,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
59,7366,"Abberath-touched",60,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
60,7367,"Shakari-touched",61,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
61,7368,"Innocence-touched",62,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
62,7369,"Kitava-touched",63,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
63,7373,"Bloodletter",15,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
64,7374,"Heralds of the Obelisk","","[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
65,7375,"Spirit Walkers","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
66,7376,"Union of Souls","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
67,7377,"Voidspawn of Abaxoth","","[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]","",""
68,7370,"Storm Herald",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
69,7371,"Final Gasp","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
70,7378,"Arcane Buffer",9,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
71,7379,"Prismatic",45,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
72,7380,"Deadeye",5,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
73,7381,"Hasted",4,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
74,7382,"Bonebreaker",13,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
75,7372,"Splinterer","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
76,7385,"Permafrost",3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
77,7383,"Toxic",0,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]","",""
78,7384,"Incendiary",8,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
79,7386,"Electrocuting",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
80,7388,"Consecrator",26,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","",""
81,7389,"Flame Strider",43,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
82,7390,"Frost Strider",40,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
83,7391,"Storm Strider",48,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
84,7392,"Corrupter",50,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
85,7387,"Sentinel",19,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
86,32002,"Overwhelms Physical Reduction",16,[],"",""
87,32003,"Extra Fire Damage and Exposure",7,[],"",""
88,32004,"Extra Cold Damage and Exposure",2,[],"",""
89,32005,"Extra Lightning Damage and Exposure",11,[],"",""
90,32006,"Extra Chaos Damage",1,[],"",""
91,32007,"Elemental Equilibrium and Random Elemental Damage",45,[],"",""
92,32008,"Physical Resistant",16,[],"",""
93,32009,"Fire and Ignite Resistant",7,[],"",""
94,32010,"Cold, Chill and Freeze Resistant",2,[],"",""
95,32011,"Lightning and Shock Resistant",11,[],"",""
96,32012,"Chaos and Wither Resistant",1,[],"",""
97,32013,"Evasive","",[],"",""
98,32014,"Fast Energy Shield Recharge","",[],"",""
99,32015,"Extra Life","",[],"",""
100,32016,"Accurate","",[],"",""
101,32017,"Extra Crits","",[],"",""
102,32018,"Life Regen","",[],"",""
103,32019,"Ignites",8,[],"",""
104,32020,"Shocks",12,[],"",""
105,32021,"Poisons",0,[],"",""
106,32022,"Bleeds",14,[],"",""
107,32023,"Chance to Freeze",3,[],"",""
108,32024,"Stuns",13,[],"",""
109,32025,"Increased Area of Effect",17,[],"",""
110,32026,"Hasted",4,[],"",""
111,32027,"Triple Actions",10,[],"",""
112,32028,"Extra Projectiles","",[],"",""
113,32029,"Leeches Life",21,[],"",""
114,32030,"Life Cannot Be Leeched",21,[],"",""
115,32031,"Gains Random Charges",22,[],"",""
