"rownum","rid","i32","BK2File","SoundFile","bool","BK2File2","bool","rid","f32"
0,37,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2","Audio/Sound Effects/Misc/CorruptionBreak/Break.ogg","","","","",1
1,2,0,"","",1,"Art/Videos/CurrencyEffect_ChaosOrb.bk2","",18422,1.75
2,5249,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
3,5250,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
4,5251,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
5,5252,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
6,5253,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
7,5254,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
8,5255,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
9,5256,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
10,5257,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
11,5258,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
12,5259,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
