"rownum","Id","BaseItem","UniqueCraft","bool","i32","CraftItemType","Name","CraftTag","bool"
0,"PerandusUnique","",0,1,0,23,"","",1
1,"PhreciaUnique","",1,1,0,24,"","",1
2,"VerusoUnique","",2,1,0,25,"","",1
3,"NevaliusUnique","",3,1,0,26,"","",1
4,"GrattusUnique","",4,1,0,27,"","",1
5,"Metadata/Items/Armours/BodyArmours/BodyStr1",5918,"","",1,1,"","",""
6,"Metadata/Items/Armours/BodyArmours/BodyStr2",5919,"","",1,1,"","",""
7,"Metadata/Items/Armours/BodyArmours/BodyStr3",5920,"","",1,1,"","",""
8,"Metadata/Items/Armours/BodyArmours/BodyStr4",5921,"","",1,1,"","",""
9,"Metadata/Items/Armours/BodyArmours/BodyStr5",5922,"","",1,1,"","",""
10,"Metadata/Items/Armours/BodyArmours/BodyStr6",5923,"","",1,1,"","",""
11,"Metadata/Items/Armours/BodyArmours/BodyStr7",5924,"","",1,1,"","",""
12,"Metadata/Items/Armours/BodyArmours/BodyStr8",5925,"","",1,1,"","",""
13,"Metadata/Items/Armours/BodyArmours/BodyStr9",5926,"","",1,1,"","",""
14,"Metadata/Items/Armours/BodyArmours/BodyStr10",5927,"","",1,1,"","",""
15,"Metadata/Items/Armours/BodyArmours/BodyStr11",5928,"","",1,1,"","",""
16,"Metadata/Items/Armours/BodyArmours/BodyStr12",5929,"","",1,1,"","",""
17,"Metadata/Items/Armours/BodyArmours/BodyStr13",5930,"","",1,1,"","",""
18,"Metadata/Items/Armours/BodyArmours/BodyStr14",5931,"","",1,1,"","",""
19,"Metadata/Items/Armours/BodyArmours/BodyStr15",5932,"","",1,1,"","",""
20,"Metadata/Items/Armours/BodyArmours/BodyStr16",5933,"","",1,1,"","",""
21,"Metadata/Items/Armours/BodyArmours/BodyStr17",5934,"","",1,1,"","",""
22,"Metadata/Items/Armours/BodyArmours/BodyDex1",5936,"","",2,1,"","",""
23,"Metadata/Items/Armours/BodyArmours/BodyDex2",5937,"","",2,1,"","",""
24,"Metadata/Items/Armours/BodyArmours/BodyDex3",5938,"","",2,1,"","",""
25,"Metadata/Items/Armours/BodyArmours/BodyDex4",5939,"","",2,1,"","",""
26,"Metadata/Items/Armours/BodyArmours/BodyDex5",5940,"","",2,1,"","",""
27,"Metadata/Items/Armours/BodyArmours/BodyDex6",5941,"","",2,1,"","",""
28,"Metadata/Items/Armours/BodyArmours/BodyDex7",5942,"","",2,1,"","",""
29,"Metadata/Items/Armours/BodyArmours/BodyDex8",5943,"","",2,1,"","",""
30,"Metadata/Items/Armours/BodyArmours/BodyDex9",5944,"","",2,1,"","",""
31,"Metadata/Items/Armours/BodyArmours/BodyDex10",5945,"","",2,1,"","",""
32,"Metadata/Items/Armours/BodyArmours/BodyDex11",5946,"","",2,1,"","",""
33,"Metadata/Items/Armours/BodyArmours/BodyDex12",5947,"","",2,1,"","",""
34,"Metadata/Items/Armours/BodyArmours/BodyDex13",5948,"","",2,1,"","",""
35,"Metadata/Items/Armours/BodyArmours/BodyDex14",5949,"","",2,1,"","",""
36,"Metadata/Items/Armours/BodyArmours/BodyDex15",5950,"","",2,1,"","",""
37,"Metadata/Items/Armours/BodyArmours/BodyDex16",5951,"","",2,1,"","",""
38,"Metadata/Items/Armours/BodyArmours/BodyDex17",5952,"","",2,1,"","",""
39,"Metadata/Items/Armours/BodyArmours/BodyInt1",5953,"","",3,1,"","",""
40,"Metadata/Items/Armours/BodyArmours/BodyInt2",5954,"","",3,1,"","",""
41,"Metadata/Items/Armours/BodyArmours/BodyInt3",5955,"","",3,1,"","",""
42,"Metadata/Items/Armours/BodyArmours/BodyInt4",5956,"","",3,1,"","",""
43,"Metadata/Items/Armours/BodyArmours/BodyInt5",5957,"","",3,1,"","",""
44,"Metadata/Items/Armours/BodyArmours/BodyInt6",5958,"","",3,1,"","",""
45,"Metadata/Items/Armours/BodyArmours/BodyInt7",5959,"","",3,1,"","",""
46,"Metadata/Items/Armours/BodyArmours/BodyInt8",5960,"","",3,1,"","",""
47,"Metadata/Items/Armours/BodyArmours/BodyInt9",5961,"","",3,1,"","",""
48,"Metadata/Items/Armours/BodyArmours/BodyInt10",5962,"","",3,1,"","",""
49,"Metadata/Items/Armours/BodyArmours/BodyInt11",5963,"","",3,1,"","",""
50,"Metadata/Items/Armours/BodyArmours/BodyInt12",5964,"","",3,1,"","",""
51,"Metadata/Items/Armours/BodyArmours/BodyInt13",5965,"","",3,1,"","",""
52,"Metadata/Items/Armours/BodyArmours/BodyInt14",5966,"","",3,1,"","",""
53,"Metadata/Items/Armours/BodyArmours/BodyInt15",5967,"","",3,1,"","",""
54,"Metadata/Items/Armours/BodyArmours/BodyInt16",5968,"","",3,1,"","",""
55,"Metadata/Items/Armours/BodyArmours/BodyInt17",5969,"","",3,1,"","",""
56,"Metadata/Items/Armours/BodyArmours/BodyStrDex1",5970,"","",4,1,"","",""
57,"Metadata/Items/Armours/BodyArmours/BodyStrDex2",5971,"","",4,1,"","",""
58,"Metadata/Items/Armours/BodyArmours/BodyStrDex3",5972,"","",4,1,"","",""
59,"Metadata/Items/Armours/BodyArmours/BodyStrDex4",5973,"","",4,1,"","",""
60,"Metadata/Items/Armours/BodyArmours/BodyStrDex5",5974,"","",4,1,"","",""
61,"Metadata/Items/Armours/BodyArmours/BodyStrDex6",5975,"","",4,1,"","",""
62,"Metadata/Items/Armours/BodyArmours/BodyStrDex7",5976,"","",4,1,"","",""
63,"Metadata/Items/Armours/BodyArmours/BodyStrDex8",5977,"","",4,1,"","",""
64,"Metadata/Items/Armours/BodyArmours/BodyStrDex9",5978,"","",4,1,"","",""
65,"Metadata/Items/Armours/BodyArmours/BodyStrDex10",5979,"","",4,1,"","",""
66,"Metadata/Items/Armours/BodyArmours/BodyStrDex11",5980,"","",4,1,"","",""
67,"Metadata/Items/Armours/BodyArmours/BodyStrDex12",5981,"","",4,1,"","",""
68,"Metadata/Items/Armours/BodyArmours/BodyStrDex13",5982,"","",4,1,"","",""
69,"Metadata/Items/Armours/BodyArmours/BodyStrDex14",5983,"","",4,1,"","",""
70,"Metadata/Items/Armours/BodyArmours/BodyStrDex15",5984,"","",4,1,"","",""
71,"Metadata/Items/Armours/BodyArmours/BodyStrDex16",5985,"","",4,1,"","",""
72,"Metadata/Items/Armours/BodyArmours/BodyStrDex17",5986,"","",4,1,"","",""
73,"Metadata/Items/Armours/BodyArmours/BodyStrInt1",5987,"","",6,1,"","",""
74,"Metadata/Items/Armours/BodyArmours/BodyStrInt2",5988,"","",6,1,"","",""
75,"Metadata/Items/Armours/BodyArmours/BodyStrInt3",5989,"","",6,1,"","",""
76,"Metadata/Items/Armours/BodyArmours/BodyStrInt4",5990,"","",6,1,"","",""
77,"Metadata/Items/Armours/BodyArmours/BodyStrInt5",5991,"","",6,1,"","",""
78,"Metadata/Items/Armours/BodyArmours/BodyStrInt6",5992,"","",6,1,"","",""
79,"Metadata/Items/Armours/BodyArmours/BodyStrInt7",5993,"","",6,1,"","",""
