"rownum","BaseItemTypesKey","Regular_WorldAreasKey","Unique_WorldAreasKey","MapUpgrade_BaseItemTypesKey","MonsterPacksKeys","AchievementItem","Regular_GuildCharacter","Unique_GuildCharacter","Tier","Shaped_Base_MapsKey","Shaped_AreaLevel","UpgradedFrom_MapsKey","MapsKey2","MapsKey3","MapSeriesKey","bool","bool","bool"
0,7163,758,759,7175,"[807,801,810,811,802,803,804,805,806,808,809]",166,"A","Å",1,"",0,"",329,426,1,"","",""
1,7164,760,"",7172,"[767,768,769,770,771,772,773,903]",167,"E","",1,"",0,"",326,"",1,"","",""
2,7165,761,"",7174,"[732,733,734,735,736,738]",168,"I","",1,"",0,"",329,"",1,"","",""
3,7166,762,"",7176,"[880,881,882,883]",169,"O","",1,"",0,"",329,"",1,"","",""
4,7167,763,"",7171,[784],170,"U","",1,"",0,"",327,"",1,"","",""
5,7168,764,"",7173,"[795,796,797]",171,"T","",1,"",0,"",327,"",1,"","",""
6,7169,765,766,7177,"[757,758,759,760,761]",172,"N","^",1,"",0,"",328,404,1,"","",""
7,7170,767,"",7176,[925],"","S","",1,"",0,"",328,"",1,"","",""
8,7171,768,"",7180,[896],173,"H","",2,"",0,"",326,"",1,"","",""
9,7172,769,"",7182,"[900,901]",174,"R","",2,"",0,"",326,"",1,"","",""
10,7173,770,"",7179,"[824,825,826]",175,"D","",2,"",0,"",328,"",1,"","",""
11,7174,771,772,7184,"[747,745,746,748,749]",176,"L","Ç",2,"",0,"",327,381,1,"","",""
12,7175,773,"",7181,"[857,858,859,860,861,862,863]",177,"C","",2,"",0,"",329,"",1,"","",""
13,7176,774,"",7183,"[885,888]",178,"M","",2,"",0,"",329,"",1,"","",""
14,7177,775,"",7178,[],179,"W","",2,"",0,"",326,"",1,"","",""
15,7178,776,"",7185,[917],180,"F","",3,"",0,"",326,"",1,"","",""
16,7179,777,"",7189,"[831,832,833,834,835,836]",181,"G","",3,"",0,"",328,"",1,"","",""
17,7180,778,779,7187,"[740,842]",182,"Y","g",3,"",0,"",329,398,1,"","",""
18,7181,780,781,7190,[984],183,"P","À",3,"",0,"",327,403,1,"","",""
19,7182,782,"",7186,"[724,868,725,726,727,728]",184,"B","",3,"",0,"",328,"",1,"","",""
20,7183,783,"",7188,"[774,775,778]",185,"V","",3,"",0,"",327,"",1,"","",""
21,7184,784,"",7189,"[739,929]","","K","",3,"",0,"",326,"",1,"","",""
22,7185,785,"",7192,"[807,801,810,811,802,803,804,805,806,808,809]",186,"J","Ø",4,"",0,"",331,"",1,"","",""
23,7186,787,788,7193,[],187,"X","Ô",4,"",0,"",334,441,1,"","",""
24,7187,789,"",7191,[],188,"Q","&",4,"",0,"",335,"",1,"","",""
25,7188,790,"",7195,"[782,783,784]",189,"Z","",4,"",0,"",336,"",1,"","",""
