"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
0,3827,"[0,10000,500000,2000000]",16252,[],"",4,[],[],[],1,"","",""
1,3835,"[0,150,500,1000,1500]",571,[],572,5,[],[],[],"","","",""
2,3834,"[0,150,500,1000,1500]",574,[],575,5,[],[],[],"","","",""
3,3898,"[74,75]",305,[],146,2,[],[],[],"","","",""
4,3897,"[74,75]",306,[],144,2,[],[],[],"","","",""
5,3899,"[74,75]",307,[],148,2,[],[],[],"","","",""
6,3900,"[74,75]",16164,[],141,2,[],[],[],"","","",""
7,3839,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
8,3840,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
9,3841,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
10,3842,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
11,3843,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[],"","","",""
12,3853,"[0,1,3,7,13,25,30]",16320,[],"",7,[],[],[],"","","",""
13,3854,"[0,1,3,7,13,25,30]",16320,[],"",7,[],[],[],"","","",""
14,3855,"[0,1,3,7,13,25,30]",16320,[],"",7,[],[],[],"","","",""
15,3856,"[0,1,3,7,13,25,30]",16320,[],"",7,[],[],[],"","","",""
16,3857,"[0,1,3,7,13,25,30]",16320,[],"",7,[],[],[],"","","",""
17,3844,"[0,20,30]",16318,[],"",3,[],[],[],"","","",""
18,3845,"[0,20,30]",16318,[],"",3,[],[],[],"","","",""
19,3846,"[0,20,30]",16318,[],"",3,[],[],[],"","","",""
20,3847,"[0,20,30]",16318,[],"",3,[],[],[],"","","",""
21,3869,"[0,1,3,5,7,9,11,12]",16396,[],"",8,[],[],[],"","","",""
22,3870,"[0,1,3,5,7,9,11,12]",16396,[],"",8,[],[],[],"","","",""
23,3871,"[0,1,3,5,7,9,11,12]",16396,[],"",8,[],[],[],"","","",""
24,3872,"[0,1,3,5,7,9,11,12]",16396,[],"",8,[],[],[],"","","",""
25,3889,"[0,1,5,10]",16372,[],"",4,[],[],[],"","","",""
26,3890,"[0,1,5,10]",16372,[],"",4,[],[],[],"","","",""
27,3891,"[0,1,5,10]",16372,[],"",4,[],[],[],"","","",""
28,3892,"[0,1,5,10]",16372,[],"",4,[],[],[],"","","",""
29,3865,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
30,3866,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
31,3867,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
32,3868,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","",""
33,3881,"[0,1,3,5,7,9,11,13]",2648,[],8447,8,[],[],[],"","","",""
34,3882,"[0,1,3,5,7,9,11,13]",2648,[],8447,8,[],[],[],"","","",""
35,3883,"[0,1,3,5,7,9,11,13]",2648,[],8447,8,[],[],[],"","","",""
