"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9645,111,"Essence Item",52571,[]
1,9646,131,"Currency Item",52259,[]
2,9647,151,"Unique Item",18701,[]
3,9648,121,"Map Item",22038,[]
4,9649,251,"Unique Map Item",6696,[]
5,9650,301,"Rare Abyss Item",41772,[]
6,9651,301,"Fragment Item",60390,[]
7,9652,301,"Scarab Item",32186,[]
8,9653,151,"Essence Item",23218,[]
9,9654,301,"Fossil Item",19642,[]
10,9655,221,"Expedition Item",40101,[]
11,9656,151,"Stacked Decks",34745,[]
12,9657,151,"Talisman Item",43064,[]
13,9658,161,"Labyrinth Item",19352,[]
14,9659,1001,"6-Linked Armour Item",6078,[]
15,9660,141,"Currency Item",14134,[]
16,9661,1501,"League-specific Unique Item",4526,[]
17,9662,501,"Shaper or Elder Armour Item",61377,[]
18,9663,501,"Shaper or Elder Weapon Item",53204,[]
19,9664,701,"Shaper or Elder Trinket Item",61894,[]
20,9665,501,"Elder Map Item",39336,[]
21,9666,351,"Breach Item",43164,[]
22,9667,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9668,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9669,301,"Item",31223,[]
25,9670,121,"Quality Gem",16288,[]
26,9671,151,"Bestiary Item",28161,[]
27,9672,221,"Blight Item",19373,[]
28,9673,221,"Ultimatum Item",62324,[]
29,9674,431,"Delirium Item",23535,[]
30,9675,111,"Essence Item",46750,[]
31,9676,131,"Currency Item",54300,[]
32,9677,151,"Unique Item",59184,[]
33,9678,121,"Map Item",43361,[]
34,9679,251,"Unique Map Item",37492,[]
35,9680,301,"Rare Abyss Item",2531,[]
36,9681,301,"Fragment Item",4173,[]
37,9682,301,"Scarab Item",25303,[]
38,9683,151,"Essence Item",31454,[]
39,9684,301,"Fossil Item",51101,[]
40,9685,221,"Expedition Item",41074,[]
41,9686,151,"Stacked Decks",47490,[]
42,9687,151,"Talisman Item",23793,[]
43,9688,161,"Labyrinth Item",42868,[]
44,9689,1001,"6-Linked Armour Item",12755,[]
45,9690,141,"Currency Item",30048,[]
46,9691,1501,"League-specific Unique Item",32094,[]
47,9692,501,"Shaper or Elder Armour Item",38195,[]
48,9693,501,"Shaper or Elder Weapon Item",28068,[]
49,9694,701,"Shaper or Elder Trinket Item",52048,[]
50,9695,501,"Elder Map Item",56725,[]
51,9696,351,"Breach Item",39939,[]
52,9697,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9698,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9699,301,"Item",55071,[]
55,9700,121,"Quality Gem",43471,[]
56,9701,151,"Bestiary Item",58563,[]
57,9702,221,"Blight Item",24651,[]
58,9703,221,"Ultimatum Item",65346,[]
59,9704,431,"Delirium Item",12740,[]
