"rownum","IncursionRoomsKey","IncursionChestsKeys","ChestMarkerMetadata","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,27,"[0,4,9]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,1,0,162,0,2,2,1,1
1,49,"[1,2,4,7,9]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,2,0,258,0,4,4,2,2
2,71,"[2,3,4,5,6,7,8,10,11]","Metadata/Chests/IncursionChests/CurrencyChestMarker",-2060267237,3,0,434,0,7,7,3,3
3,26,"[48,52,53]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,1,0,628,0,1,1,1,1
4,48,"[48,49,52,53]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,2,0,708,0,2,2,2,2
5,70,"[48,49,50,51,52,53]","Metadata/Chests/IncursionChests/GemsChestMarker",564834908,3,0,836,0,3,3,3,3
6,28,"[28,29,34,39]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,1,0,1054,0,3,3,1,1
7,50,"[28,29,30,32,33,34,35,37,38,39]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,2,0,1230,0,5,5,2,2
8,72,"[28,29,30,31,32,33,34,35,36,37,38,39]","Metadata/Chests/IncursionChests/TrinketsChestMarker",-987734472,3,0,1454,0,8,8,3,3
9,22,"[54,57,62,65]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,1,0,1668,0,2,2,2,2
10,44,"[54,56,57,58,60,61,62,63,65]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,2,0,1828,0,4,4,3,3
11,66,"[54,55,56,57,58,59,60,61,62,63,64,65]","Metadata/Chests/IncursionChests/ArmourChestMarker",-1999292215,3,0,2052,0,6,6,4,4
12,23,"[66,69,74,77]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,1,0,2266,0,2,2,2,2
13,45,"[66,68,69,70,72,73,74,75,77]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,2,0,2426,0,4,4,3,3
14,67,"[66,67,68,69,70,71,72,73,74,75,76,77]","Metadata/Chests/IncursionChests/WeaponChestMarker",2101151128,3,0,2650,0,6,6,4,4
15,17,"[40,44,45,47]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,1,0,2860,0,1,1,1,1
16,39,"[40,41,43,44,45,47]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,2,0,2972,0,2,2,2,2
17,61,"[40,41,42,43,44,45,46,47]","Metadata/Chests/IncursionChests/MapsChestMarker",-218802023,3,0,3132,0,3,3,3,3
18,19,"[14,17,19,22,23,24,25,26,27]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,1,0,3426,0,3,3,2,2
19,41,"[13,15,17,19,22,23,24,25,26,27]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,2,0,3602,0,5,5,3,3
20,63,"[12,15,16,17,18,19,20,21,22,23,24,25,26,27]","Metadata/Chests/IncursionChests/ChestsChestMarker",-269994630,4,0,3858,0,8,8,4,4
21,92,"[78,79,80,81,82,83,84,85,86]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,4174,0,2,2,1,1
22,93,"[81,82,83,84,85,86,87,88]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,4526,0,4,4,2,2
23,94,"[85,86,87,88,89,90,91,92,93,94,95,96,97,98]","Metadata/Chests/IncursionChests/StrongboxChestMarker",1585056399,14,0,4974,0,6,6,3,3
24,76,[99],"Metadata/Chests/IncursionChests/BossMinionChestMarker",681934949,1,0,5324,0,0,0,0,0
25,77,[100],"Metadata/Chests/IncursionChests/BossFireChestMarker",681289249,1,0,5462,0,0,0,0,0
26,78,[101],"Metadata/Chests/IncursionChests/BossLightningChestMarker",-810707695,1,0,5610,0,0,0,0,0
27,57,[102],"Metadata/Chests/IncursionChests/PoisonChestMarker",-359991825,1,0,5744,0,0,0,0,0
28,60,[103],"Metadata/Chests/IncursionChests/TrapChestMarker",1832981499,1,0,5874,0,0,0,0,0
29,75,[104],"Metadata/Chests/IncursionChests/HealingChestMarker",-1124975487,1,0,6010,0,0,0,0,0
30,59,[105],"Metadata/Chests/IncursionChests/StormChestMarker",-513554431,0,0,6142,0,0,0,0,0
31,21,[106],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6268,0,0,0,0,0
32,43,[106],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6284,0,0,0,0,0
33,65,[106],"Metadata/Chests/IncursionChests/ExplosivesChestMarker",-2140492573,0,0,6300,0,0,0,0,0
34,47,[107],"Metadata/Chests/IncursionChests/BreachChestMarker",-1586981186,0,0,6418,0,0,0,0,0
35,69,[107],"Metadata/Chests/IncursionChests/BreachChestMarker",-1586981186,0,0,6434,0,0,0,0,0
