"rownum","EffectBaseType","VisualEffect","VisualIdentity","Stats","ItemClasses","[rid]","bool","[i32]","[i32]","bool","[rid]","bool","[rid]","[rid]","[rid]","[rid]","rid","bool","rid"
0,450,12,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
1,451,2,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
2,452,1,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
3,453,13,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
4,454,0,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
5,455,14,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
6,456,3,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
7,457,4,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
8,458,5,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
9,459,6,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
10,460,7,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
11,461,8,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
12,462,9,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
13,463,10,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
14,464,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
15,465,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
16,466,15,"",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
17,467,16,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
18,468,17,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","",""
19,469,18,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","",""
20,470,19,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","",""
21,471,20,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],[],[],"","",""
22,472,21,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
23,473,22,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
24,474,23,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
25,475,24,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
26,476,25,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
27,477,43,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],[],[],"","",""
28,379,"",4442,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
29,378,"",4441,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
30,375,"",4443,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
31,376,"",4444,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
32,377,"",4445,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
33,380,"",4446,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
34,381,"",4447,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
35,4534,"",4449,[],[25],[],1,[],"[8,21]","",[],"",[],[],[],[],"","",""
36,382,"",4450,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
37,383,"",4451,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
38,384,"",4452,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
39,385,"",4453,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
40,386,"",4454,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
41,387,"",4456,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
42,388,"",4457,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
43,389,"",4458,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
44,390,"",4459,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
45,391,"",4460,[],[25],[],"",[],"[8,21]","",[],"",[],[],[],[],"","",""
46,392,"",4461,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
47,393,"",4462,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
48,394,"",4463,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
49,395,"",4464,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
50,396,"",4465,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
51,397,"",4466,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
52,398,"",4467,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
53,399,"",4468,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
54,400,"",4469,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
55,401,"",4470,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
56,402,"",4471,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
57,403,"",4472,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
58,404,"",4473,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
59,405,"",4474,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
60,406,"",4475,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
61,407,"",4477,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
62,408,"",4478,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
63,565,"",4531,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
64,566,"",4532,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
65,491,"",4476,[],[25],[],"",[],[7],"",[],"",[],[],[],[],"","",""
66,409,"",4448,[],[24],[],"",[],[9],"",[],"",[],[],[],[],"","",""
67,371,"",9329,[],"[25,24,22,23,26,20]",[],"",[],"[7,9,11,12,4]","",[],"",[],[],[],[],"","",""
68,373,"","",[16105],"[0,1,2,33,34]",[],"",[-1],"[26,27,28,29,30]","",[],"",[],[],[],[],"","",""
69,372,"","",[7762],[],"[6247,6273,6253,6318,6246,6244,6316,6245,6241,6248,6377,6378,6379,6320,6236,6242,6235,6363,6365,6364,6366,6342,6243,6249,6396,6582,6501,6500,6317,6319,6321,6168,6199,6380,6381,6513,6515,6536,6532,6533,6631,6632,6633,6634,6639,6642,6542,6541,6274]","",[1],[37],"",[],"",[],[],[],[],"","",0
70,410,"","",[346],[],[6332],"",[1],[37],"",[],"",[],[],[],[],"","",0
71,411,"","",[346],[],"[6215,6358]","",[1],[37],"",[],"",[],[],[],[],"","",0
72,412,"","",[346],[],"[6215,6358]","",[2],[37],"",[],"",[],[],[],[],"","",0
73,413,"","",[346],[],"[6215,6358]","",[3],[37],"",[],"",[],[],[],[],"","",0
74,414,"","",[346],[],"[6215,6358]","",[4],[37],"",[],"",[],[],[],[],"","",0
75,418,"","",[346],[],"[6129,6338]","",[2],[37],"",[],"",[],[],[],[],"","",0
76,419,"","","[346,1300]",[],"[6222,6351]","","[1,1]",[37],"",[],"",[],[],[],[],"","",0
77,423,"","",[346],[],"[6233,6852]","",[-29],[37],"",[],"",[],[],[],[],"","",0
78,425,"","",[346],[],"[6130,6347]","",[-3],[37],"",[],"",[],[],[],[],"","",0
79,426,"","",[346],[],"[6147,6352]","",[1],[37],"",[],"",[],[],[],[],"","",0
80,427,"","",[346],[],[6271],"",[1],[37],"",[],"",[],[],[],[],"","",0
81,428,"","",[346],[],"[6185,6340]","",[2],[37],"",[],"",[],[],[],[],"","",0
82,429,"","",[1220],[],"[6260,6277,6262,6263,6269,6275,6270,6295,6416,6558,6554,6853]","",[1],[37],"",[],"",[],[],[],[],"","",1
83,430,"","",[346],[],[6289],"",[1],[37],"",[],"",[],[],[],[],"","",0
84,431,"","",[346],[],"[6290,6346]","",[3],[37],"",[],"",[],[],[],[],"","",0
85,432,"","",[346],[],"[6290,6346]","",[1],[37],"",[],"",[],[],[],[],"","",0
86,433,"","",[346],[],"[6290,6346]","",[2],[37],"",[],"",[],[],[],[],"","",0
87,434,"","",[346],[],"[6273,6274]","",[2],[37],"",[],"",[],[],[],[],"","",0
88,435,"","",[346],[],[6295],"",[1],[37],"",[],"",[],[],[],[],"","",0
89,417,"","","[346,1300]",[],"[6136,6350]","","[1,1]",[37],"",[],"",[],[],[],[],"","",0
90,436,"","","[346,1300]",[],"[6137,6840]","","[1,1]",[37],"",[],"",[],[],[],[],"","",0
91,415,"","",[346],[],[6148],"",[1],[37],"",[],"",[],[],[],[],"","",0
92,437,"","",[346],[],"[6241,6366,6242,6243,6244,6365,6245,6364,6246,6247,6248,6249,6253,6363,6316,6318,6320,6396,6582,6317,6319,6321,6501,6500,6513,6515,6536,6532,6631,6632,6633,6634,6642]","",[-6],[37],"",[],"",[],[],[],[],"","",0
93,438,"","",[346],[],"[6241,6366,6242,6243,6244,6365,6245,6364,6246,6247,6248,6249,6253,6363,6316,6318,6320,6396,6582,6317,6319,6321,6501,6500,6513,6515,6536,6532,6631,6632,6633,6634,6642]","",[-8],[37],"",[],"",[],[],[],[],"","",0
94,439,"","",[346],[],"[6241,6366,6242,6243,6244,6365,6245,6364,6246,6247,6248,6249,6253,6363,6316,6318,6320,6396,6582,6317,6319,6321,6501,6500,6513,6515,6536,6532,6631,6632,6633,6634,6642]","",[-9],[37],"",[],"",[],[],[],[],"","",0
95,440,"","",[346],[],"[6241,6366,6242,6243,6244,6365,6245,6364,6246,6247,6248,6249,6253,6363,6316,6318,6320,6396,6582,6317,6319,6321,6501,6500,6513,6515,6536,6532,6631,6632,6633,6634,6642]","",[-7],[37],"",[],"",[],[],[],[],"","",0
96,441,"","",[346],[],"[6308,6353]","",[1],[37],"",[],"",[],[],[],[],"","",0
97,442,"","",[346],[],"[6308,6353]","",[2],[37],"",[],"",[],[],[],[],"","",0
98,443,"","",[346],[],"[6308,6353]","",[3],[37],"",[],"",[],[],[],[],"","",0
99,444,"","",[1220],[],"[6260,6277,6262,6263,6269,6275,6270,6295,6416,6558,6554,6853]","",[3],[37],"",[],"",[],[],[],[],"","",1
