"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey"
0,"Hatred",1,"",2690
1,"Woe",1,"",2691
2,"Greed",1,"",2692
3,"Contempt",1,"",2693
4,"Sorrow",2,"",2694
5,"Anger",2,"",2695
6,"Torment",2,"",2696
7,"Fear",2,"",2697
8,"Suffering",3,"",2698
9,"Rage",3,"",2700
10,"Wrath",3,"",2699
11,"Doubt",3,"",2701
12,"Anguish",4,"",2702
13,"Loathing",4,"",2703
14,"Spite",4,"",2705
15,"Zeal",4,"",2704
16,"Misery",5,"",2706
17,"Dread",5,"",2707
18,"Scorn",5,"",2708
19,"Envy",5,"",2709
20,"Hysteria",6,1,2710
21,"Insanity",6,1,2711
22,"Horror",6,1,2712
23,"Delirium",6,1,2713
24,"NotEssence",0,"",2714
