"rownum","WorldAreasKey","NPCTextAudioKey","[rid]"
0,80,5768,[]
1,78,5769,[]
2,82,5770,[]
3,83,5771,[]
4,84,5772,[]
5,86,5773,[]
6,87,5774,[]
7,88,5775,[]
8,89,5776,[]
9,90,5777,[5518]
10,91,5778,[]
11,92,5779,[]
12,93,5780,[]
13,94,5781,[5729]
14,95,5782,[]
15,96,5783,[]
16,97,5784,[1545]
17,98,5785,[]
18,99,5786,[]
19,100,5787,[]
20,101,5788,[5249]
21,103,5789,[]
22,104,5790,[]
23,105,5791,[]
24,106,5792,[]
25,107,5793,[]
26,109,5794,[]
27,108,5795,[]
28,110,5796,[]
29,111,5797,[5465]
30,112,5798,[]
31,113,5799,[5763]
32,114,5800,[]
33,115,5801,[]
34,116,5802,[]
35,117,5803,[5481]
36,118,5804,[]
37,120,5805,[]
38,121,5806,[]
39,122,5813,[]
40,123,5815,[5776]
41,124,5814,[]
42,125,5816,[]
43,126,5817,[]
44,127,5818,[]
45,128,5807,[]
46,129,5808,[]
47,130,5809,[]
48,131,5812,[]
49,132,5810,[]
50,133,5811,[]
51,134,5819,"[5389,5413]"
52,135,5820,[]
53,137,5821,[]
54,138,5822,[]
55,139,5824,[5974]
56,140,5823,[]
57,141,5825,[]
58,142,5826,[]
59,143,5827,[5815]
60,144,5828,[]
61,145,5829,[]
62,146,5830,[]
63,148,5831,[]
64,149,5832,[]
65,150,5835,[]
66,151,5836,[]
67,152,5838,[]
68,153,5839,[5494]
69,154,5833,[]
70,155,5834,[]
71,156,5837,[]
