"rownum","Id","MonsterVarieties","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[8526],999,"",4000,4000,"","",1
1,"FireMeteorUber",[8527],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[8528],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[8529],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[8530],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[8531],999,"",6000,6000,"","",1
6,"LightningPylon",[8532],16,"",50,0,"",1,""
7,"LightningPylonUber",[8533],16,"",50,0,"",1,""
8,"Necromantic1","[3692,3693,3694,3695,3696,3697,3698,3699,3700,3701,3702,3703,3706,3707,3708,3709,3710,3711,3712,3713]",4,1,6000,0,"","",1
9,"Necromantic2","[3692,3693,3694,3695,3696,3697,3698,3699,3700,3701,3702,3703,3706,3707,3708,3709,3710,3711,3712,3713]",5,1,5000,0,"","",1
10,"Necromantic3","[3692,3693,3694,3695,3696,3697,3698,3699,3700,3701,3702,3703,3705,3706,3707,3708,3709,3710,3711,3712,3713]",6,1,4000,0,"","",1
11,"Necromantic4","[3692,3693,3694,3695,3696,3697,3698,3699,3700,3701,3702,3703,3705,3706,3707,3708,3709,3710,3711,3712,3713]",7,1,3000,0,"","",1
12,"Vaal",[8534],1,"",800,0,1,"",""
13,"Golden",[8535],999,"",4000,0,"","",1
14,"PhysicalBleed",[8537],999,"",8000,0,"","",1
15,"PhysicalBleedUber",[8538],4,"",5000,0,"",1,1
16,"ChaosGreenVines",[8544],1,"",800,0,1,"",""
17,"GenericLifeQuicksand",[8541],999,"",2000,2000,"","",1
18,"GenericCharges",[8539],1,"",300,0,1,"",""
19,"GenericMassive",[8540],1,"",300,0,1,"",""
20,"GenericSpeed",[8536],1,"",300,0,1,"",""
21,"GenericFortify",[8542],999,"",5000,0,"","",1
22,"GenericEnergyShield",[8543],1,"",300,0,1,"",""
23,"UltimatumChaosCloud1",[8700],1,"",1000,0,"","",""
24,"UltimatumChaosCloud2",[8701],1,"",1000,0,"","",""
25,"UltimatumChaosCloud3",[8702],1,"",1000,0,"","",""
26,"UltimatumChaosCloud4",[8703],1,"",1000,0,"","",""
27,"UltimatumLightningRune1",[8704],3,"",50,0,"",1,1
28,"UltimatumLightningRune2",[8705],3,"",50,0,"",1,1
29,"UltimatumLightningRune3",[8705],5,"",50,0,"",1,1
30,"UltimatumLightningRune4",[8706],5,"",50,0,"",1,1
31,"UltimatumLightningRune1Trial",[8704],3,"",50,0,"","",""
32,"UltimatumLightningRune2Trial",[8705],3,"",50,0,"","",""
33,"UltimatumFlameSpitter1",[8734],2,"",50,0,"",1,1
34,"UltimatumFlameSpitter2",[8734],4,"",50,0,"",1,1
35,"UltimatumFlameSpitter3",[8735],4,"",50,0,"",1,1
36,"UltimatumFlameSpitter4",[8736],4,"",50,0,"",1,1
37,"UltimatumFlameSpitter1Trial",[8734],1,"",0,0,"",1,1
38,"UltimatumFlameSpitter2Trial",[8734],2,"",50,0,"",1,1
39,"UltimatumFlameSpitter3Trial",[8735],2,"",50,0,"",1,1
40,"UltimatumFlameSpitter4Trial",[8736],2,"",50,0,"",1,1
41,"UltimatumFrostInfection1",[8714],1,"",0,0,1,"",""
42,"UltimatumFrostInfection2",[8715],1,"",0,0,1,"",""
43,"UltimatumFrostInfection3",[8716],1,"",0,0,1,"",""
44,"UltimatumFrostInfection4",[8717],1,"",0,0,1,"",""
45,"UltimatumGraveyard1",[8731],2,"",50,0,"",1,1
46,"UltimatumGraveyard2",[8731],4,"",50,0,"",1,1
47,"UltimatumGraveyard3",[8732],4,"",50,0,"",1,1
48,"UltimatumGraveyard4",[8733],4,"",50,0,"",1,1
49,"UltimatumGraveyard1Trial",[8731],1,"",0,0,"",1,1
50,"UltimatumGraveyard2Trial",[8731],2,"",50,0,"",1,1
51,"UltimatumGraveyard3Trial",[8732],2,"",50,0,"",1,1
52,"UltimatumGraveyard4Trial",[8733],2,"",50,0,"",1,1
53,"UltimatumRevenant1",[8720],1,"",0,0,"",1,1
54,"UltimatumRevenant2",[8721],1,"",0,0,"",1,1
55,"UltimatumRevenant3",[8722],1,"",0,0,"",1,1
56,"UltimatumRevenant4",[8723],1,"",0,0,"",1,1
57,"UltimatumSawblade1",[8724],1,"",0,0,1,"",""
58,"UltimatumSawblade2",[8725],1,"",0,0,1,"",""
59,"UltimatumSawblade3",[8726],1,"",0,0,1,"",""
60,"UltimatumSawblade4",[8727],1,"",0,0,1,"",""
61,"UltimatumTotemPhys",[8738],1,"",0,0,"",1,1
62,"UltimatumTotemEle",[8739],1,"",0,0,"",1,1
63,"UltimatumAltarDaemon1",[8740],1,"",1000,0,1,1,""
64,"UltimatumAltarDaemon2",[8741],1,"",1000,0,1,1,""
