"rownum","Id","rid","rid","bool","bool","bool","bool","i32","bool"
0,0,"",272,1,1,"",1,0,1
1,1,74,"","",1,"",1,0,1
2,2,158,159,"",1,"",1,0,1
3,3,273,274,"",1,"",1,0,1
4,4,"","","",1,"",1,0,1
5,5,273,"","",1,"",1,0,1
6,6,273,"",1,1,"",1,0,1
7,7,1415,"","","","",1,0,1
8,8,2073,"","","",1,1,0,1
9,9,2372,"","","",1,1,0,1
10,10,2532,"","","",1,1,0,1
11,11,2509,"","","","",1,0,1
12,12,2880,"","","","",1,0,1
13,13,273,"","",1,"",1,0,1
14,14,3210,"","",1,"",1,0,1
15,15,3211,"","",1,"",1,0,1
16,16,3212,"","",1,"",1,0,1
17,17,3263,"","","","",1,0,1
18,18,3404,"","","","",1,-100,1
19,19,498,272,1,"","",1,0,1
20,20,1811,"","","","",1,0,1
21,21,3610,"","","","",1,0,1
22,22,3696,"","","","",1,0,1
23,23,3697,"","","","",1,0,1
24,24,3698,"","","","",1,0,1
25,25,3855,"","","",1,1,0,1
26,26,4203,"","","","",1,0,1
27,27,4320,"","","","",1,0,1
28,28,4741,"","","","",1,0,1
29,29,4896,"",1,"",1,1,0,1
30,30,4919,"","",1,"",1,0,1
31,31,5178,"","","",1,1,0,1
32,32,5177,"","","","",1,0,1
33,33,5181,"","","",1,1,0,1
34,34,5182,"","","",1,1,0,1
35,35,5180,"","","",1,1,0,1
36,36,5227,"",1,1,1,1,0,1
37,37,5228,"",1,1,1,1,0,1
38,38,5627,"","",1,1,1,0,1
39,39,5723,"","","","",1,0,1
40,40,6206,"","","",1,1,0,1
41,41,6246,"","","",1,1,0,1
42,42,6302,"","","",1,1,0,1
43,43,6165,"","","","",1,0,1
44,44,6812,"","","","",1,0,1
45,45,6816,"","","","",1,0,1
46,46,6922,"","","",1,1,0,1
47,47,"","","","",1,1,0,""
48,48,7349,"","","",1,1,0,1
49,49,3264,"","","","",1,0,1
50,50,7391,"","","",1,1,0,1
