"rownum","Mod","TiersWhitelist","TransformAchievement","ModFamilies"
0,25284,[1],"",[63]
1,25285,[2],"",[63]
2,25286,[3],"",[63]
3,25287,[4],"",[63]
4,25288,[1],8327,"[1145,4761]"
5,25289,[2],8327,"[1145,4761]"
6,25290,[3],8327,"[1145,4761]"
7,25291,[4],8327,"[1145,4761]"
8,25292,[1],8327,"[1145,4761]"
9,25293,[2],8327,"[1145,4761]"
10,25294,[3],8327,"[1145,4761]"
11,25295,[4],8327,"[1145,4761]"
12,25296,[1],8327,"[1145,4761]"
13,25297,[2],8327,"[1145,4761]"
14,25298,[3],8327,"[1145,4761]"
15,25299,[4],8327,"[1145,4761]"
16,25300,[1],8327,"[4754,1145,4761]"
17,25301,[2],8327,"[4754,1145,4761]"
18,25302,[3],8327,"[4754,1145,4761]"
19,25303,[4],8327,"[4754,1145,4761]"
20,25304,[1],8327,"[1145,4761]"
21,25305,[2],8327,"[1145,4761]"
22,25306,[3],8327,"[1145,4761]"
23,25307,[4],8327,"[1145,4761]"
24,25308,[1],8327,"[1145,4761]"
25,25309,[2],8327,"[1145,4761]"
26,25310,[3],8327,"[1145,4761]"
27,25311,[4],8327,"[1145,4761]"
28,25312,[1],8327,"[1145,4761]"
29,25313,[2],8327,"[1145,4761]"
30,25314,[3],8327,"[1145,4761]"
31,25315,[4],8327,"[1145,4761]"
32,25316,[1],8327,"[1145,4761]"
33,25317,[2],8327,"[1145,4761]"
34,25318,[3],8327,"[1145,4761]"
35,25319,[4],8327,"[1145,4761]"
36,25320,[1],8327,"[1145,4761]"
37,25321,[2],8327,"[1145,4761]"
38,25322,[3],8327,"[1145,4761]"
39,25323,[4],8327,"[1145,4761]"
40,25324,[3],"",[]
41,25325,[4],"",[]
42,25326,[3],"",[]
43,25327,[4],"",[]
44,25328,[3],"",[]
45,25329,[4],"",[]
46,25330,[3],"",[]
47,25331,[4],"",[]
48,25332,[3],"",[]
49,25333,[4],"",[]
50,25334,[3],"",[]
51,25335,[4],"",[]
52,25336,[3],"",[]
53,25337,[4],"",[]
54,25338,[3],"",[]
55,25339,[4],"",[]
56,25340,"[2,3,4]","",[]
57,25341,[3],"",[]
58,25342,[4],"",[]
59,25343,[2],"",[]
60,25344,[3],"",[]
61,25345,[4],"",[]
62,25346,[3],"",[]
63,25347,[4],"",[]
64,25348,[2],"",[]
65,25349,[3],"",[]
66,25350,[4],"",[]
67,25351,[2],"",[]
68,25352,[3],"",[]
69,25353,[4],"",[]
70,25354,[2],"",[]
71,25355,[3],"",[]
72,25356,[4],"",[]
73,25357,[2],"",[]
74,25358,[3],"",[]
75,25359,[4],"",[]
76,25360,[2],"",[]
77,25361,[3],"",[]
78,25362,[4],"",[]
79,25363,"[2,3,4]","",[]
80,25364,[2],"","[3422,1164,1092]"
81,25365,[3],"","[3422,1164,1092]"
82,25366,[4],"","[3422,1164,1092]"
83,25367,[2],"","[3422,1164,1092]"
84,25368,[3],"","[3422,1164,1092]"
85,25369,[4],"","[3422,1164,1092]"
86,25370,[2],"",[]
87,25371,[3],"",[]
88,25372,[4],"",[]
89,25373,[2],"",[]
90,25374,[3],"",[]
91,25375,[4],"",[]
92,25376,"[3,4]","",[]
93,25377,"[3,4]","",[]
94,25378,"[3,4]","",[]
95,25379,[3],"",[]
96,25380,[4],"",[]
97,25381,"[3,4]",8326,[]
98,25382,"[3,4]",8326,[]
99,25383,"[3,4]",8326,[]
100,25384,"[3,4]",8326,[]
101,25385,"[3,4]",8326,[]
102,25386,"[3,4]",8326,[]
103,25387,"[3,4]",8326,[]
104,25388,"[3,4]",8326,[]
105,25389,"[3,4]",8326,[]
106,25390,"[3,4]",8326,[]
107,25391,"[3,4]",8326,[]
108,25392,[2],"",[4754]
109,25393,[3],"",[4754]
110,25394,[4],"",[4754]
111,25395,[3],"",[]
112,25396,[4],"",[]
113,25397,[2],"",[]
114,25398,[3],"",[]
115,25399,[4],"",[]
116,25400,[3],"",[]
117,25401,[4],"",[]
118,25402,[3],8327,[]
119,25403,[4],8327,[]
120,25404,[1],"",[]
121,25405,[2],"",[]
122,25406,[3],"",[]
123,25407,[4],"",[]
124,25408,[1],8421,[]
125,25409,[2],8421,[]
126,25410,[3],8421,[]
127,25411,[4],8421,[]
128,25412,[2],"",[]
129,25413,[3],"",[]
130,25414,[4],"",[]
131,25415,[1],8328,[]
132,25416,[2],8328,[]
133,25417,[3],8328,[]
134,25418,[4],8328,[]
135,25419,[1],8328,[]
136,25420,[2],8328,[]
137,25421,[3],8328,[]
138,25422,[4],8328,[]
139,25423,[1],8328,[]
140,25424,[2],8328,[]
141,25425,[3],8328,[]
142,25426,[4],8328,[]
143,25427,[1],8328,[]
144,25428,[2],8328,[]
145,25429,[3],8328,[]
146,25430,[4],8328,[]
147,25431,[1],8328,[]
148,25432,[2],8328,[]
149,25433,[3],8328,[]
150,25434,[4],8328,[]
151,25435,[2],8328,[]
152,25436,[3],8328,[]
153,25437,[4],8328,[]
154,25438,[2],8328,[]
155,25439,[3],8328,[]
156,25440,[4],8328,[]
157,25441,[2],"",[]
158,25442,[3],"",[]
159,25443,[4],"",[]
160,25444,[2],"",[]
161,25445,[3],"",[]
162,25446,[4],"",[]
163,25447,[2],"",[]
164,25448,[3],"",[]
165,25449,[4],"",[]
166,25450,[2],"",[]
167,25451,[3],"",[]
168,25452,[4],"",[]
169,25453,[2],"",[]
170,25454,[3],"",[]
171,25455,[4],"",[]
172,25456,[2],"",[]
173,25457,[3],"",[]
174,25458,[4],"",[]
175,25459,[2],"",[]
176,25460,[3],"",[]
177,25461,[4],"",[]
178,25462,[2],"",[]
179,25463,[3],"",[]
180,25464,[4],"",[]
181,25465,[2],"",[]
182,25466,[3],"",[]
183,25467,[4],"",[]
184,25468,[2],"",[]
185,25469,[3],"",[]
186,25470,[4],"",[]
187,25471,[2],"",[]
188,25472,[3],"",[]
189,25473,[4],"",[]
190,25474,[1],"",[]
191,25475,[2],"",[]
192,25476,[3],"",[]
193,25477,[4],"",[]
194,25478,[2],"",[]
195,25479,[3],"",[]
196,25480,[4],"",[]
197,25481,[2],"",[]
198,25482,[3],"",[]
199,25483,[4],"",[]
200,25484,[2],"",[]
201,25485,[3],"",[]
202,25486,[4],"",[]
203,25487,[2],"",[]
204,25488,[3],"",[]
205,25489,[4],"",[]
206,25490,[1],"",[]
207,25491,[2],"",[]
208,25492,[3],"",[]
209,25493,[4],"",[]
210,25494,[1],"","[125,4222,1524,52]"
211,25495,[2],"","[125,4222,1524,52]"
212,25496,[3],"","[125,4222,1524,52]"
213,25497,[4],"","[125,4222,1524,52]"
214,25498,[1],"","[4222,1524,52,125]"
215,25499,[2],"","[4222,1524,52,125]"
216,25500,[3],"","[4222,1524,52,125]"
